paramSet1_01.txt	paramSet1_02.txt	paramSet1_03.txt	paramSet1_04.txt	paramSet1_05.txt	paramSet1_06.txt	paramSet1_07.txt	paramSet1_08.txt	paramSet1_09.txt	paramSet1_10.txt	paramSet2_01.txt	paramSet2_02.txt	paramSet2_03.txt	paramSet2_04.txt	paramSet2_05.txt	paramSet2_06.txt	paramSet2_07.txt	paramSet2_08.txt	paramSet2_09.txt	paramSet2_10.txt
1.80688 	151.297  	151.311 	2.55106 	4.71712  	301.4   	3.7689   	154.665  	302.482  	154.972 	1.80688  	151.297  	151.311 	2.55106  	4.71712  	301.4    	3.7689   	154.665  	302.482 	154.972 
1.31065 	1.15276  	2.05554 	0.852736	0.69256  	2.40659 	1.60277  	0.923996 	1.04115  	2.09314 	0.998618 	0.840969 	1.15748 	0.868801 	0.79032  	1.77561  	1.02945  	1.9246   	1.38363 	2.00788 
0.423719	0.381326 	0.317892	0.373167	0.426286 	0.327043	0.795587 	2.01001  	0.398853 	0.429052	0.502348 	0.403969 	149.862 	1.08331  	0.398283 	0.452335 	0.482054 	0.436753 	0.433674	1.09564 
0.288269	0.224947 	0.206745	0.273909	0.225618 	0.279032	0.287861 	0.239193 	0.216063 	0.24046 	0.356576 	0.288034 	0.230884	0.312623 	0.603946 	0.307858 	0.278633 	0.328002 	0.231618	0.303016
0.314097	0.20653  	0.217072	0.314731	0.204467 	0.277727	0.21908  	0.236196 	0.207467 	0.180665	0.250333 	0.312298 	0.264244	0.59608  	0.273975 	0.313075 	0.221517 	0.609209 	0.286037	0.249984
0.33334 	0.264416 	0.222223	0.439346	0.227568 	0.262369	0.195079 	0.206115 	0.214481 	0.184502	0.273381 	0.292627 	0.238239	0.703093 	0.199271 	0.259319 	0.192672 	0.298909 	0.348591	0.318149
0.338663	0.247731 	0.291346	0.343244	0.21454  	0.21699 	0.15127  	0.18968  	0.20721  	0.189207	0.551633 	0.333205 	0.224609	0.256135 	0.176577 	0.232754 	0.159744 	0.17883  	149.712 	0.276757
0.27423 	0.272118 	0.316712	0.372996	0.244458 	0.21997 	0.141841 	0.183531 	0.225582 	0.213685	0.251045 	0.287975 	0.350571	0.236788 	0.133827 	0.206011 	149.634  	0.183078 	0.321069	0.248907
0.283524	0.257682 	0.265413	0.372297	0.174451 	0.318995	0.127405 	0.141177 	0.249387 	0.269738	0.216168 	0.289658 	0.234121	0.176505 	0.183254 	0.168521 	0.144046 	0.240223 	0.301716	0.309843
0.34374 	0.211436 	0.263914	0.331448	0.153573 	0.220527	0.0961355	0.142403 	0.254288 	0.259375	0.209452 	0.325371 	0.315524	0.149352 	0.0957772	0.12542  	0.0900137	0.237255 	0.318563	0.280401
