paramSet1_01.txt	paramSet1_02.txt	paramSet1_03.txt	paramSet1_04.txt	paramSet1_05.txt	paramSet1_06.txt	paramSet1_07.txt	paramSet1_08.txt	paramSet1_09.txt	paramSet1_10.txt	paramSet2_01.txt	paramSet2_02.txt	paramSet2_03.txt	paramSet2_04.txt	paramSet2_05.txt	paramSet2_06.txt	paramSet2_07.txt	paramSet2_08.txt	paramSet2_09.txt	paramSet2_10.txt
0.0130261	0.0604945  	0.0130261	0.0130261	0.0130261  	0.0604945  	0.0604945  	0.0604945  	0.0130261  	0.0130261	0.0130261  	0.0604945  	0.0130261 	0.0130261  	0.0130261  	0.0604945  	0.0604945  	0.0604945  	0.0130261 	0.0130261 
0.0130261	0.0326045  	0.0130261	0.158557 	0.0130261  	0.0604945  	0.0604945  	0.0604945  	0.0130261  	0.0130261	0.0130261  	0.0326045  	0.0130261 	0.158557   	0.0449346  	0.0604945  	0.0604945  	0.0604945  	0.0130261 	0.0130261 
0.158557 	0.0326045  	0.0130261	0.158557 	0.0130261  	0.0604945  	0.0326045  	0.0604945  	0.0130261  	0.0130261	0.0130261  	0.0130261  	0.0130261 	0.0326045  	0.0449346  	0.0604945  	0.0326045  	0.0130261  	0.0130261 	0.0130261 
0.0748874	0.0326045  	0.0130261	0.158557 	0.0130261  	0.0130261  	0.0326045  	0.0604945  	0.0130261  	0.0130261	0.0130261  	0.0130261  	0.0130261 	0.0326045  	0.0186442  	0.0604945  	0.0326045  	0.0130261  	0.0130261 	0.0130261 
0.0748874	0.0326045  	0.0130261	0.158557 	0.0130261  	0.0130261  	0.0326045  	0.0604945  	0.00402745 	0.0130261	0.0130261  	0.0130261  	0.0130261 	0.0326045  	0.0186442  	0.0326045  	0.0326045  	0.0130261  	0.0130261 	0.0130261 
0.0130261	0.0326045  	0.0130261	0.158557 	0.0130261  	0.0130261  	0.0326045  	0.0604945  	0.00402745 	0.0130261	0.0130261  	0.0130261  	0.0130261 	0.0326045  	0.00402745 	0.0449346  	0.0326045  	0.0130261  	0.0130261 	0.0130261 
0.0130261	0.0289166  	0.0130261	0.158557 	0.0326045  	0.0130261  	0.0326045  	0.0326045  	0.00402745 	0.0130261	0.0130261  	0.00402745 	0.0130261 	0.00402745 	0.00402745 	0.0326045  	0.00402745 	0.00402745 	0.0130261 	0.0130261 
0.0130261	0.00402745 	0.0130261	0.158557 	0.0130261  	0.00560031 	0.0326045  	0.0326045  	0.00402745 	0.0130261	0.0130261  	6.28073e-24	0.0130261 	0.00402745 	0.00402745 	0.0326045  	6.28049e-24	0.00402745 	0.0130261 	0.0130261 
0.0130261	0.00402745 	0.0130261	0.158557 	0.0186442  	0.0130261  	0.00402745 	0.0326045  	0.00402745 	0.0130261	0.00402745 	6.28073e-24	0.0130261 	0.00402745 	6.28064e-24	0.00952107 	6.28062e-24	0.0017408  	0.0130261 	0.0130261 
0.0130261	6.28073e-24	0.0130261	0.158557 	6.28049e-24	0.00402745 	6.28064e-24	0.0267838  	0.00402745 	0.0130261	0.00402745 	6.28073e-24	0.0130261 	6.28073e-24	6.28064e-24	6.28062e-24	6.28049e-24	0.0017408  	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	6.28064e-24	6.28062e-24	0.00402745 	6.28073e-24	0.0130261	0.00402745 	6.28073e-24	0.00560031	0.0017408  	6.28064e-24	6.28062e-24	6.28049e-24	6.28064e-24	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	6.28064e-24	6.28062e-24	6.28062e-24	6.28073e-24	0.0130261	0.00402745 	6.28049e-24	0.00560031	0.0017408  	6.28064e-24	6.28049e-24	6.28049e-24	0.0017408  	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	0.00560031 	6.28062e-24	6.28064e-24	6.28073e-24	0.0130261	0.00187892 	6.28049e-24	0.00560031	6.28073e-24	6.28064e-24	6.28049e-24	6.28049e-24	0.0017408  	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	0.00560031 	6.28062e-24	6.28049e-24	0.00402745 	0.0130261	6.28049e-24	6.28073e-24	0.00560031	6.28073e-24	6.28049e-24	6.28049e-24	6.28049e-24	0.0017408  	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	0.00560031 	6.28062e-24	6.28049e-24	6.28073e-24	0.0130261	6.28049e-24	6.28059e-24	0.00560031	6.28073e-24	6.28049e-24	6.28062e-24	6.28049e-24	6.28073e-24	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	0.00402745 	6.28062e-24	6.28049e-24	6.28073e-24	0.0130261	6.28049e-24	6.28049e-24	0.00560031	6.28073e-24	6.28049e-24	6.28062e-24	6.28049e-24	0.0017408  	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	0.00402745 	6.28062e-24	6.28049e-24	0.0017408  	0.0130261	6.28049e-24	6.28049e-24	0.00560031	6.28073e-24	6.28049e-24	6.28049e-24	6.28049e-24	0.0017408  	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	6.28062e-24	6.28062e-24	6.28049e-24	0.00187892 	0.0130261	0.0017408  	6.28049e-24	0.00560031	6.28073e-24	6.28049e-24	6.28049e-24	6.28049e-24	6.28073e-24	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	6.28062e-24	6.28062e-24	6.28049e-24	0.0017408  	0.0130261	6.28049e-24	6.28049e-24	0.00560031	6.28073e-24	6.28049e-24	6.28049e-24	6.28049e-24	6.28073e-24	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	0.00402745 	6.28062e-24	6.28049e-24	6.28073e-24	0.0130261	6.28064e-24	6.28049e-24	0.00560031	6.28073e-24	6.28049e-24	6.28049e-24	6.28049e-24	6.28073e-24	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	0.00402745 	6.28062e-24	6.28049e-24	6.28073e-24	0.0130261	6.28064e-24	6.28049e-24	0.00560031	6.28073e-24	6.28049e-24	6.28049e-24	6.28052e-24	6.28073e-24	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	0.00402745 	6.28062e-24	6.28049e-24	6.28073e-24	0.0130261	6.28064e-24	6.28049e-24	0.00560031	6.28073e-24	6.28049e-24	6.28049e-24	6.28049e-24	6.28073e-24	0.0130261 	0.0130261 
0.0130261	6.28062e-24	0.0130261	0.158557 	6.28049e-24	0.00402745 	6.28062e-24	6.28049e-24	6.28073e-24	0.0130261	6.28064e-24	6.28049e-24	0.00560031	6.28073e-24	6.28049e-24	6.28049e-24	6.28052e-24	6.28073e-24	0.0130261 	0.0130261 
0.0130261	6.28049e-24	0.0130261	0.158557 	6.28049e-24	0.00402745 	6.28049e-24	6.28049e-24	6.28073e-24	0.0130261	6.28049e-24	6.28049e-24	0.00560031	6.28073e-24	6.28049e-24	6.28049e-24	6.28049e-24	6.28073e-24	0.0130261 	0.0130261 
