   	      	                    fitness                     	              size             
   	      	------------------------------------------------	-------------------------------
gen	nevals	avg     	max    	min      	std     	avg  	max	min	std    
0  	200   	1.80688 	8.34676	0.0130261	1.50977 	4.19 	7  	2  	1.76746
1  	200   	1.31065 	62.485 	0.0130261	4.46783 	4.155	9  	2  	1.57828
2  	200   	0.423719	3.48234	0.158557 	0.436335	4.005	9  	2  	1.36197
3  	200   	0.288269	3.48234	0.0748874	0.397403	4.085	9  	3  	1.34454
4  	200   	0.314097	3.48234	0.0748874	0.43208 	4.405	9  	3  	1.33453
5  	200   	0.33334 	1.85076	0.0130261	0.356008	4.955	9  	3  	1.48087
6  	200   	0.338663	3.48234	0.0130261	0.392091	5.09 	11 	3  	1.55625
7  	200   	0.27423 	1.85076	0.0130261	0.273732	5.015	9  	3  	1.45766
8  	200   	0.283524	1.85076	0.0130261	0.314482	5.31 	10 	3  	1.60122
9  	200   	0.34374 	3.27015	0.0130261	0.469485	5.725	13 	3  	1.96453
10 	200   	0.564156	19.9445	0.0130261	2.05918 	6.115	15 	3  	2.28074
11 	200   	0.340015	3.27015	0.0130261	0.505366	6.74 	15 	3  	2.50448
12 	200   	0.379923	19.9445	0.0130261	1.44323 	7.11 	17 	3  	2.6092 
13 	200   	0.761281	35.0698	0.0130261	3.04622 	8.09 	17 	3  	3.05154
14 	200   	0.662433	19.9445	0.0130261	2.1758  	8.29 	17 	3  	3.06527
15 	200   	0.464187	19.9445	0.0130261	1.70264 	8.57 	19 	3  	2.92491
16 	200   	0.468036	9.05988	0.0130261	1.03169 	8.54 	17 	3  	3.01138
17 	200   	0.717964	19.9445	0.0130261	1.92068 	8.58 	17 	3  	3.20992
18 	200   	0.542947	19.9445	0.0130261	1.96173 	8.52 	15 	3  	2.87221
19 	200   	0.931638	19.9445	0.0130261	2.97472 	8.42 	17 	3  	3.20369
20 	200   	0.690843	19.9445	0.0130261	2.39199 	8.54 	15 	3  	3.20443
21 	200   	0.564327	19.9445	0.0130261	1.80728 	8.65 	17 	3  	3.09475
22 	200   	0.780869	35.0698	0.0130261	3.36876 	8.63 	17 	3  	2.86411
23 	200   	0.499211	19.9445	0.0130261	1.65743 	8.85 	17 	3  	2.85613
24 	200   	0.490863	9.05988	0.0130261	1.19263 	8.82 	17 	3  	2.98791
25 	200   	0.717658	19.9445	0.0130261	2.08313 	8.43 	17 	3  	3.17728
26 	200   	0.783917	19.9445	0.0130261	2.58742 	8.67 	17 	3  	3.20486
27 	200   	0.544405	19.9445	0.0130261	2.10217 	8.45 	15 	3  	2.83505
28 	200   	0.571305	19.9445	0.0130261	2.0188  	8.83 	15 	3  	3.12268
29 	200   	0.52722 	35.0698	0.0130261	2.49816 	8.85 	17 	3  	3.26152
30 	200   	0.732321	19.9445	0.0130261	2.58974 	8.81 	17 	3  	3.10224
31 	200   	0.617643	19.9445	0.0130261	2.0035  	8.73 	17 	3  	2.75447
32 	200   	0.921697	35.0698	0.0130261	3.49335 	8.77 	19 	3  	3.32973
33 	200   	0.499523	19.9445	0.0130261	1.68941 	8.67 	17 	3  	3.04485
34 	200   	0.95306 	19.9445	0.0130261	2.97006 	8.8  	17 	3  	3.42345
35 	200   	0.484634	16.8257	0.0130261	1.5222  	8.92 	15 	3  	2.91094
36 	200   	0.556064	19.9445	0.0130261	1.67256 	8.8  	15 	3  	2.91204
37 	200   	0.469837	9.05988	0.0130261	1.0371  	8.61 	17 	3  	3.04432
38 	200   	0.487156	19.9445	0.0130261	2.09156 	8.33 	17 	3  	2.62509
39 	200   	0.556642	19.9445	0.0130261	1.70852 	8.39 	17 	3  	3.11254
40 	200   	0.462857	9.05988	0.0130261	1.07396 	8.7  	17 	3  	2.88271
41 	200   	0.507253	19.9445	0.0130261	1.71647 	8.58 	17 	3  	2.87465
42 	200   	0.465728	19.9445	0.0130261	1.69495 	8.74 	17 	3  	2.77352
43 	200   	0.358077	19.9445	0.0130261	1.44692 	8.65 	17 	3  	2.81025
44 	200   	0.613313	19.9445	0.0130261	2.21343 	8.87 	15 	3  	2.7135 
45 	200   	0.564282	19.9445	0.0130261	2.04932 	8.74 	17 	3  	2.96857
46 	200   	0.666501	19.9445	0.0130261	2.28403 	8.73 	17 	3  	3.0178 
47 	200   	0.386214	9.05988	0.0130261	0.886675	8.88 	19 	3  	2.94374
48 	200   	0.958583	35.0698	0.0130261	3.6293  	8.82 	17 	3  	3.25078
49 	200   	0.579656	35.0698	0.0130261	2.70511 	8.53 	17 	3  	2.82827
50 	200   	0.773403	35.0698	0.0130261	2.93156 	8.76 	17 	3  	3.32   
