   	      	                        fitness                         	              size             
   	      	--------------------------------------------------------	-------------------------------
gen	nevals	avg     	max     	min      	std     	avg 	max	min	std    
0  	200   	151.311 	29886.6 	0.0130261	2107.88 	4.51	7  	2  	1.84659
1  	200   	2.05554 	62.485  	0.0130261	8.68001 	4.57	9  	2  	1.8507 
2  	200   	0.317892	3.48234 	0.0130261	0.365768	4.59	11 	2  	1.79218
3  	200   	0.206745	1.85076 	0.0130261	0.202842	4.91	9  	3  	1.76972
4  	200   	0.217072	0.752939	0.0130261	0.215067	5.79	11 	3  	1.78491
5  	200   	0.222223	0.993755	0.0130261	0.252757	6.43	9  	3  	1.5922 
6  	200   	0.291346	0.684449	0.0130261	0.273025	6.76	9  	3  	1.5819 
7  	200   	0.316712	2.41607 	0.0130261	0.341971	6.54	11 	3  	1.75168
8  	200   	0.265413	2.41607 	0.0130261	0.308918	6.66	11 	3  	1.58884
9  	200   	0.263914	0.993755	0.0130261	0.274558	6.8 	9  	3  	1.50997
10 	200   	0.294882	2.41607 	0.0130261	0.319577	6.65	11 	3  	1.63018
11 	200   	0.28865 	0.993755	0.0130261	0.27804 	6.64	11 	3  	1.57175
12 	200   	0.236857	2.41607 	0.0130261	0.304969	6.74	11 	3  	1.40442
13 	200   	0.314119	0.993755	0.0130261	0.291163	6.85	11 	3  	1.61168
14 	200   	0.36625 	5.20788 	0.0130261	0.608072	6.83	13 	3  	1.71788
15 	200   	0.306438	3.67945 	0.0130261	0.443131	6.81	11 	3  	1.51786
16 	200   	0.266283	0.993755	0.0130261	0.288407	6.82	9  	3  	1.44485
17 	200   	0.274853	2.41607 	0.0130261	0.319379	6.79	11 	3  	1.46147
18 	200   	0.294998	0.993755	0.0130261	0.301308	6.69	9  	3  	1.5633 
19 	200   	0.279448	3.67945 	0.0130261	0.432328	6.8 	11 	3  	1.48324
20 	200   	0.243223	0.993755	0.0130261	0.282336	6.85	9  	3  	1.37022
21 	200   	0.282671	0.993755	0.0130261	0.300231	6.82	9  	3  	1.51248
22 	200   	0.291199	2.41607 	0.0130261	0.313405	6.77	11 	3  	1.49903
23 	200   	0.261027	0.993755	0.0130261	0.288235	6.75	9  	3  	1.45516
24 	200   	0.303875	2.41607 	0.0130261	0.354238	6.89	11 	3  	1.5388 
25 	200   	0.270701	3.67945 	0.0130261	0.36772 	6.83	11 	3  	1.43913
26 	200   	0.327996	5.20788 	0.0130261	0.538971	6.77	13 	3  	1.63924
27 	200   	0.279581	0.993755	0.0130261	0.281208	6.81	9  	3  	1.49127
28 	200   	0.265886	0.993755	0.0130261	0.281064	6.9 	11 	3  	1.53297
29 	200   	0.345664	5.20788 	0.0130261	0.680427	6.96	13 	3  	1.78841
30 	200   	0.365631	9.05988 	0.0130261	0.873769	7.02	15 	3  	1.8438 
31 	200   	0.323002	2.41607 	0.0130261	0.389381	7.1 	11 	3  	1.72916
32 	200   	0.399957	19.9445 	0.0130261	1.44655 	7.1 	15 	3  	1.96723
33 	200   	0.368236	5.20788 	0.0130261	0.728914	7.24	15 	3  	1.9653 
34 	200   	0.318408	5.20788 	0.0130261	0.718281	7.25	13 	3  	1.8214 
35 	200   	0.282138	5.20788 	0.0130261	0.516873	7.41	13 	3  	1.84713
36 	200   	0.369516	19.9445 	0.0130261	1.44019 	7.24	15 	3  	1.73851
37 	200   	0.362714	5.20788 	0.0130261	0.791226	7.27	13 	3  	1.93574
38 	200   	0.369516	3.67945 	0.0130261	0.58024 	7.28	19 	3  	2.098  
39 	200   	0.329716	5.20788 	0.0130261	0.631818	7.08	13 	3  	1.8851 
40 	200   	0.236419	2.41607 	0.0130261	0.317464	7.11	11 	3  	1.55174
41 	200   	0.260892	2.41607 	0.0130261	0.34829 	7.08	11 	3  	1.49452
42 	200   	0.310677	5.20788 	0.0130261	0.580719	7.08	13 	3  	1.74172
43 	200   	0.403708	9.05988 	0.0130261	1.00407 	7.11	15 	3  	1.86759
44 	200   	0.290314	5.20788 	0.0130261	0.625504	7.04	13 	3  	1.69658
45 	200   	0.26151 	5.20788 	0.0130261	0.480017	7.11	13 	3  	1.62724
46 	200   	0.32901 	9.05988 	0.0130261	0.779847	7.13	15 	3  	1.86631
47 	200   	0.355469	5.20788 	0.0130261	0.56651 	7.2 	13 	3  	1.76635
48 	200   	0.341822	5.20788 	0.0130261	0.642873	7.05	13 	3  	1.88082
49 	200   	0.305819	5.20788 	0.0130261	0.509195	7.13	13 	3  	1.76723
50 	200   	0.31916 	5.20788 	0.0130261	0.520148	7.22	15 	3  	1.92655
