   	      	                        fitness                         	              size             
   	      	--------------------------------------------------------	-------------------------------
gen	nevals	avg     	max     	min      	std     	avg  	max	min	std    
0  	200   	2.55106 	70.0416 	0.0130261	6.97955 	4.15 	7  	2  	1.7713 
1  	200   	0.852736	4.89412 	0.158557 	0.915414	4.095	9  	2  	1.57987
2  	200   	0.373167	4.89412 	0.158557 	0.535755	3.7  	9  	3  	1.33791
3  	200   	0.273909	1.85076 	0.158557 	0.341046	3.85 	9  	3  	1.39911
4  	200   	0.314731	5.64767 	0.158557 	0.515828	4.45 	10 	3  	1.60546
5  	200   	0.439346	1.85076 	0.158557 	0.517311	5.075	11 	3  	1.72028
6  	200   	0.343244	1.85076 	0.158557 	0.355252	5.17 	12 	3  	1.64958
7  	200   	0.372996	3.48234 	0.158557 	0.440135	5.135	9  	3  	1.48552
8  	200   	0.372297	3.48234 	0.158557 	0.493753	5.105	9  	3  	1.28218
9  	200   	0.331448	1.85076 	0.158557 	0.339164	5.155	9  	3  	1.43212
10 	200   	0.333722	1.85076 	0.158557 	0.381169	5.055	10 	3  	1.39355
11 	200   	0.310401	1.85076 	0.158557 	0.304411	5.06 	8  	3  	1.42352
12 	200   	0.329537	1.85076 	0.158557 	0.350003	5.025	10 	3  	1.45065
13 	200   	0.253448	0.752939	0.158557 	0.197481	4.985	8  	3  	1.14664
14 	200   	0.308431	1.85076 	0.158557 	0.318217	5.105	9  	3  	1.28995
15 	200   	0.267944	1.85076 	0.158557 	0.251283	5.005	8  	3  	1.17259
16 	200   	0.278863	1.85076 	0.158557 	0.253957	5.065	9  	3  	1.31178
17 	200   	0.27313 	1.85076 	0.158557 	0.254963	5.015	8  	3  	1.14227
18 	200   	0.264913	1.85076 	0.158557 	0.243591	4.96 	8  	3  	1.25236
19 	200   	0.307765	1.85076 	0.158557 	0.299527	4.995	8  	3  	1.39103
20 	200   	0.268491	0.752939	0.158557 	0.202057	4.9  	7  	3  	1.28841
21 	200   	0.253632	1.69919 	0.158557 	0.208777	4.9  	9  	3  	1.26491
22 	200   	0.245474	1.69919 	0.158557 	0.203107	4.9  	9  	3  	1.21244
23 	200   	0.25066 	0.661999	0.158557 	0.186552	4.91 	7  	3  	1.2377 
24 	200   	0.266369	0.661999	0.158557 	0.1982  	4.93 	7  	3  	1.31723
25 	200   	0.256755	1.69919 	0.158557 	0.210404	4.86 	9  	3  	1.30399
26 	200   	0.258969	1.69919 	0.158557 	0.230542	4.89 	9  	3  	1.29919
27 	200   	0.256301	1.69919 	0.158557 	0.210583	4.89 	9  	3  	1.28371
28 	200   	0.250811	0.661999	0.158557 	0.18649 	4.9  	7  	3  	1.24499
29 	200   	0.266673	1.69919 	0.158557 	0.217459	4.91 	9  	3  	1.33113
30 	200   	0.236163	0.661999	0.158557 	0.172269	4.81 	7  	3  	1.20992
31 	200   	0.249447	0.661999	0.158557 	0.187048	4.99 	7  	3  	1.17469
32 	200   	0.266066	0.661999	0.158557 	0.198341	4.95 	7  	3  	1.30288
33 	200   	0.245322	0.661999	0.158557 	0.182244	4.91 	7  	3  	1.20495
34 	200   	0.266066	0.661999	0.158557 	0.198341	4.95 	7  	3  	1.30288
35 	200   	0.263549	1.69919 	0.158557 	0.216028	4.94 	9  	3  	1.29476
36 	200   	0.274376	1.69919 	0.158557 	0.222193	4.93 	9  	3  	1.36202
37 	200   	0.225639	0.661999	0.158557 	0.161606	4.8  	7  	3  	1.14891
38 	200   	0.277499	0.661999	0.158557 	0.204599	4.9  	7  	3  	1.39642
39 	200   	0.236618	0.661999	0.158557 	0.172104	4.78 	7  	3  	1.22947
40 	200   	0.272616	0.661999	0.158557 	0.201168	4.87 	7  	3  	1.38676
41 	200   	0.247444	1.69919 	0.158557 	0.221421	4.77 	9  	3  	1.29888
42 	200   	0.225185	0.661999	0.158557 	0.161752	4.83 	7  	3  	1.12743
43 	200   	0.266673	0.661999	0.158557 	0.198058	4.91 	7  	3  	1.33113
44 	200   	0.259272	1.69919 	0.158557 	0.212218	4.87 	9  	3  	1.31267
45 	200   	0.248901	0.661999	0.158557 	0.184061	4.85 	7  	3  	1.26392
46 	200   	0.243108	0.661999	0.158557 	0.179816	4.88 	7  	3  	1.21062
47 	200   	0.251115	0.661999	0.158557 	0.186364	4.88 	7  	3  	1.25921
48 	200   	0.258515	0.661999	0.158557 	0.192624	4.92 	7  	3  	1.27812
49 	200   	0.280016	1.69919 	0.158557 	0.224909	4.91 	9  	3  	1.40424
50 	200   	0.263002	0.661999	0.158557 	0.193685	4.8  	7  	3  	1.37113
