   	      	                         fitness                         	              size             
   	      	---------------------------------------------------------	-------------------------------
gen	nevals	avg      	max     	min        	std      	avg   	max	min	std    
0  	200   	4.71712  	251.944 	0.0130261  	25.3787  	4.22  	7  	2  	1.76114
1  	200   	0.69256  	4.89412 	0.0130261  	0.755324 	4.29  	9  	2  	1.7076 
2  	200   	0.426286 	4.89412 	0.0130261  	0.623484 	4.405 	11 	2  	1.70909
3  	200   	0.225618 	1.85076 	0.0130261  	0.200613 	4.84  	9  	3  	1.63536
4  	200   	0.204467 	0.752939	0.0130261  	0.15445  	5.26  	10 	3  	1.653  
5  	200   	0.227568 	0.752939	0.0130261  	0.186791 	5.905 	11 	3  	1.77651
6  	200   	0.21454  	1.51068 	0.0326045  	0.224574 	6.225 	13 	3  	2.14578
7  	200   	0.244458 	2.26102 	0.0130261  	0.336937 	6.955 	13 	3  	2.22103
8  	200   	0.174451 	0.752939	0.0186442  	0.154787 	7.62  	17 	3  	2.61641
9  	200   	0.153573 	0.900112	6.28049e-24	0.159879 	8.325 	17 	3  	3.02975
10 	200   	0.105697 	0.71719 	6.28049e-24	0.128827 	9.515 	21 	3  	3.49997
11 	200   	0.0863814	0.456394	6.28049e-24	0.096156 	11.175	25 	3  	4.30516
12 	200   	0.0711087	0.598887	6.28049e-24	0.0969406	13.075	31 	3  	5.11365
13 	200   	0.0661654	0.900281	6.28049e-24	0.102201 	14.265	31 	3  	5.25307
14 	200   	0.0577194	0.521304	6.28049e-24	0.092391 	14.88 	29 	3  	5.11425
15 	200   	0.0610517	0.661281	6.28049e-24	0.0993115	15.71 	35 	3  	5.38014
16 	200   	0.0547558	0.661074	6.28049e-24	0.0952676	15.88 	33 	3  	5.45945
17 	200   	0.0685244	0.611218	6.28049e-24	0.112243 	15.615	33 	3  	5.57645
18 	200   	0.0525888	0.598443	6.28049e-24	0.0920094	16.02 	33 	5  	4.9759 
19 	200   	0.0640999	0.587376	6.28049e-24	0.0935762	15.34 	31 	3  	5.37442
20 	200   	0.0471976	0.521304	6.28049e-24	0.0718482	15.53 	35 	3  	4.99391
21 	200   	0.0573012	0.627156	6.28049e-24	0.0901691	15.64 	33 	3  	5.65247
22 	200   	0.0638871	0.601001	6.28049e-24	0.0984111	16.27 	35 	3  	6.21668
23 	200   	0.0565881	0.411461	6.28049e-24	0.091463 	16.58 	43 	5  	6.02525
24 	200   	0.0711149	0.804694	6.28049e-24	0.116957 	16.92 	45 	3  	7.10166
25 	200   	0.0658436	0.521304	6.28049e-24	0.106758 	16.67 	35 	5  	6.42114
26 	200   	0.0563457	1.01914 	6.28049e-24	0.109761 	15.9  	39 	3  	5.87792
27 	200   	0.0565485	0.611218	6.28049e-24	0.098586 	15.95 	35 	5  	5.45871
28 	200   	0.0532869	0.522794	6.28049e-24	0.0862589	16.25 	37 	5  	5.95462
29 	200   	0.0636373	0.6754  	6.28049e-24	0.106873 	16.08 	41 	5  	5.76833
30 	200   	0.0593355	0.564637	6.28049e-24	0.0957022	15.61 	29 	3  	5.24289
31 	200   	0.0467807	0.47919 	6.28049e-24	0.0751824	15.69 	33 	5  	5.15984
32 	200   	0.0519587	0.401797	6.28049e-24	0.084839 	15.78 	37 	5  	5.28314
33 	200   	0.0637564	0.480388	6.28049e-24	0.101283 	16.12 	33 	5  	5.81942
34 	200   	0.0652665	0.522794	6.28049e-24	0.100493 	15.94 	37 	5  	6.12506
35 	200   	0.0664191	0.521304	6.28049e-24	0.106576 	15.63 	31 	5  	5.32007
36 	200   	0.0717935	0.706214	6.28049e-24	0.110919 	15.59 	41 	5  	5.88489
37 	200   	0.0647611	0.609802	6.28049e-24	0.108141 	15.08 	45 	3  	6.0028 
38 	200   	0.0453586	0.408792	6.28049e-24	0.074021 	15.09 	29 	5  	4.62298
39 	200   	0.0610173	0.661746	6.28049e-24	0.0932986	15.7  	37 	5  	5.65597
40 	200   	0.0546605	0.522794	6.28049e-24	0.0821869	15.59 	33 	5  	5.93565
41 	200   	0.0580152	0.559367	6.28049e-24	0.091222 	15.78 	33 	3  	6.16049
42 	200   	0.0581628	0.545323	6.28049e-24	0.0990327	15.45 	35 	3  	6.14959
43 	200   	0.0628633	0.559367	6.28049e-24	0.0934067	15.36 	39 	5  	5.67718
44 	200   	0.0631897	0.716895	6.28049e-24	0.0996888	15.19 	37 	5  	5.23296
45 	200   	0.059707 	0.709188	6.28049e-24	0.102595 	15.8  	39 	5  	5.57136
46 	200   	0.0616997	0.522794	6.28049e-24	0.0972521	15.22 	33 	3  	5.5921 
47 	200   	0.0658636	0.471403	6.28049e-24	0.101592 	15.44 	31 	3  	5.49967
48 	200   	0.0561405	0.607391	6.28049e-24	0.0884065	15.08 	33 	5  	4.94708
49 	200   	0.0618322	0.521304	6.28049e-24	0.0956247	15.26 	33 	5  	5.10416
50 	200   	0.0548813	0.611218	6.28049e-24	0.095475 	15.29 	27 	5  	4.80998
