   	      	                    fitness                     	              size             
   	      	------------------------------------------------	-------------------------------
gen	nevals	avg     	max    	min        	std     	avg  	max	min	std    
0  	200   	301.4   	29886.6	0.0604945  	2973.43 	4.31 	7  	2  	1.82863
1  	200   	2.40659 	251.944	0.0604945  	18.2491 	4.375	7  	2  	1.60137
2  	200   	0.327043	4.89412	0.0604945  	0.440024	4.245	9  	3  	1.68374
3  	200   	0.279032	5.64767	0.0130261  	0.454132	4.395	9  	3  	1.69085
4  	200   	0.277727	1.85076	0.0130261  	0.31911 	5.24 	11 	3  	1.84997
5  	200   	0.262369	2.66376	0.0130261  	0.343669	5.975	13 	3  	2.00608
6  	200   	0.21699 	2.66376	0.0130261  	0.311944	6.41 	13 	3  	2.04007
7  	200   	0.21997 	2.26102	0.00560031 	0.348281	7.065	13 	3  	2.27173
8  	200   	0.318995	9.05988	0.0130261  	0.770538	7.91 	15 	3  	2.583  
9  	200   	0.220527	1.41773	0.00402745 	0.314971	8.24 	17 	3  	2.96351
10 	200   	0.304236	19.9445	6.28064e-24	1.44418 	8.73 	17 	3  	3.10276
11 	200   	0.225093	3.89338	6.28064e-24	0.494938	9.36 	19 	3  	3.30309
12 	200   	0.397269	9.05988	0.00560031 	0.878853	9.76 	25 	3  	4.00779
13 	200   	0.355716	9.05988	0.00560031 	0.767754	9.89 	27 	3  	4.11678
14 	200   	0.298483	7.57582	0.00560031 	0.820368	10.18	21 	3  	3.84806
15 	200   	0.323011	9.05988	0.00402745 	0.814328	10.41	25 	3  	4.29789
16 	200   	0.298666	7.12207	0.00402745 	0.785196	10.97	27 	3  	4.41578
17 	200   	0.422758	19.9445	6.28062e-24	1.74815 	10.91	23 	3  	4.03632
18 	200   	0.302385	7.12207	6.28062e-24	0.706297	11.17	25 	3  	4.27447
19 	200   	0.435728	19.9445	0.00402745 	1.62888 	10.96	27 	3  	4.39527
20 	200   	0.391352	14.5543	0.00402745 	1.43669 	11.14	29 	3  	4.59787
21 	200   	0.258796	5.99854	0.00402745 	0.574864	11.56	33 	3  	4.89963
22 	200   	0.344865	9.05988	0.00402745 	0.966751	11.21	23 	3  	4.22562
23 	200   	0.218465	1.91395	0.00402745 	0.376811	11.32	27 	3  	4.36092
24 	200   	0.556439	23.5106	0.00402745 	2.30471 	11.1 	23 	3  	4.27434
25 	200   	0.304669	7.57582	0.00402745 	0.670496	11.53	27 	3  	4.77275
26 	200   	0.459444	16.9912	0.00402745 	1.93113 	11.19	25 	3  	4.14052
27 	200   	0.668669	16.9912	6.28062e-24	2.2668  	11.16	29 	3  	4.82643
28 	200   	0.366267	12.997 	0.00402745 	1.16106 	10.92	25 	3  	4.2654 
29 	200   	0.319045	5.99854	0.00560031 	0.599496	10.78	23 	3  	4.25577
30 	200   	0.34705 	16.9912	0.00560031 	1.36244 	10.78	23 	3  	3.77778
31 	200   	0.495862	16.9912	0.00560031 	2.00453 	10.74	25 	3  	3.55139
32 	200   	0.400964	14.5543	0.00560031 	1.50549 	10.85	23 	3  	3.8259 
33 	200   	0.351126	5.99854	0.00560031 	0.640116	10.55	23 	3  	4.09603
34 	200   	0.936138	35.0698	0.00560031 	3.35133 	10.76	25 	3  	4.21692
35 	200   	0.240177	11.0888	0.00560031 	1.02516 	10.57	23 	3  	3.57143
36 	200   	0.403261	16.9912	0.00560031 	1.63016 	10.82	21 	3  	3.83766
37 	200   	0.333746	23.9933	0.00560031 	1.72217 	10.85	27 	3  	3.9443 
38 	200   	0.255732	9.05988	0.00560031 	0.801185	10.8 	23 	3  	3.37639
39 	200   	0.528902	23.8343	0.00560031 	2.38018 	10.72	23 	3  	4.05482
40 	200   	0.373356	14.5543	0.00560031 	1.26117 	10.94	21 	3  	3.71435
41 	200   	0.560272	16.9912	0.00560031 	2.13322 	10.59	21 	3  	3.859  
42 	200   	0.234156	1.98671	0.00560031 	0.394178	10.74	23 	3  	3.69492
43 	200   	0.269482	2.99412	0.00560031 	0.440258	10.85	25 	3  	3.85195
44 	200   	0.264127	2.41607	0.00560031 	0.400104	10.6 	25 	3  	3.83667
45 	200   	0.443656	23.8343	0.00560031 	2.29048 	10.76	21 	3  	3.50748
46 	200   	0.621247	16.9912	0.00560031 	2.20684 	10.86	21 	3  	3.90133
47 	200   	0.401359	14.5543	0.00560031 	1.59541 	10.59	23 	3  	3.62931
48 	200   	0.373005	16.9912	0.00560031 	1.59513 	10.61	19 	3  	3.76668
49 	200   	0.434383	19.9445	0.00560031 	1.85994 	10.85	25 	3  	4.04444
50 	200   	0.497584	16.9912	0.00560031 	1.80098 	10.98	25 	3  	3.98994
