   	      	                         fitness                         	              size             
   	      	---------------------------------------------------------	-------------------------------
gen	nevals	avg      	max     	min        	std      	avg  	max	min	std    
0  	200   	3.7689   	251.944 	0.0604945  	18.788   	4.085	7  	2  	1.77982
1  	200   	1.60277  	62.5082 	0.0604945  	6.20419  	4.27 	9  	2  	1.62083
2  	200   	0.795587 	62.485  	0.0326045  	4.41481  	4.325	9  	2  	1.59354
3  	200   	0.287861 	3.48234 	0.0326045  	0.405394 	4.44 	11 	3  	1.75682
4  	200   	0.21908  	1.85076 	0.0326045  	0.247329 	4.77 	9  	3  	1.72253
5  	200   	0.195079 	0.752939	0.0326045  	0.165936 	5.675	9  	3  	1.67612
6  	200   	0.15127  	0.661999	0.0326045  	0.148165 	6.68 	11 	3  	1.85946
7  	200   	0.141841 	0.661999	0.0326045  	0.143638 	7.63 	15 	3  	2.37973
8  	200   	0.127405 	0.661999	0.00402745 	0.130653 	8.51 	17 	3  	2.38745
9  	200   	0.0961355	0.611218	6.28064e-24	0.10318  	9.18 	21 	3  	2.8579 
10 	200   	0.0959335	0.661999	6.28062e-24	0.108828 	9.91 	23 	3  	3.59331
11 	200   	0.072445 	0.661999	6.28062e-24	0.100187 	11.87	25 	3  	4.49701
12 	200   	0.0633414	0.661281	6.28062e-24	0.0929893	14.32	31 	3  	5.1437 
13 	200   	0.0525444	0.514728	6.28062e-24	0.0790623	15.77	39 	5  	5.56301
14 	200   	0.0552801	0.456394	6.28062e-24	0.0850437	16.67	41 	3  	6.05567
15 	200   	0.042764 	0.874207	6.28062e-24	0.0857085	17.09	39 	3  	6.43521
16 	200   	0.0595878	0.845868	6.28062e-24	0.110928 	16.68	37 	3  	5.70067
17 	200   	0.0443509	0.468173	6.28062e-24	0.0723968	17.04	39 	7  	5.66025
18 	200   	0.0402162	0.867633	6.28062e-24	0.0910007	16.77	33 	3  	4.88744
19 	200   	0.052751 	0.521304	6.28062e-24	0.0944   	17   	35 	7  	5.28015
20 	200   	0.0639043	0.839068	6.28062e-24	0.123701 	16.35	33 	3  	4.87827
21 	200   	0.0543437	0.611218	6.28062e-24	0.0888188	16.59	37 	3  	5.30018
22 	200   	0.0469025	0.468173	6.28062e-24	0.0777625	16.65	43 	3  	5.95462
23 	200   	0.0758832	1.04099 	6.28049e-24	0.134549 	16.67	39 	3  	6.61748
24 	200   	0.0719797	0.678514	6.28049e-24	0.123459 	16.76	41 	3  	6.01185
25 	200   	0.056107 	0.661999	6.28062e-24	0.0911931	16.21	39 	3  	6.2957 
26 	200   	0.0433594	0.614272	6.28062e-24	0.0738071	15.61	37 	3  	5.40443
27 	200   	0.0489889	0.394496	6.28062e-24	0.0746263	16.38	37 	3  	5.84941
28 	200   	0.0454489	0.835762	6.28062e-24	0.0865776	16.29	31 	3  	5.50962
29 	200   	0.0520262	0.583771	6.28062e-24	0.0852314	15.93	35 	3  	5.62095
30 	200   	0.0404073	0.260248	6.28062e-24	0.0551526	15.52	31 	3  	5.74888
31 	200   	0.0532668	0.545662	6.28062e-24	0.0848277	15.79	37 	3  	5.96288
32 	200   	0.0514661	0.537005	6.28062e-24	0.0801855	16.05	35 	3  	5.58905
33 	200   	0.0583359	0.661999	6.28062e-24	0.0901897	15.89	43 	3  	6.51367
34 	200   	0.0439354	0.352462	6.28049e-24	0.0623435	16.18	41 	3  	6.3504 
35 	200   	0.0488108	0.483109	6.28049e-24	0.0689042	15.91	41 	3  	5.98932
36 	200   	0.0524462	0.397785	6.28049e-24	0.0733272	15.94	43 	3  	6.55716
37 	200   	0.0492233	0.96659 	6.28049e-24	0.0909105	15.98	37 	3  	6.14488
38 	200   	0.0376877	0.427777	6.28049e-24	0.063258 	15.86	37 	3  	5.57677
39 	200   	0.0461208	0.620707	6.28049e-24	0.0749689	15.79	37 	3  	5.62102
40 	200   	0.0502702	0.353295	6.28049e-24	0.0676885	15.95	43 	3  	6.5328 
41 	200   	0.0536899	0.471403	6.28049e-24	0.0760455	16.15	41 	3  	6.68263
42 	200   	0.0487733	0.53964 	6.28049e-24	0.0750192	16.1 	41 	3  	6.33956
43 	200   	0.0470301	0.352462	6.28049e-24	0.0663148	15.56	33 	3  	5.94697
44 	200   	0.0359095	0.317171	6.28049e-24	0.0505181	15.83	31 	3  	5.34145
45 	200   	0.0566935	0.521304	6.28049e-24	0.0869817	15.74	45 	3  	6.30336
46 	200   	0.0490235	0.38465 	6.28049e-24	0.0695236	15.98	43 	3  	6.48071
47 	200   	0.0480714	0.334371	6.28049e-24	0.0620235	16   	35 	3  	6.4    
48 	200   	0.054833 	0.410149	6.28049e-24	0.0864161	15.89	33 	3  	5.82648
49 	200   	0.0536257	0.587376	6.28049e-24	0.0871215	16.03	37 	3  	6.10566
50 	200   	0.0513982	0.521304	6.28049e-24	0.0827242	15.58	33 	3  	5.92145
