   	      	                        fitness                         	              size             
   	      	--------------------------------------------------------	-------------------------------
gen	nevals	avg      	max     	min        	std     	avg  	max	min	std    
0  	200   	302.482  	29886.6 	0.0130261  	2973.37 	4.425	7  	2  	1.82876
1  	200   	1.04115  	62.485  	0.0130261  	4.41611 	4.645	9  	2  	1.70264
2  	200   	0.398853 	3.76284 	0.0130261  	0.478909	4.71 	9  	3  	1.82096
3  	200   	0.216063 	1.69919 	0.0130261  	0.187878	4.75 	13 	3  	1.95895
4  	200   	0.207467 	1.85076 	0.00402745 	0.256198	5.48 	11 	3  	2.07113
5  	200   	0.214481 	1.26225 	0.00402745 	0.218778	6.42 	13 	3  	2.24134
6  	200   	0.20721  	1.77252 	0.00402745 	0.250237	7.05 	15 	3  	2.5015 
7  	200   	0.225582 	2.41607 	0.00402745 	0.301999	7.39 	15 	3  	2.4795 
8  	200   	0.249387 	2.67523 	0.00402745 	0.329134	7.57 	19 	3  	2.75955
9  	200   	0.254288 	2.41607 	0.00402745 	0.345923	7.71 	17 	3  	2.88373
10 	200   	0.179965 	1.61515 	6.28073e-24	0.26991 	7.97 	19 	3  	2.96633
11 	200   	0.211533 	2.41607 	6.28073e-24	0.302273	7.75 	19 	3  	2.52537
12 	200   	0.249501 	2.03794 	6.28073e-24	0.288116	7.95 	21 	3  	2.88401
13 	200   	0.294843 	2.37646 	0.00402745 	0.357143	8.1  	29 	3  	3.48569
14 	200   	0.232856 	2.41607 	6.28073e-24	0.304717	7.94 	19 	3  	3.15538
15 	200   	0.239465 	4.23276 	6.28073e-24	0.422482	8.17 	19 	3  	3.10662
16 	200   	0.222552 	4.23276 	0.0017408  	0.414192	8.58 	17 	3  	3.20992
17 	200   	0.24623  	2.67523 	0.00187892 	0.396355	8.85 	21 	3  	3.39374
18 	200   	0.246528 	2.67523 	0.0017408  	0.428974	8.98 	23 	3  	3.58882
19 	200   	0.185175 	1.641   	6.28073e-24	0.242694	9.35 	27 	3  	4.23527
20 	200   	0.198562 	2.09295 	6.28073e-24	0.294601	9.89 	29 	3  	4.73159
21 	200   	0.178992 	3.23854 	6.28073e-24	0.311376	10.14	29 	3  	4.62389
22 	200   	0.213548 	3.18557 	6.28073e-24	0.438266	10.71	25 	3  	4.49621
23 	200   	0.13351  	2.41607 	6.28073e-24	0.308972	11.67	27 	3  	5.09226
24 	200   	0.125395 	2.01055 	6.28073e-24	0.230534	11.85	27 	3  	5.66899
25 	200   	0.0963328	1.79525 	6.28073e-24	0.194541	12.4 	31 	3  	5.11468
26 	200   	0.1029   	1.32574 	6.28073e-24	0.180778	12.97	33 	3  	5.92782
27 	200   	0.145534 	3.55525 	6.28073e-24	0.351508	12.69	27 	3  	5.86889
28 	200   	0.0922555	2.36481 	6.28073e-24	0.23087 	13.02	33 	3  	5.66742
29 	200   	0.0937109	0.998376	6.28073e-24	0.141493	13.43	33 	3  	5.94938
30 	200   	0.0894936	0.954067	6.28073e-24	0.138584	13.01	31 	3  	5.40184
31 	200   	0.1077   	1.6769  	6.28073e-24	0.203495	13.17	33 	3  	5.70886
32 	200   	0.134693 	1.66113 	6.28073e-24	0.227518	13.08	31 	3  	6.39012
33 	200   	0.0924127	0.954067	6.28073e-24	0.136238	12.74	33 	3  	5.64025
34 	200   	0.127723 	1.96926 	6.28073e-24	0.242657	12.99	29 	3  	5.8258 
35 	200   	0.148122 	2.74432 	6.28073e-24	0.302663	13.4 	31 	3  	6.48999
36 	200   	0.0880822	1.45629 	6.28073e-24	0.172406	13.47	31 	3  	5.1419 
37 	200   	0.0985769	1.66113 	6.28073e-24	0.175693	13.25	33 	3  	5.96636
38 	200   	0.0904592	1.25778 	6.28073e-24	0.160098	13.31	37 	3  	6.12894
39 	200   	0.121952 	2.43627 	6.28073e-24	0.249157	12.94	33 	3  	6.19971
40 	200   	0.104115 	0.971271	6.28073e-24	0.160901	13.07	31 	3  	5.8391 
41 	200   	0.0776567	0.905625	6.28073e-24	0.128713	13.14	35 	3  	5.70091
42 	200   	0.131259 	1.96926 	6.28073e-24	0.237068	13.2 	31 	3  	6.28967
43 	200   	0.093475 	0.841029	6.28059e-24	0.137442	13.05	35 	3  	6.08749
44 	200   	0.0726256	2.32728 	6.28059e-24	0.178117	12.99	31 	3  	5.26307
45 	200   	0.0916769	0.954067	6.28059e-24	0.153245	13.01	31 	3  	5.57314
46 	200   	0.0811693	1.36684 	6.28059e-24	0.145028	13.09	31 	3  	5.36767
47 	200   	0.133444 	2.36481 	6.28073e-24	0.259585	12.93	35 	3  	6.02786
48 	200   	0.127108 	1.96926 	6.28073e-24	0.242274	12.67	27 	3  	5.57773
49 	200   	0.14289  	5.27475 	6.28073e-24	0.432219	12.69	33 	3  	6.28998
50 	200   	0.100122 	2.34223 	6.28073e-24	0.21967 	12.62	31 	3  	5.68996
