   	      	                    fitness                     	              size             
   	      	------------------------------------------------	-------------------------------
gen	nevals	avg      	max    	min        	std     	avg   	max	min	std    
0  	200   	151.297  	29886.6	0.0604945  	2107.88 	4.29  	7  	2  	1.73375
1  	196   	0.840969 	5.64767	0.0326045  	0.855764	4.61  	9  	2  	1.76009
2  	194   	0.403969 	5.64767	0.0130261  	0.575665	4.34  	15 	1  	1.79844
3  	192   	0.288034 	3.48234	0.0130261  	0.448911	4.5   	11 	2  	1.76352
4  	193   	0.312298 	3.48234	0.0130261  	0.440834	5.35  	17 	2  	2.28856
5  	186   	0.292627 	3.48234	0.0130261  	0.435019	5.65  	12 	1  	2.24889
6  	192   	0.333205 	5.37419	0.00402745 	0.581844	6.23  	16 	3  	2.27092
7  	191   	0.287975 	3.27015	6.28073e-24	0.47663 	7.35  	18 	1  	2.66036
8  	196   	0.289658 	2.74145	6.28073e-24	0.560532	8.355 	17 	3  	3.11271
9  	194   	0.325371 	3.1571 	6.28073e-24	0.641721	9.37  	20 	3  	3.36647
10 	193   	0.331803 	3.07113	6.28073e-24	0.584292	10.215	21 	3  	4.31495
11 	200   	0.307969 	4.06204	6.28049e-24	0.58154 	10.88 	26 	1  	4.70166
12 	188   	0.200959 	1.85076	6.28049e-24	0.327927	11.795	24 	1  	4.7374 
13 	192   	0.23088  	5.64767	6.28073e-24	0.582745	12.525	26 	3  	4.7423 
14 	194   	0.557447 	68.3044	6.28059e-24	4.82656 	13.24 	28 	3  	4.72254
15 	190   	0.240388 	4.06204	6.28049e-24	0.552283	13.35 	27 	2  	5.1988 
16 	194   	0.217401 	3.29587	6.28049e-24	0.450835	14.205	36 	3  	6.07478
17 	192   	0.277104 	5.1805 	6.28049e-24	0.657866	14.8  	42 	1  	6.69029
18 	187   	0.418    	24.9406	6.28049e-24	1.85336 	14.895	42 	3  	6.79956
19 	188   	0.144512 	3.48234	6.28049e-24	0.360975	15.055	37 	2  	6.46622
20 	192   	0.144698 	1.96926	6.28049e-24	0.257132	14.59 	39 	1  	6.56749
21 	194   	0.136593 	1.19847	6.28049e-24	0.227319	14.45 	34 	3  	6.01893
22 	196   	0.168663 	3.68139	6.28049e-24	0.370651	14.21 	33 	3  	5.84944
23 	189   	0.175613 	3.20757	6.28049e-24	0.42011 	13.815	29 	3  	5.48459
24 	192   	0.159988 	3.42605	6.28049e-24	0.351025	13.885	31 	3  	5.63043
25 	197   	0.21706  	15.3063	6.28049e-24	1.15743 	14.08 	31 	3  	5.91131
26 	192   	0.148701 	4.07432	6.28049e-24	0.408982	13.82 	36 	3  	6.30536
27 	184   	0.148982 	3.20757	6.28049e-24	0.362827	14.15 	36 	3  	5.80926
28 	195   	0.183819 	2.27983	6.28049e-24	0.377889	14.555	43 	3  	6.61642
29 	194   	0.129298 	2.01415	6.28049e-24	0.266679	14.45 	35 	3  	6.4232 
30 	192   	0.120752 	3.48234	6.28049e-24	0.337307	14.27 	33 	3  	5.97722
31 	195   	0.121865 	2.57288	6.28049e-24	0.304526	14.405	30 	3  	5.70096
32 	195   	0.144432 	3.48234	6.28049e-24	0.388883	14.34 	36 	3  	6.32727
33 	184   	0.161541 	2.31982	6.28049e-24	0.339481	14.59 	36 	3  	6.31046
34 	184   	0.184553 	9.02307	6.28049e-24	0.713779	14.3  	31 	3  	5.77581
35 	190   	0.107737 	1.15081	6.28049e-24	0.190449	14.675	35 	3  	6.26174
36 	193   	0.149584 	5.4178 	6.28049e-24	0.482052	14.74 	39 	1  	6.05908
37 	189   	0.137599 	2.36481	6.28049e-24	0.306552	15.035	33 	3  	6.37132
38 	187   	0.124571 	1.85076	6.28049e-24	0.266641	15.12 	37 	3  	6.45257
39 	192   	0.0955183	1.66113	6.28049e-24	0.178364	15.105	39 	3  	6.58058
40 	197   	0.133284 	1.69367	6.28049e-24	0.26208 	15.26 	42 	1  	6.7136 
41 	195   	0.109107 	3.01176	6.28049e-24	0.260271	15.73 	46 	3  	8.07076
42 	195   	0.106898 	1.85076	6.28049e-24	0.214646	15.025	55 	3  	7.46555
43 	189   	0.104171 	1.85076	6.28049e-24	0.224038	14.91 	41 	3  	6.70238
44 	194   	0.150132 	4.06204	6.28049e-24	0.40266 	15.44 	39 	3  	6.93011
45 	193   	0.0993941	1.98841	6.28049e-24	0.222982	15.32 	36 	3  	6.72143
46 	190   	0.102221 	3.20757	6.28049e-24	0.349823	15.84 	37 	3  	6.79149
47 	190   	0.453238 	66.9438	6.28049e-24	4.72118 	15.35 	46 	1  	7.33604
48 	192   	0.100637 	1.85076	6.28049e-24	0.237137	15.63 	53 	3  	7.09881
49 	192   	0.109264 	3.48234	6.28049e-24	0.285698	15.645	37 	3  	7.25114
50 	184   	0.100151 	3.48234	6.28049e-24	0.302628	15.35 	37 	1  	7.19218
