   	      	                        fitness                         	              size             
   	      	--------------------------------------------------------	-------------------------------
gen	nevals	avg     	max     	min       	std     	avg   	max	min	std    
0  	200   	151.311 	29886.6 	0.0130261 	2107.88 	4.51  	7  	2  	1.84659
1  	186   	1.15748 	62.485  	0.0130261 	4.4563  	4.61  	15 	1  	1.9565 
2  	192   	149.862 	29886.6 	0.0130261 	2107.98 	5     	15 	1  	2.25389
3  	198   	0.230884	0.807407	0.0130261 	0.209493	5.4   	13 	1  	1.91833
4  	189   	0.264244	5.64767 	0.0130261 	0.476212	5.92  	15 	3  	2.09848
5  	188   	0.238239	1.85076 	0.0130261 	0.268401	6.525 	15 	3  	2.06383
6  	192   	0.224609	2.41607 	0.0130261 	0.318071	6.985 	15 	3  	2.03095
7  	194   	0.350571	5.20788 	0.0130261 	0.654348	7.14  	15 	3  	2.02247
8  	184   	0.234121	0.993755	0.0130261 	0.266436	7.065 	14 	3  	1.72649
9  	194   	0.315524	5.64767 	0.0130261 	0.576651	7.12  	15 	1  	1.85623
10 	191   	0.301106	6.99007 	0.00560031	0.598911	7.065 	13 	3  	1.68249
11 	194   	0.254044	2.84338 	0.00560031	0.417717	7.075 	18 	3  	1.9873 
12 	187   	0.307933	4.35992 	0.00560031	0.530675	7.015 	13 	3  	1.63853
13 	188   	0.225755	4.4519  	0.00560031	0.421594	7.28  	18 	1  	2.09084
14 	194   	0.371262	14.7705 	0.00560031	1.12113 	7.475 	20 	1  	2.58445
15 	200   	0.369573	6.13275 	0.00560031	0.794568	7.645 	15 	3  	2.32787
16 	186   	0.331857	5.20788 	0.00560031	0.546682	7.635 	19 	3  	2.24984
17 	195   	0.406315	8.73977 	0.00560031	0.983469	7.64  	23 	3  	2.77135
18 	190   	0.271281	3.7778  	0.00560031	0.514369	7.585 	15 	1  	2.16628
19 	179   	0.335544	5.20788 	0.00560031	0.693624	7.855 	17 	3  	2.63134
20 	191   	0.50727 	7.92927 	0.00560031	1.08715 	7.82  	17 	3  	2.82092
21 	186   	0.31366 	5.20788 	0.00560031	0.615494	8.2   	17 	1  	2.63818
22 	186   	0.3783  	14.5543 	0.00560031	1.1785  	8.975 	23 	3  	2.93843
23 	192   	0.445228	14.5543 	0.00560031	1.34884 	9.725 	19 	3  	3.38517
24 	194   	0.413795	8.74032 	0.00560031	1.01704 	10.1  	21 	3  	3.90384
25 	189   	0.360355	10.483  	0.00560031	0.980632	10.18 	21 	1  	3.73599
26 	188   	0.413437	12.3847 	0.00560031	1.26446 	10.45 	21 	3  	3.5025 
27 	189   	0.497295	25.1227 	0.00560031	2.13775 	10.255	21 	1  	3.8    
28 	190   	0.69401 	26.8635 	0.00560031	2.59356 	10.67 	23 	1  	4.17506
29 	184   	0.629566	16.9912 	0.00560031	2.06336 	10.915	27 	3  	4.80809
30 	187   	0.486195	14.5543 	0.00560031	1.58043 	10.905	25 	3  	4.62017
31 	186   	0.538188	12.997  	0.00560031	1.64032 	11.12 	29 	3  	4.25507
32 	192   	0.385291	7.12207 	0.00560031	0.841384	10.855	25 	3  	4.52592
33 	191   	0.302781	9.05988 	0.00560031	0.865295	10.88 	25 	3  	3.87629
34 	183   	0.436734	16.9912 	0.00560031	1.8203  	10.85 	23 	3  	4.27405
35 	186   	0.622949	14.5543 	0.00560031	1.92533 	10.925	21 	3  	4.06317
36 	180   	0.661238	16.9912 	0.00560031	2.30211 	10.85 	27 	1  	4.48302
37 	199   	0.487213	14.5543 	0.00560031	1.39408 	11.095	23 	1  	4.82244
38 	194   	0.390292	14.5543 	0.00560031	1.16086 	11.67 	27 	3  	4.84263
39 	183   	0.475456	14.5543 	0.00560031	1.51212 	11.24 	23 	3  	4.29563
40 	184   	0.454781	14.5543 	0.00560031	1.52414 	10.655	21 	1  	3.90845
41 	188   	0.414441	16.9912 	0.00560031	1.49042 	10.775	21 	1  	4.10541
42 	192   	0.384565	19.9445 	0.00560031	1.45227 	11.005	27 	3  	4.48832
43 	198   	0.345554	7.57582 	0.00560031	0.869229	11.13 	23 	3  	4.04637
44 	194   	0.5703  	14.5543 	0.00560031	1.94646 	11.085	25 	3  	4.03953
45 	191   	0.348363	2.15477 	0.00560031	0.440626	11.075	23 	3  	4.7095 
46 	192   	0.65008 	21.3317 	0.00560031	2.19946 	10.945	25 	1  	4.50355
47 	195   	0.753016	54.436  	0.00560031	4.56622 	11.07 	23 	3  	4.23026
48 	194   	0.635761	63.0594 	0.00560031	4.55913 	11.235	28 	3  	4.63463
49 	194   	0.642949	15.1416 	0.00560031	1.64836 	11.095	26 	1  	4.50622
50 	198   	0.441118	16.9912 	0.00560031	1.38783 	10.78 	25 	1  	4.38538
