   	      	                        fitness                         	              size             
   	      	--------------------------------------------------------	-------------------------------
gen	nevals	avg      	max     	min        	std     	avg   	max	min	std    
0  	200   	2.55106  	70.0416 	0.0130261  	6.97955 	4.15  	7  	2  	1.7713 
1  	196   	0.868801 	5.64767 	0.158557   	0.942049	4.16  	10 	1  	1.79566
2  	188   	1.08331  	70.0416 	0.0326045  	6.585   	3.595 	9  	1  	1.22514
3  	195   	0.312623 	16.0647 	0.0326045  	1.14863 	3.72  	9  	1  	1.2929 
4  	190   	0.59608  	64.3797 	0.0326045  	4.53901 	4.365 	14 	2  	1.71807
5  	184   	0.703093 	70.0416 	0.0326045  	4.93627 	5.15  	11 	1  	1.76564
6  	190   	0.256135 	1.85076 	0.00402745 	0.313579	5.54  	13 	3  	2.04167
7  	184   	0.236788 	3.48234 	0.00402745 	0.348995	6.23  	12 	3  	2.24658
8  	192   	0.176505 	1.51068 	0.00402745 	0.194296	6.785 	16 	1  	2.59399
9  	196   	0.149352 	1.69919 	6.28073e-24	0.209105	7.715 	22 	1  	3.1959 
10 	194   	0.217355 	5.86046 	0.0017408  	0.575501	8.805 	19 	2  	3.65335
11 	190   	0.172701 	2.28224 	0.0017408  	0.311852	9.745 	23 	1  	4.23792
12 	187   	0.124735 	1.91395 	6.28073e-24	0.216025	10.16 	23 	3  	4.10785
13 	194   	0.151962 	5.4866  	6.28073e-24	0.446713	11.27 	27 	3  	4.49968
14 	194   	0.143576 	3.01176 	6.28073e-24	0.344123	11.655	25 	3  	4.61259
15 	194   	0.134215 	1.641   	6.28073e-24	0.237961	12.115	25 	3  	4.56418
16 	190   	149.601  	29895.6 	6.28073e-24	2108.64 	12.04 	29 	1  	5.0188 
17 	184   	0.137007 	2.97282 	6.28073e-24	0.324556	13.095	35 	3  	6.17219
18 	188   	0.124091 	1.99884 	6.28073e-24	0.255797	13.19 	29 	3  	4.92584
19 	190   	0.0944017	1.38017 	6.28073e-24	0.160133	13.25 	29 	3  	5.69803
20 	182   	0.0908218	1.10574 	6.28073e-24	0.163434	12.89 	25 	1  	5.43764
21 	195   	0.135425 	2.824   	6.28073e-24	0.323254	13.555	31 	3  	5.93692
22 	194   	0.147438 	4.55994 	6.28073e-24	0.441498	13.8  	31 	3  	5.97662
23 	187   	0.126982 	4.60184 	6.28073e-24	0.366074	13.995	37 	3  	6.17454
24 	182   	0.0925818	3.21609 	6.28073e-24	0.263193	13.945	31 	1  	5.531  
25 	192   	0.181659 	9.45922 	6.28073e-24	0.7608  	13.675	33 	1  	5.83775
26 	189   	0.124062 	1.66113 	6.28073e-24	0.220673	13.54 	33 	3  	6.13175
27 	196   	0.145885 	2.53347 	6.28073e-24	0.2862  	14.07 	41 	1  	6.87932
28 	186   	0.137176 	4.37967 	6.28073e-24	0.412223	14.105	35 	3  	6.75899
29 	190   	0.120937 	2.14711 	6.28073e-24	0.273322	13.505	39 	3  	6.1327 
30 	192   	0.150233 	1.96926 	6.28073e-24	0.302357	13.69 	35 	3  	6.32249
31 	191   	1.40281  	253.917 	6.28073e-24	17.9034 	13.845	37 	1  	6.6739 
32 	188   	0.107652 	1.51068 	6.28073e-24	0.189638	14.2  	43 	1  	6.67832
33 	189   	0.158605 	6.31175 	6.28073e-24	0.58143 	15.05 	39 	2  	6.5816 
34 	186   	0.111961 	3.48234 	6.28073e-24	0.353792	14.965	41 	2  	6.79954
35 	192   	0.156979 	3.95926 	6.28073e-24	0.474019	15.175	37 	3  	7.10242
36 	185   	0.0649996	3.1589  	6.28073e-24	0.235705	15.53 	39 	3  	6.584  
37 	194   	0.156625 	4.89412 	6.28073e-24	0.426411	14.85 	35 	3  	7.4369 
38 	194   	0.0815858	1.17673 	6.28073e-24	0.143121	15.76 	39 	3  	7.36698
39 	192   	0.10823  	3.21008 	6.28073e-24	0.327008	15.55 	35 	3  	6.8562 
40 	190   	0.106359 	2.54326 	6.28073e-24	0.22725 	14.85 	37 	3  	6.92514
41 	199   	0.156404 	3.48234 	6.28073e-24	0.418369	15.06 	37 	3  	7.53899
42 	192   	0.116737 	3.48234 	6.28073e-24	0.326275	16.295	41 	2  	7.66081
43 	186   	149.486  	29886.6 	6.28073e-24	2108.01 	17.21 	45 	3  	7.21151
44 	192   	0.132925 	5.64767 	6.28073e-24	0.484322	16.57 	39 	1  	7.53625
45 	188   	0.0632545	1.58187 	6.28073e-24	0.151404	17.35 	41 	3  	8.44911
46 	194   	0.0986525	3.00152 	6.28073e-24	0.270373	18.385	47 	3  	9.62636
47 	196   	0.0839416	1.5845  	6.28073e-24	0.192064	20.105	51 	1  	11.0111
48 	187   	0.0640071	0.954067	6.28073e-24	0.137368	20.785	51 	3  	10.4278
49 	191   	0.0723537	1.86425 	6.28073e-24	0.187776	20.69 	51 	3  	10.6308
50 	196   	0.130927 	3.05949 	6.28056e-24	0.381689	20.075	53 	1  	10.5868
