   	      	                    fitness                     	              size             
   	      	------------------------------------------------	-------------------------------
gen	nevals	avg     	max    	min       	std     	avg  	max	min	std    
0  	200   	302.482 	29886.6	0.0130261 	2973.37 	4.425	7  	2  	1.82876
1  	196   	1.38363 	62.485 	0.0130261 	6.19355 	4.745	10 	1  	1.88679
2  	186   	0.433674	3.48234	0.0130261 	0.54545 	4.895	11 	1  	2.01345
3  	186   	0.231618	1.88961	0.0130261 	0.263335	4.925	11 	3  	1.92857
4  	186   	0.286037	3.48234	0.0130261 	0.397785	5.585	12 	2  	2.10066
5  	190   	0.348591	5.64767	0.0130261 	0.569401	5.895	13 	3  	2.11754
6  	191   	149.712 	29886.6	0.0130261 	2107.99 	6.215	13 	3  	2.19972
7  	196   	0.321069	3.67945	0.0130261 	0.469114	6.345	18 	3  	2.3698 
8  	194   	0.301716	3.67945	0.0130261 	0.424536	6.595	15 	1  	1.96494
9  	186   	0.318563	5.20788	0.0130261 	0.595574	6.875	17 	3  	2.0468 
10 	192   	0.317652	5.20788	0.0130261 	0.49408 	7.12 	15 	3  	2.06533
11 	187   	0.315366	3.67945	0.0130261 	0.555105	6.885	15 	1  	1.94725
12 	186   	0.247848	2.41607	0.0130261 	0.319905	7.045	15 	1  	1.83384
13 	194   	0.296462	3.67945	0.0130261 	0.485326	7.275	17 	3  	1.96961
14 	182   	0.258596	2.03794	0.0130261 	0.338642	7.11 	15 	3  	1.75724
15 	195   	0.294845	2.41607	0.0130261 	0.380084	7.135	15 	3  	1.80465
16 	190   	0.285197	2.41607	0.0130261 	0.348952	6.99 	17 	1  	1.81656
17 	192   	0.295696	3.48234	0.0130261 	0.478066	6.95 	12 	1  	1.7022 
18 	198   	0.310583	2.41607	0.0130261 	0.378267	7.105	14 	3  	1.76465
19 	192   	0.345157	3.67945	0.0130261 	0.453722	7.165	15 	1  	2.04885
20 	192   	0.315309	7.21612	0.0130261 	0.622766	7.135	17 	3  	1.9201 
21 	190   	0.351075	9.05988	0.0130261 	0.73393 	7.08 	15 	3  	1.7617 
22 	192   	0.290991	5.64767	0.0130261 	0.54201 	6.965	13 	3  	1.62597
23 	189   	0.308087	5.20788	0.0130261 	0.520683	6.93 	13 	1  	1.72195
24 	194   	0.304845	7.92927	0.0130261 	0.608742	6.92 	11 	1  	1.6473 
25 	190   	0.285548	1.23513	0.00402745	0.28759 	7.05 	13 	1  	1.71391
26 	190   	0.387621	5.20788	0.0130261 	0.735571	6.815	17 	1  	2.12621
27 	192   	0.249539	2.41607	0.00402745	0.331761	7.09 	21 	1  	1.94214
28 	183   	0.341287	5.20788	0.0130261 	0.724008	7.045	15 	3  	1.76153
29 	188   	0.365388	5.20788	0.0130261 	0.600707	7.1  	15 	1  	1.98494
30 	192   	0.697713	70.0416	0.0130261 	4.95367 	7.055	13 	1  	1.88732
31 	180   	0.387398	5.20788	0.0130261 	0.743877	7.23 	15 	1  	2.11592
32 	186   	0.328198	5.20788	0.0130261 	0.52579 	7.15 	13 	1  	1.86481
33 	187   	0.324088	5.20788	0.0130261 	0.568184	7.285	15 	3  	1.94005
34 	190   	0.393632	4.35992	0.0130261 	0.594065	7.245	15 	2  	2.09642
35 	184   	0.38026 	16.8257	0.0130261 	1.3082  	7.115	15 	1  	2.04249
36 	188   	0.423521	9.05988	0.0130261 	0.934283	7.275	15 	1  	2.17471
37 	193   	0.430414	9.05988	0.0130261 	0.908484	7.405	15 	3  	2.10499
38 	188   	0.401497	9.05988	0.0130261 	0.923971	7.345	16 	3  	2.18311
39 	200   	0.687003	19.9445	0.0130261 	2.26021 	7.28 	15 	2  	2.18897
40 	194   	0.368098	5.64767	0.0130261 	0.62335 	7.125	13 	1  	2.02469
41 	188   	0.453193	9.05988	0.0130261 	1.11177 	7.25 	17 	3  	2.16968
42 	192   	0.368834	12.4984	0.0130261 	1.00269 	7.345	13 	3  	1.84824
43 	191   	0.278118	2.74145	0.0130261 	0.420962	7.31 	15 	1  	1.96568
44 	187   	0.43659 	5.20788	0.0130261 	0.936968	7.42 	15 	3  	2.14793
45 	187   	0.348112	9.05988	0.0130261 	0.748056	7.19 	15 	1  	2.06007
46 	191   	0.484537	9.17252	0.0130261 	1.05285 	7.215	15 	3  	2.08057
47 	185   	0.446315	9.05988	0.0130261 	0.890016	7.21 	15 	3  	2.02136
48 	196   	0.416428	19.9445	0.0130261 	1.48178 	7.23 	15 	3  	2.06812
49 	192   	0.367162	9.05988	0.0130261 	0.814814	7.04 	15 	3  	1.80233
50 	181   	0.331007	5.20788	0.0130261 	0.605597	7.17 	15 	1  	1.97005
