paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
1.03794e+26	5.15474e+14	2.80671e+25	2.06644e+22	4.42978e+30	1.96344e+28	1.4296e+19 	2.95383e+20	3.07026e+15	4.91217e+15	4.15775e+19	4.17118e+17	9.73894e+18	1.17723e+17	1.23088e+25	1.50175e+13	1.43523e+15	9.83671e+32	4.40498e+18	3.49797e+14
1.14848e+06	2.35085e+09	6.12216e+09	2.12983e+06	1.56323e+06	486852     	647208     	3.92149e+07	6.48979e+08	1.15511e+06	2.53711e+06	1.20849e+06	4.34688e+07	514650     	2.7527e+10 	5.33101e+06	7.80786e+07	2.39095e+10	3.23958e+08	8.92335e+06
8.1259e+09 	4.66551e+08	8.13275e+09	2.00773e+10	6.43456e+06	1.08654e+10	5.31187e+07	1.06933e+07	1.15881e+07	4.48098e+07	1.0558e+07 	1.81831e+06	1.30165e+06	6.0034e+06 	163810     	665820     	4.3974e+06 	709156     	1.33083e+07	1.25168e+07
286653     	8.32311e+07	2.18701e+06	167210     	7.19711e+30	2.09214e+08	154129     	355592     	147706     	552385     	753401     	1.52698e+09	1.36427e+07	691778     	1.30672e+06	1.19472e+06	899490     	2.61428e+08	852238     	489743     
4.23427e+07	1.32188e+07	3.57121e+06	304430     	2.59461e+10	1.14364e+08	6.45303e+07	201480     	8.33073e+06	1.22533e+06	1.02345e+07	8.91429e+32	164721     	134981     	1.5743e+06 	376427     	1.8521e+07 	225393     	1.34616e+06	1.34977e+06
433830     	4.94623e+07	64087.7    	152095     	4.49252e+07	4.46005e+07	506577     	3.29195e+06	1.0029e+07 	793643     	71213.5    	190791     	1.61443e+06	19946.3    	5.68526e+06	3.02183e+08	303673     	96892.2    	1.88533e+31	276926     
1.18884e+07	40540.7    	2.36174e+06	29839.4    	55205.8    	1.40761e+12	302731     	50091.3    	58072.9    	3.87555e+06	21806.8    	50358.4    	3.62632e+07	132493     	4.16289e+06	1.16071e+06	1.35694e+06	290230     	261630     	3.26895e+08
1.39217e+06	19568      	84685.1    	1.30204e+07	2.60434e+10	6.92892e+06	134200     	86036.3    	849600     	439975     	5.58501e+06	188306     	5.13476e+07	1.02933e+06	1.78731e+06	386110     	715171     	703927     	3.13072e+06	94405.1    
6.57848e+08	1.0393e+06 	350569     	5.13224e+06	40621.7    	1.76826e+10	942380     	44117.7    	1.01412e+28	48377.9    	77279.9    	6.73135e+07	2.15108e+06	535089     	2.19978e+06	21969.4    	1.32834e+06	1.41267e+07	5.13625e+06	4.13006e+10
5.78597e+06	1.38152e+06	1.70836e+06	699705     	2.38195e+06	293415     	57824.8    	976484     	2.02824e+28	129325     	162815     	12784.6    	545070     	6.7329e+06 	7.79946e+06	1.86948e+12	81142.2    	3.16351e+06	904455     	127841     
581939     	6.90574e+09	1.19252e+09	4.00851e+08	389577     	345130     	34191.7    	174686     	182529     	24786.8    	7894.29    	3.00703e+06	5.02909e+06	2.78575e+06	3.64981e+06	929349     	4.86421e+10	1.69669e+06	3.65723e+06	304422     
747090     	6.81604e+09	9260.78    	4.71766e+08	30804.1    	2.4026e+06 	8673.44    	100448     	120722     	19177.5    	322057     	699996     	342610     	18067.1    	1.03046e+06	66075      	100750     	9.15065e+06	876103     	4.81092e+07
379679     	1.10466e+10	5466.76    	5.37487e+07	4.76828e+07	1.82498e+08	99387.1    	484841     	118275     	13532.4    	19501.2    	129227     	716340     	3.5113e+06 	4.15569e+06	554895     	3.63416e+06	173795     	816666     	2.44236e+07
461971     	90781.8    	556266     	319696     	22537.9    	2.97769e+08	7602.86    	3.51955e+06	998584     	2.59726e+06	1.11549e+06	9072.78    	6.96572e+06	26405      	2.25732e+32	202237     	102914     	21988.4    	1.21124e+06	205068     
5.26152e+06	1.56697e+07	9959.67    	165543     	85247      	1.08034e+09	1.0531e+06 	97890.5    	2.68648e+08	15275.8    	64368.7    	75059.5    	4.87863e+06	17067.5    	5.44441e+30	24637.8    	63084.2    	74963.4    	1.09832e+09	9.92895e+07
881490     	1.24115e+08	2996.04    	1.08222e+07	155785     	6.15559e+09	319837     	3.16572e+06	16753.5    	54291.7    	1.06997e+06	13377      	2.61475e+08	28531      	3.22343e+07	106950     	2.49393e+06	202133     	182392     	1.5011e+07 
175130     	19959.8    	2864.06    	418281     	57967      	1.80683e+09	64069.6    	11887.3    	1.17287e+28	28740      	25197.6    	285997     	61641.2    	9707.21    	611523     	42446.9    	393984     	714271     	4.99903e+07	834543     
1.36028e+06	13163.8    	28661.7    	8.1479e+09 	7560.07    	9.14019e+07	1.02994e+08	3.87467e+07	22610.8    	14222.6    	57322      	283500     	5.05707e+07	17160.5    	1.69593e+07	5911.65    	518712     	109164     	4.7643e+06 	8.53589e+06
797918     	735917     	6668.49    	137968     	4311.94    	9.44501e+31	10144.1    	16350      	43342.4    	7470.26    	48885.3    	19472.5    	1.53707e+07	16019.1    	1.74761e+08	10492.4    	531231     	3.59584e+06	1.33258e+07	2.29231e+06
3.26796e+09	4.98271e+07	563073     	147604     	6134.53    	1.43794e+06	11856.3    	4514.53    	34763.8    	53356.4    	2.03414e+08	299806     	102671     	91291.1    	1.15459e+08	4986.52    	1.70402e+08	66558.9    	1.20326e+06	4.83733e+07
23611.8    	9.68015e+06	8981.25    	1.14323e+06	1475.06    	6.80744e+06	18512.8    	14187.3    	25625.8    	17216.6    	115534     	71780.1    	1.06406e+06	327583     	1.62534e+07	71503.1    	93265.9    	752018     	5.06719e+07	5.66739e+07
36266.4    	3240.14    	2250.29    	1.13713e+06	7636.48    	2.07895e+06	3.8304e+06 	3.30807e+06	34844.8    	5850.57    	6.57295e+06	7276.46    	67675.2    	1.62077e+06	3.33076e+08	13827.9    	129201     	51482.5    	6.00674e+07	6.27349e+10
9191.86    	15785.4    	5158.05    	127952     	22614.7    	7.13662e+07	48995.1    	2969.2     	24177.8    	8878.29    	71010.8    	445846     	109454     	4.7351e+06 	19821.4    	11115.1    	742684     	80416.5    	1.98637e+09	5.51513e+07
239806     	442834     	3783.89    	71177.7    	5649.6     	7.51367e+08	8609       	4236.19    	142065     	8155.37    	91113.5    	32502.3    	1.10958e+07	66003.2    	50794.3    	10756.3    	69128.8    	413240     	1.28275e+07	6.81865e+10
7.1573e+06 	5082.04    	3.94808e+07	767528     	1441.32    	4.69219e+07	14086.1    	251100     	52507.9    	6867.08    	248389     	2296.79    	6.42772e+08	28889.5    	1.00886e+06	5910.49    	94428.6    	43693.4    	1.54101e+07	9.3633e+08 
22255.8    	503116     	12400.2    	101829     	7580.45    	3.24554e+06	8401.87    	4446.59    	51644.4    	37647.4    	5.41652e+06	6712.06    	1.70525e+07	46360.3    	125919     	8476.03    	25800.4    	152294     	1.46439e+31	7.57281e+06
63262.8    	70542      	9185.78    	1.13402e+06	44959      	2.48433e+06	7114.6     	9379.49    	2.64655e+06	22681.7    	3.03268e+07	3148.83    	5.54394e+06	52506.5    	47828.6    	6450.46    	69557.9    	61677.5    	1.45938e+07	1.32982e+08
165890     	27199.8    	305061     	183938     	7162.33    	1.39488e+26	3993.32    	3339.66    	874503     	11284.8    	360066     	469269     	6.64489e+07	953228     	39415.2    	3.46116e+06	45431.4    	2.2123e+07 	920781     	4.58003e+06
49334.6    	700623     	14449.6    	397278     	5009.65    	8.21379e+26	22606.1    	12074.4    	318354     	4565.87    	24372.1    	3826.77    	8.03852e+07	4.92606e+06	16201.7    	6490.12    	100007     	26644.1    	3.87536e+06	1.25442e+09
99008.2    	1.21645e+08	25942.7    	127533     	8765.09    	221825     	5774.11    	7868.78    	1.01382e+06	21481.2    	73188.4    	11751.7    	420331     	156437     	89967.6    	5766.28    	1.02382e+07	66772.1    	1.17021e+11	9.35189e+07
34484.2    	133300     	2429.56    	1.65223e+09	1080.57    	1.01236e+06	6.44827e+07	2708.81    	20774.6    	3166.8     	183747     	6125.44    	1.75245e+08	27530.1    	25370.5    	17246.3    	1.11225e+07	30857.1    	2.88253e+08	1.30206e+08
76749.3    	56057.8    	2895.6     	532926     	12312      	146154     	9920.25    	3716.47    	41405.7    	13147.1    	156004     	59119.4    	6.10112e+10	20674.3    	30084.8    	52133.5    	42281.8    	60111      	1.18015e+07	2.68832e+08
57185.1    	492161     	46600.5    	245422     	1023.09    	5.92425e+06	93928      	2282.86    	190041     	8354.19    	449387     	10900.4    	6.91572e+08	1.42075e+08	479370     	2041.48    	45268.5    	1.50981e+07	6.30297e+06	5.34596e+09
22017.6    	3.08547e+06	22097.4    	81888.9    	5269.56    	6.04463e+26	8703.09    	2435.79    	24872.4    	7034.96    	26273      	13099.8    	5.78602e+08	495694     	6056.56    	23503.1    	8928.18    	16349.5    	1.09493e+07	4.4275e+10 
47790.3    	3372.88    	5211.35    	89759.8    	1115.21    	4.35093e+27	12916.3    	3328.26    	1.38453e+07	31523.7    	332502     	4903.52    	1.28233e+12	31414.9    	3.70165e+09	463917     	61583      	95478.8    	2.22898e+07	1.42876e+08
24878.5    	92113.3    	10732      	783891     	4197.12    	1.20893e+27	2.76469e+09	2680.24    	297051     	45455.8    	9.41391e+06	294116     	5.75138e+08	23789.4    	436309     	475879     	3.41854e+06	1.08853e+06	651487     	5.83601e+08
11362.4    	7.38988e+08	415594     	49496.8    	5366.05    	1.20893e+27	6688.15    	6653.21    	68521.2    	6069.73    	148715     	36861.4    	308048     	34638.9    	2.12385e+06	4714.11    	7487.3     	26519.4    	3.33006e+06	2.30622e+08
98174.8    	3.54794e+30	209530     	505931     	4288.82    	194698     	70624.6    	2365.58    	78261.1    	4241.27    	50305.6    	34432.2    	27306.5    	50998.5    	233087     	642211     	19137.1    	12974.3    	1.07396e+07	6.98981e+09
32079.2    	12423.3    	15602.1    	266248     	2.48873e+06	1.20893e+27	7996.82    	4062.19    	1.84686e+28	47995.7    	2.59068e+06	53494.7    	3.65604e+07	9.44576e+06	36828.7    	7884.93    	4032.21    	24880      	1.99579e+06	2.17519e+30
46833.8    	1.24272e+29	64366.1    	283941     	4761.69    	3.02231e+27	6726.46    	1751.82    	91410      	4776.45    	1.1328e+06 	4936.82    	1.68758e+06	218390     	1.13295e+06	21773.9    	329351     	18202.6    	870953     	2.25604e+08
102436     	3992.96    	55590.7    	207092     	1.39038e+07	6.04463e+26	3.82976e+06	3558.64    	1.31025e+28	2414.23    	10866.6    	4715.89    	855832     	8.90855e+06	8.59379e+06	7056.72    	50144.3    	5145.47    	8.20277e+06	3.282e+07  
399561     	2601.62    	49036.9    	3.66726e+06	855.553    	1.20893e+27	2275.58    	11037.5    	504865     	2316.96    	201173     	10779.2    	445951     	1.44011e+06	349171     	71300      	353184     	46230.7    	5.00734e+06	5.65262e+09
119300     	13479.7    	2114.77    	21070.2    	113827     	2.41785e+27	31724.3    	5549.03    	1.31025e+28	11464.5    	461669     	25997.6    	36449.2    	9.96106e+06	29022.7    	482938     	14871      	17792.6    	3.26719e+07	2.81864e+07
30303.8    	29563      	5695.05    	6554.56    	5555.87    	1.38376e+27	2478.76    	1510.29    	375980     	10130.6    	157568     	9176.63    	41870.2    	1.67887e+08	22366.6    	2174.29    	58920.4    	53074.8    	73365.7    	5.87538e+06
8.10116e+14	285640     	10362.4    	6.80879e+07	14549.6    	89721.7    	10525.9    	4814.12    	38811.9    	3886.71    	6.02316e+06	4340.93    	38429.4    	672852     	56473.4    	11930.3    	479098     	9.01673e+09	1.52173e+06	1.13757e+08
3.11287e+06	1.48205e+30	12210.6    	152453     	1.04475e+06	6.04463e+26	22850.6    	3499.15    	268871     	270978     	2.84744e+06	3307.48    	29648      	2.29891e+06	37384.1    	9802.9     	6743.38    	405199     	2.88812e+07	9.80653e+11
8.12501e+14	8.06267e+08	1732.45    	4927.05    	2217.88    	6.04463e+26	53843      	12386      	25718.4    	6618.22    	4.38992e+07	40012.3    	193386     	98024.9    	328349     	6905.59    	46882.8    	19838      	2.16739e+07	472941     
129806     	8.06301e+08	8163.16    	5116.35    	5091.14    	1.20893e+27	13803.7    	42114.7    	59552.5    	2.56909e+06	10956.3    	6405.06    	26504.1    	2.10738e+08	60217.9    	7323       	22051.4    	19751.9    	1.10696e+06	3.74316e+08
