paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
2453.5 	1189.59	2770.39	1811.89	750.611	3967.12	1657.81	1495.61	582.237	1878.24	1130.83	2986.81	599.638	2620.57	521.233	1362.78	404.496	583.192	1539.95	1492.19
340.03 	739.326	1287.82	610.315	715.275	653.951	503.479	1553.67	480.181	860.589	560.208	807.8  	557.475	487.822	521.233	567.355	520.797	583.192	1216.21	473.604
340.03 	739.326	719.999	631.751	480.735	527.054	503.479	656.407	451.184	639.534	428.836	391.51 	456.258	413.672	494.815	563.945	389.075	357.469	660.932	473.604
335.356	484.736	463.513	575.368	427.756	527.054	503.479	475.206	423.392	554.992	408.679	394.449	435.183	413.672	515.958	402.675	389.075	350.192	464.165	449.658
335.356	412.151	446.012	438.456	410.992	429.973	370.759	475.206	369.872	465.024	362.975	393.851	436.125	413.516	494.815	385.239	326.049	350.192	407.785	463.713
335.356	412.151	402.979	438.456	410.992	408.558	370.759	398.302	361.032	426.72 	342.17 	361.398	436.125	388.36 	410.201	412.824	317.316	350.192	407.785	361.935
331.269	381.588	424.157	369.191	410.992	359.983	371.146	398.302	349.854	411.666	342.17 	364.691	432.716	388.349	410.201	370.301	312.989	349.729	359.707	356.969
324.552	365.142	399.128	369.191	409.83 	359.851	376.7  	417.484	346.851	407.91 	342.17 	353.719	423.948	373.573	410.201	358.293	311.062	334.281	403.307	352.259
321.598	365.142	389.348	366.452	397.206	359.851	376.7  	395.646	346.851	387.846	341.76 	359.363	388.71 	372.953	404.401	356.083	311.062	334.281	403.307	352.259
321.576	362.492	381.204	366.452	397.206	359.851	371.962	375.631	346.851	383.326	341.76 	350.921	388.71 	362.65 	403.349	346.478	310.053	334.281	345.549	352.259
310.899	364.908	381.204	365.802	392.344	359.851	354.561	381.464	334.935	376.218	341.76 	350.921	388.349	358.135	372.843	341.982	306.652	334.281	345.549	352.259
310.191	364.721	368.762	366.452	392.344	359.851	354.561	381.464	334.935	379.381	341.76 	346.765	385.374	351.265	383.475	328.033	306.627	334.18 	340.789	352.259
308.56 	363.853	381.204	363.311	387.206	359.851	354.338	356.11 	334.935	379.381	341.76 	346.765	385.374	354.567	377.323	310.544	307.549	326.981	337.364	343.335
307.942	363.853	381.204	363.311	387.206	359.851	353.937	347.142	334.935	379.381	341.76 	346.765	365.221	351.265	363.59 	331.061	306.526	318.088	313.671	311.359
307.305	362.562	380.463	361.588	383.425	358.173	353.942	342.387	334.935	374.002	341.76 	346.405	365.221	350.925	356.247	328.033	305.639	318.088	298.379	350.204
301.556	356.82 	378.556	356.215	383.425	354.064	353.052	342.418	342.31 	373.334	341.76 	345.89 	366.351	348.367	356.247	305.04 	305.232	318.088	298.379	347.964
300.219	356.82 	378.556	356.215	380.845	353.556	351.846	341.193	334.935	373.313	341.76 	345.89 	366.351	348.367	356.247	304.78 	301.429	318.088	298.379	349.709
300.219	356.688	377.189	350.562	380.845	351.681	351.846	340.972	334.935	373.191	341.76 	345.89 	366.351	348.367	356.23 	304.877	301.152	318.088	298.379	349.709
300.07 	354.832	374.727	352.785	380.845	351.675	351.071	336.241	334.935	372.787	341.55 	345.89 	366.351	347.506	351.214	304.487	301.152	318.088	285.515	340.466
296.2  	350.808	373.592	339.67 	380.845	351.606	343.598	335.529	323.733	372.283	325.201	345.125	366.351	344.862	351.214	304.209	301.152	315.313	285.515	332.304
296.2  	350.808	372.945	346.819	378.588	351.182	343.598	329.218	316.86 	371.623	325.201	344.766	365.221	343.871	351.214	303.064	299.981	315.313	285.515	313.012
295.58 	349.997	374.208	346.819	375.853	350.79 	343.598	329.026	316.86 	370.259	341.539	342.697	365.221	344.376	350.001	303.064	299.537	310.209	284.119	304.576
293.935	350.049	370.86 	343.52 	370.764	350.746	340.212	303.071	309.583	370.259	341.539	342.697	365.144	343.896	341.822	302.402	299.537	307.733	279.078	313.012
293.646	349.988	362.295	339.921	375.521	349.024	340.212	296.37 	302.307	370.259	341.539	342.697	364.382	343.896	341.812	302.295	299.255	307.301	279.078	309.191
293.432	322.715	362.295	339.921	373.255	345.618	340.212	296.37 	300.625	366.076	341.539	342.697	364.382	343.8  	337.735	301.376	298.37 	305.45 	278.819	302.867
288.202	317.377	362.295	339.921	370.638	340.748	340.212	295.612	300.625	363.08 	341.539	342.697	361.842	343.585	334.942	301.376	298.272	303.42 	278.819	298.902
288.202	313.141	360.111	338.928	372.282	340.748	338.264	292.985	299.747	363.08 	341.539	342.556	361.842	340.466	332.353	301.076	298.272	303.42 	278.413	295.271
288.034	308.19 	360.111	335.256	370.809	340.748	339.306	295.368	264.833	360.46 	340.165	340.49 	361.842	341.355	332.364	301.076	298.272	303.071	278.038	295.271
288.034	308.19 	357.49 	335.256	370.03 	340.748	338.618	293.574	255.227	363.239	339.068	329.2  	361.287	338.16 	330.099	301.076	297.581	300.802	277.518	295.269
288.034	308.19 	357.49 	334.393	369.5  	340.679	338.618	293.355	255.227	358.997	338.202	328.471	359.831	338.16 	329.994	301.006	297.581	300.802	273.713	295.108
277.374	305.746	357.49 	334.393	361.371	340.748	337.337	293.297	250.345	355.72 	338.202	326.931	359.831	338.045	329.351	300.969	296.991	300.802	272.135	295.108
277.374	305.746	357.49 	332.48 	360.834	340.317	335.273	290.228	250.871	355.184	338.202	325.176	350.236	333.281	328.625	298.702	296.929	300.802	272.135	294.908
