   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg    	max	min	std    
0  	500   	1.96344e+28	9.81721e+30	3967.12	4.386e+29  	38.594 	425	3  	62.3864
1  	450   	486852     	1.59e+08   	653.951	7.28208e+06	22.466 	301	1  	40.5699
2  	463   	1.08654e+10	4.08035e+12	527.054	1.89647e+11	15.624 	189	1  	25.9492
3  	458   	2.09214e+08	1.03358e+11	527.054	4.61768e+09	9.826  	39 	1  	5.85523
4  	454   	1.14364e+08	4.90975e+10	429.973	2.21498e+09	11.056 	30 	1  	5.66682
5  	454   	4.46005e+07	2.15786e+10	408.558	9.64109e+08	12.634 	35 	1  	5.8961 
6  	454   	1.40761e+12	7.03803e+14	359.983	3.14436e+13	12.886 	42 	1  	5.83447
7  	464   	6.92892e+06	3.27538e+09	359.851	1.46365e+08	13.178 	34 	1  	5.82566
8  	461   	1.76826e+10	8.83416e+12	359.851	3.9468e+11 	13.278 	39 	1  	5.52564
9  	439   	293415     	4.95947e+07	359.851	3.02729e+06	13.48  	35 	1  	5.55856
10 	450   	345130     	6.42435e+07	359.851	3.2888e+06 	13.988 	32 	3  	5.68611
11 	445   	2.4026e+06 	7.20527e+08	359.851	3.50524e+07	15.322 	42 	2  	6.13664
12 	455   	1.82498e+08	4.47905e+10	359.851	2.82733e+09	16.9   	40 	1  	6.89855
13 	451   	2.97769e+08	1.46767e+11	359.851	6.55705e+09	17.618 	44 	1  	7.42052
14 	452   	1.08034e+09	1.759e+11  	358.173	1.23166e+10	18.954 	59 	1  	8.74002
15 	458   	6.15559e+09	2.80412e+12	354.064	1.25509e+11	20.47  	54 	1  	9.92114
16 	469   	1.80683e+09	7.11085e+11	353.556	3.24825e+10	23.45  	60 	1  	11.7028
17 	443   	9.14019e+07	4.45562e+10	351.681	1.99068e+09	27.51  	70 	1  	13.365 
18 	458   	9.44501e+31	4.7225e+34 	351.675	2.10985e+33	34.086 	85 	4  	15.1801
19 	463   	1.43794e+06	2.54156e+08	351.606	1.60456e+07	39.714 	103	1  	18.1337
20 	440   	6.80744e+06	2.31882e+09	351.182	1.08283e+08	43.492 	97 	1  	17.0064
21 	467   	2.07895e+06	5.04191e+08	350.79 	2.90701e+07	49.202 	98 	1  	17.8223
22 	446   	7.13662e+07	3.50688e+10	350.746	1.56682e+09	51.288 	102	4  	16.6425
23 	450   	7.51367e+08	3.7562e+11 	349.024	1.67814e+10	51.274 	103	1  	17.8502
24 	441   	4.69219e+07	2.34009e+10	345.618	1.04547e+09	53.75  	109	2  	16.8617
25 	457   	3.24554e+06	5.04024e+08	340.748	3.85725e+07	51.268 	113	3  	16.2106
26 	444   	2.48433e+06	4.99086e+08	340.748	3.30406e+07	48.336 	106	1  	16.6001
27 	464   	1.39488e+26	6.97439e+28	340.748	3.11592e+27	45.126 	104	1  	14.9763
28 	475   	8.21379e+26	3.02231e+29	340.748	1.39271e+28	44.368 	95 	1  	14.5856
29 	464   	221825     	7.71745e+07	340.679	3.54333e+06	46.748 	107	1  	16.8321
30 	445   	1.01236e+06	1.38613e+08	340.748	1.0013e+07 	49.724 	103	3  	17.1866
31 	455   	146154     	2.92762e+07	340.317	1.74737e+06	51.336 	111	4  	17.8517
32 	464   	5.92425e+06	1.42942e+09	338.84 	7.87731e+07	49.706 	111	1  	19.2691
33 	463   	6.04463e+26	3.02231e+29	338.84 	1.35027e+28	47.826 	107	2  	19.1013
34 	460   	4.35093e+27	1.87323e+30	331.059	8.47452e+28	46.172 	107	1  	18.7366
35 	446   	1.20893e+27	3.02231e+29	331.016	1.90765e+28	49.9   	127	4  	19.5081
36 	446   	1.20893e+27	3.02231e+29	329.688	1.90765e+28	56.578 	145	2  	20.7581
37 	458   	194698     	4.81857e+07	327.215	2.52377e+06	63.298 	154	4  	22.0764
38 	454   	1.20893e+27	3.02231e+29	325.977	1.90765e+28	70.918 	128	4  	19.3576
39 	455   	3.02231e+27	3.02231e+29	327.013	3.00717e+28	71.326 	134	1  	19.0457
40 	471   	6.04463e+26	3.02231e+29	325.529	1.35027e+28	68.918 	125	1  	20.3798
41 	449   	1.20893e+27	3.02231e+29	323.478	1.90765e+28	68.268 	135	4  	18.1367
42 	462   	2.41785e+27	3.02231e+29	323.478	2.69241e+28	67.342 	140	4  	17.0914
43 	462   	1.38376e+27	3.02231e+29	323.429	1.94614e+28	67.678 	132	4  	19.37  
44 	434   	89721.7    	3.36067e+07	323.429	1.52863e+06	73.788 	164	4  	18.5774
45 	469   	6.04463e+26	3.02231e+29	321.362	1.35027e+28	74.948 	161	1  	21.1904
46 	453   	6.04463e+26	3.02231e+29	321.335	1.35027e+28	74.482 	124	4  	19.1931
47 	456   	1.20893e+27	3.02231e+29	320.445	1.90765e+28	75.098 	154	1  	18.3838
48 	458   	6.18255e+07	3.08489e+10	320.445	1.37822e+09	77.528 	181	4  	20.6841
49 	452   	1.20032e+26	3.0008e+28 	318.638	1.89407e+27	86.658 	153	2  	21.9741
50 	442   	7.24639e+26	3.02231e+29	319.589	1.36299e+28	91.88  	193	1  	23.0935
51 	458   	1.74838e+26	8.7419e+28 	319.354	3.90558e+27	94.408 	175	4  	20.6808
52 	474   	8.39389e+26	3.02231e+29	317.519	1.41093e+28	93.106 	185	1  	22.7102
53 	443   	1.71406e+27	5.24753e+29	317.519	2.70608e+28	95.378 	187	3  	19.6335
54 	451   	1.20893e+27	3.02231e+29	317.519	1.90765e+28	96.308 	199	3  	21.1292
55 	457   	1.98823e+27	3.02231e+29	317.38 	2.36515e+28	97.78  	151	1  	20.7051
56 	449   	2.37211e+26	8.7419e+28 	317.008	4.12744e+27	98.958 	152	4  	20.4754
57 	447   	7.26924e+26	3.02231e+29	317.008	1.36298e+28	97.422 	192	3  	21.4291
58 	440   	1.26901e+27	3.02231e+29	317.008	1.91199e+28	95.376 	158	4  	19.3426
59 	462   	1.66283e+07	5.60165e+09	317.008	2.68069e+08	94.756 	189	5  	19.2322
60 	454   	2.95014e+26	8.7419e+28 	317.008	4.33678e+27	92.372 	174	4  	21.9454
61 	448   	1.33139e+27	3.02231e+29	317.008	1.91629e+28	93.682 	148	4  	21.0864
62 	455   	2.41785e+27	3.02231e+29	317.008	2.69241e+28	93.354 	144	1  	20.701 
63 	444   	3.02231e+27	3.02231e+29	316.969	3.00717e+28	95.028 	192	4  	21.1203
64 	450   	1.74838e+26	8.7419e+28 	316.894	3.90558e+27	96.71  	152	4  	17.8981
