   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg   	max	min	std    
0  	500   	3.49797e+14	1.54077e+17	1492.19	6.93878e+15	38.432	433	3  	64.8613
1  	437   	8.92335e+06	2.27274e+09	473.604	1.35129e+08	18.73 	231	1  	31.3074
2  	468   	1.25168e+07	3.61289e+09	473.604	1.84923e+08	13.56 	183	1  	18.3808
3  	447   	489743     	1.78615e+08	449.658	8.09929e+06	9.832 	71 	1  	5.6299 
4  	457   	1.34977e+06	6.49584e+08	463.713	2.90276e+07	8.996 	22 	1  	4.32481
5  	434   	276926     	1.00573e+08	361.935	4.61498e+06	7.964 	21 	1  	3.58758
6  	454   	3.26895e+08	1.63422e+11	356.969	7.30113e+09	7.522 	20 	1  	3.12754
7  	462   	94405.1    	1.52581e+07	352.259	874819     	8.336 	23 	1  	3.53597
8  	452   	4.13006e+10	2.06321e+13	352.259	9.2177e+11 	8.98  	22 	1  	3.52585
9  	458   	127841     	2.62484e+07	352.259	1.52526e+06	9.276 	21 	1  	3.50426
10 	453   	304422     	1.10049e+08	352.259	5.01012e+06	9.286 	21 	1  	3.25272
11 	454   	4.81092e+07	2.40195e+10	352.259	1.07311e+09	8.852 	25 	1  	3.2982 
12 	439   	2.44236e+07	1.13586e+10	343.335	5.08105e+08	9.026 	32 	1  	3.80228
13 	443   	205068     	2.35385e+07	311.359	1.91294e+06	9.128 	21 	1  	3.43389
14 	467   	9.92895e+07	4.88489e+10	350.204	2.18248e+09	8.918 	24 	1  	3.48816
15 	456   	1.5011e+07 	6.98832e+09	347.964	3.12504e+08	9.514 	22 	1  	3.68752
16 	445   	834543     	2.10253e+08	349.709	9.80353e+06	9.556 	26 	1  	4.03421
17 	456   	8.53589e+06	3.95398e+09	349.709	1.76659e+08	10.044	30 	1  	4.68253
18 	451   	2.29231e+06	4.3952e+08 	340.466	2.73517e+07	11.21 	30 	3  	5.21286
19 	456   	4.83733e+07	2.40206e+10	332.304	1.07315e+09	14.078	37 	1  	6.54369
20 	452   	5.66739e+07	2.78005e+10	313.012	1.24203e+09	16.93 	39 	3  	7.35915
21 	457   	6.27349e+10	3.13427e+13	304.576	1.40028e+12	19.47 	49 	1  	8.10735
22 	462   	5.51513e+07	9.06866e+09	313.012	6.19918e+08	22.456	48 	1  	8.36947
23 	459   	6.81865e+10	3.40626e+13	309.191	1.5218e+12 	24.326	47 	2  	8.67178
24 	454   	9.3633e+08 	4.56407e+11	302.867	2.03923e+10	28.41 	60 	3  	9.05946
25 	469   	7.57281e+06	2.25736e+09	298.902	1.04411e+08	31.546	58 	4  	8.96927
26 	449   	1.32982e+08	6.62768e+10	295.271	2.96101e+09	32.73 	61 	1  	9.18091
27 	458   	4.58003e+06	1.74679e+09	295.271	8.0446e+07 	32.788	60 	1  	9.41483
28 	453   	1.25442e+09	6.26533e+11	295.269	2.79913e+10	32.988	77 	1  	10.281 
29 	468   	9.35189e+07	3.44788e+10	295.108	1.58833e+09	35.19 	76 	7  	11.4857
30 	438   	1.30206e+08	6.41391e+10	295.108	2.86562e+09	36.884	86 	7  	11.9612
31 	454   	2.68832e+08	4.13881e+10	294.908	3.00616e+09	34.176	81 	7  	11.1144
32 	446   	5.34596e+09	1.3621e+12 	294.908	7.49561e+10	35.714	94 	1  	12.5127
33 	472   	4.4275e+10 	2.19997e+13	294.472	9.82866e+11	36.958	78 	1  	12.3436
34 	445   	1.42876e+08	6.31307e+10	293.942	2.84222e+09	38.674	87 	7  	13.1024
35 	455   	5.83601e+08	2.90686e+11	293.806	1.29868e+10	40.54 	92 	1  	14.088 
36 	455   	2.30622e+08	1.1129e+11 	293.806	4.97312e+09	42.816	83 	7  	12.8985
37 	469   	6.98981e+09	3.42146e+12	293.219	1.52871e+11	42.188	90 	4  	13.902 
38 	457   	2.17519e+30	1.08759e+33	293.176	4.859e+31  	41.664	85 	1  	13.6816
