paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
5.75918e+24	6.57157e+17	7.40562e+24	3.13403e+26	4.46347e+15	2.07394e+23	2.37465e+21	4.85908e+34	1.4098e+26 	1.10701e+17	1.11537e+21	1.24364e+21	5.39978e+22	4.16087e+20	2.68084e+28	5.91027e+32	6.78586e+29	6.42313e+28	8.50665e+32	4.28201e+25
6.78147e+08	4.74882e+32	5.3647e+24 	6.81696e+09	2.78841e+09	8.46227e+07	9.76352e+06	2.54183e+09	1.05921e+06	5.34812e+08	1.37316e+07	1.32444e+09	1.32592e+08	1.42376e+07	1.84774e+07	4.98171e+08	2.40942e+07	1.34594e+10	2.02592e+07	2.75561e+08
3.63073e+07	1.85936e+08	7.76461e+06	2.80107e+09	1.16827e+30	8.84786e+13	6.29115e+07	2.59946e+09	3.02434e+07	1.40119e+08	2.60517e+06	1.33389e+08	3.06786e+08	1.41271e+09	2.45728e+09	1.0606e+07 	4.54061e+07	1.31446e+07	1.98978e+09	5.43338e+07
1.70788e+07	8.39953e+09	5.13548e+07	9.44991e+07	3.30201e+07	1.76819e+13	1.80017e+06	1.43784e+06	2.15098e+07	1.38064e+07	2.75431e+09	1.26684e+06	1.28311e+07	1.07571e+07	3.94324e+10	4.80798e+07	2.74597e+07	5.06598e+07	3.00374e+07	6.65376e+07
5.51595e+11	1.80036e+07	1.99688e+10	6.60302e+07	6.4085e+07 	7.28424e+06	3.19204e+08	4.56869e+06	8.57067e+06	956154     	5.73456e+07	8.00982e+06	2.80353e+08	1.44895e+07	2.23218e+07	1.20176e+10	4.82789e+07	3.0823e+07 	5.13247e+07	7.06662e+06
1.86306e+07	2.81347e+06	514159     	1.01212e+07	8.23979e+06	7.34662e+06	5.44555e+06	2.67065e+08	1.09495e+10	701874     	2.32896e+07	1.02466e+07	4.55882e+08	2.09115e+07	7.66468e+10	9.07181e+06	2.20154e+10	5.22742e+06	419737     	3.15118e+06
1.5611e+09 	2.99936e+06	1.31306e+06	9.68371e+06	1.92662e+07	2.01553e+06	8.18383e+07	2.58673e+07	5.9432e+06 	1.86293e+07	867031     	4.20612e+07	2.84817e+06	7.87283e+07	6.55647e+06	1.04288e+07	2.197e+08  	6.01557e+07	1.97025e+08	703035     
6.73785e+08	1.30865e+06	1.31435e+06	2.24451e+10	963621     	1.05161e+06	3.48643e+31	9.5516e+10 	383723     	656736     	2.39179e+10	9.12096e+07	1.76739e+07	3.16155e+11	8.44688e+06	4.56305e+06	421607     	514012     	1.46814e+09	3.22226e+08
3.80863e+06	9.19456e+06	7.78765e+06	1.90889e+06	1.48247e+07	215953     	1.75444e+30	3.20056e+07	7.00606e+07	406556     	372846     	1.81154e+06	1.22707e+08	924933     	3.61988e+08	9.10989e+06	189431     	213287     	1.5647e+08 	4.05053e+06
1.72782e+07	3.93716e+07	645370     	738920     	9.33811e+06	278364     	3.21907e+06	1.70085e+07	1.41981e+07	549473     	6.72057e+06	8.58352e+29	7.62676e+11	2.81662e+06	650749     	365742     	2.16676e+12	8.85192e+06	7.76732e+07	299412     
5.10484e+09	274657     	456126     	2.95385e+07	603863     	8.80855e+07	1.61603e+08	2.35757e+06	1.70507e+07	2.12755e+08	111059     	1.3405e+09 	2.24114e+11	2.45603e+09	2.28632e+09	1.95756e+06	187863     	53333.3    	8.16845e+06	537704     
1.23515e+09	866612     	3.93625e+08	1.06582e+08	35144.2    	650756     	5.80206e+06	406823     	1.68743e+08	177469     	1.02586e+07	9.08898e+08	3.0671e+09 	1.03781e+10	9.03852e+08	590931     	2.24761e+08	702116     	3.36739e+07	2.29402e+09
1.47374e+08	149340     	230299     	4.90771e+07	4.69415e+09	9.51141e+06	1.53054e+06	947742     	7.13868e+06	20555.3    	605610     	5.25789e+13	7.09805e+07	1.66046e+08	3.5254e+06 	3.23331e+07	41697.5    	306473     	2.29671e+08	1.9999e+07 
1.61556e+08	2.73568e+10	140417     	820580     	1.84093e+06	7.74775e+06	4.87969e+08	718839     	5.02542e+07	134724     	550480     	518800     	2.82849e+06	1.80963e+08	7.25508e+07	936987     	95183.2    	1.15296e+08	6.62703e+09	332057     
3.59664e+06	9.02469e+06	225776     	9.06494e+07	1.48407e+06	1.07669e+11	1.1708e+07 	2.47775e+06	1.7512e+06 	32099.2    	5.30237e+07	2.01581e+06	1.03304e+08	1.16425e+08	1.33669e+07	3.82713e+08	176801     	765686     	5.10761e+11	201987     
1.2562e+09 	383805     	190715     	2.65508e+09	2.80653e+06	1.57098e+08	687849     	197923     	502548     	34133      	4.90073e+07	3.00318e+07	5.92599e+07	1.39594e+09	9.44847e+09	290982     	3.19337e+07	144389     	4.81471e+09	429358     
1.33264e+10	180202     	103120     	1.12674e+06	2.03458e+06	6.64571e+28	1.3156e+07 	5.5422e+07 	5.78965e+06	31751.5    	304288     	3.63153e+07	1.42281e+09	2.79407e+06	2.28098e+09	4.41196e+07	2.39134e+09	1.20264e+07	9.9215e+09 	2.30485e+09
4.37017e+08	173193     	807710     	276238     	287301     	2.61072e+08	883271     	7.45722e+06	7.92644e+06	93532.5    	3.15533e+06	1.67048e+09	1.41067e+09	1.43365e+07	8.48121e+08	511988     	810512     	1.02055e+06	1.99708e+09	2.5353e+27 
6.11151e+07	118016     	145063     	377821     	1.91751e+06	3.21685e+08	857681     	6.09836e+06	314654     	27638.1    	2.65139e+09	8.12218e+07	1.23133e+07	1.15842e+07	2.16826e+08	3.22798e+07	942182     	8.96459e+06	2.19322e+08	3.29589e+28
2.82031e+06	299132     	81475.5    	733157     	141047     	1.25636e+28	1.77474e+06	4.17993e+06	2.41478e+09	99788.6    	936549     	1.45541e+07	187561     	1.57242e+06	1.86676e+07	4.03725e+06	7.8449e+06 	238070     	8.19114e+08	3.54942e+28
5.38681e+07	54626.9    	27902.1    	2.26253e+07	4.16455e+06	6.64614e+28	1.48246e+09	4.91228e+07	1.44737e+11	121407     	99747.2    	5.11389e+06	1.00071e+07	3.07971e+08	1.79885e+08	2.43568e+06	3.14466e+07	99338.2    	7.57925e+07	3.05504e+29
1.281e+08  	2.35915e+09	365256     	2.02707e+06	2.37334e+07	6.64614e+28	9.23163e+06	7.62439e+06	1.3637e+08 	62561      	101559     	1.36729e+09	4.29775e+09	2.92383e+06	4.79868e+06	486990     	2.06694e+06	1.58301e+06	5.9726e+30 	8.69608e+30
4.00864e+07	88160.7    	10392.6    	420101     	185808     	1.31239e+07	1.60005e+11	37524.4    	1.84327e+07	2.08783e+08	113700     	1.09122e+08	609471     	3.97902e+31	1.3976e+06 	2.05297e+06	1.22265e+06	3.49328e+06	1.47617e+09	2.33882e+29
1.35488e+08	97699.9    	169696     	333966     	86715.5    	733441     	2.86182e+08	132233     	1.30231e+06	219909     	2.17639e+06	2.0061e+11 	2.44181e+06	1.33889e+07	4.47069e+28	2.03483e+06	3.42998e+08	302695     	2.27435e+08	4.11467e+30
8.70105e+09	17218      	317690     	1.06991e+06	367706     	2.81051e+08	998314     	886691     	1.11561e+06	27509.5    	1.77266e+06	159043     	7.24178e+07	4.81997e+07	1.01254e+06	917168     	7.04078e+06	1.10838e+06	2.50787e+06	8.80977e+30
1.86625e+08	1.64617e+06	106365     	757617     	2.0732e+06 	325155     	6.54558e+06	162262     	1.00959e+11	187159     	8.91839e+06	1.60278e+08	517728     	220729     	1.80407e+06	298290     	13867      	997023     	2.49938e+08	1.33808e+29
3.86039e+07	2.21966e+07	413961     	1.0522e+06 	3.11023e+06	4.53443e+08	2.02124e+06	103785     	4.80233e+06	39957.5    	1.17718e+06	4.24208e+06	2.2401e+14 	1.67544e+06	1.55804e+07	2.81051e+06	7641.6     	743967     	3.22651e+08	2.22706e+29
2.23628e+08	14536      	441130     	416341     	5.20928e+06	1.63995e+06	1.80832e+06	170828     	282248     	62562.9    	24544.4    	1.49518e+07	3.62617e+06	8.00845e+21	1.18685e+10	10045.8    	96258.3    	220590     	1.11386e+07	4.08545e+29
1.44847e+09	1.88619e+06	277106     	1.39139e+06	48702.7    	2.93631e+08	5.05122e+06	26226.4    	1.54906e+08	102114     	282727     	9.37908e+06	4.3934e+06 	2.38544e+09	1.23381e+07	1.6652e+06 	2.44609e+08	1.2988e+06 	6.62783e+06	6.83874e+29
8.79504e+07	5.76106e+06	2.57875e+06	1.03391e+07	92263.3    	1.69495e+08	2.15199e+07	397523     	5.91463e+06	72601.9    	20642.3    	942997     	3.0486e+07 	18845.6    	4.84481e+06	255412     	53613.8    	916890     	2.9491e+07 	3.32952e+30
7.18228e+10	246670     	257013     	2.0749e+08 	19546.2    	3.60338e+30	2.90811e+06	15406.6    	1.85322e+07	28914.9    	17086      	5.69032e+08	264741     	113765     	1.18861e+10	177222     	475063     	572001     	4.71089e+06	5.43715e+29
1.04705e+10	2.10662e+08	1.51016e+06	949325     	93979      	1.96045e+08	3.32687e+06	213363     	676781     	1.19374e+06	149407     	4.58056e+08	330066     	4.36113e+06	3.05927e+06	245312     	1.6439e+06 	18351.1    	5.04608e+06	2.25646e+31
5.85252e+12	1.36208e+06	410109     	237080     	8.07494e+09	2.74645e+30	2.64374e+06	95532.7    	4.73474e+07	1.17665e+06	336111     	5.06162e+07	1.33992e+06	158914     	1.95677e+06	165791     	5.16472e+06	99182.5    	2.17637e+09	9.54199e+29
2.87994e+14	1.12991e+16	19946.1    	2.14535e+07	187284     	1.19382e+30	1.37889e+06	130937     	1.02208e+06	572583     	17794.5    	1.2264e+09 	7.23066e+06	33841.8    	1.41042e+06	91335.6    	5.62523e+07	5.51222e+08	1.47295e+07	1.37193e+30
4.80673e+08	1.06198e+06	103979     	9.26971e+06	8.6712e+06 	3.64548e+30	3.34361e+07	142070     	808208     	2.49202e+09	1.17622e+07	4.26242e+07	1.60769e+08	1.38228e+08	1.46578e+06	257634     	1.20894e+07	1.70887e+06	2.07116e+08	3.50732e+30
9.03383e+11	3.8382e+06 	2.30182e+09	6.99416e+06	248297     	3.60604e+30	1.8239e+07 	64548.4    	4.13725e+07	171390     	418553     	1.58535e+08	1.48293e+06	291811     	2.97255e+07	2.13833e+06	5.4266e+06 	15375.1    	1.74753e+07	7.47982e+29
1.15122e+08	36571.2    	168600     	1.36626e+11	1.99245e+06	1.01308e+30	1.1235e+07 	414184     	2.14352e+07	4.16141e+06	99566      	1.2391e+08 	1.63182e+07	99711.9    	225578     	88898.6    	1.46738e+08	1.43108e+06	4.10192e+08	1.72794e+31
1.7416e+08 	8.26075e+07	2.40503e+09	6.48102e+06	348244     	2.51656e+29	9.25216e+06	25583.8    	806370     	8686.91    	90042.5    	2.63448e+06	2.8517e+06 	128575     	126926     	172522     	1.7008e+07 	303225     	1.27577e+07	2.38372e+29
1.01182e+10	8.77e+06   	88056.2    	4.87486e+13	179114     	1.84002e+30	226637     	6278.91    	1.59818e+06	1.11549e+06	7.78423e+06	5.04038e+07	2.81876e+06	186672     	5.70483e+07	646503     	1.59565e+09	490295     	1.64239e+15	1.47552e+29
3.85592e+06	1.57575e+07	119388     	5.15233e+08	259339     	3.16916e+30	4.51363e+06	10752.5    	2.83767e+06	89906.5    	86608.5    	6.52763e+08	862319     	15921.1    	501589     	334236     	3.08196e+09	303883     	2.28427e+07	2.9773e+29 
2.88591e+06	3.08713e+08	12487.4    	2.00169e+08	82721.8    	1.20605e+29	89351.3    	53569.3    	330092     	53243.3    	400464     	2.50052e+06	685967     	206109     	1.42471e+07	1.03433e+06	5.01726e+06	2.00203e+07	3.15859e+10	1.01597e+29
8.20531e+06	191260     	2.44501e+06	2.0523e+06 	4.45807e+07	8.18232e+28	2.05681e+08	4613.5     	7.58415e+06	585762     	22255.8    	1.73002e+09	208754     	38154.4    	511457     	547148     	1.97997e+08	2.33264e+08	7.73721e+06	2.9239e+29 
1.15933e+08	1.13694e+07	804112     	2.06055e+08	28484.9    	3.5944e+30 	278717     	27296      	125614     	640167     	598876     	4.33304e+10	1.4547e+08 	248076     	439229     	3.4317e+06 	2.3627e+09 	180277     	2.2061e+08 	1.6724e+29 
1.88881e+28	2.39812e+07	13158.4    	2.37528e+09	14564.9    	9.97569e+29	90589.6    	87109.6    	883575     	556155     	837019     	1.65556e+10	527714     	4.73326e+07	4.12191e+08	186912     	4.98918e+08	47758      	8.27933e+10	1.31091e+30
3.36911e+07	417138     	4.48048e+06	9.51027e+06	335559     	2.81207e+29	8.53681e+06	87504      	6.01628e+08	41164.3    	6249.27    	2.23805e+06	1.90076e+06	297359     	2.23725e+06	253053     	1.58079e+09	51300.7    	1.51054e+07	8.22564e+29
1.88881e+28	1.55725e+06	14458.1    	2.75941e+06	477305     	2.54099e+30	574077     	175262     	3.14002e+07	573999     	93571.8    	941237     	3.7364e+06 	65061.9    	1.13268e+07	162772     	7.31173e+07	73690.6    	2.32569e+07	2.66926e+29
2.15043e+08	8.38168e+06	30101.1    	126518     	134098     	6.50159e+06	4.43545e+10	37281.1    	1.11091e+06	543593     	2.37648e+09	511149     	3.09484e+06	99730.6    	5.38702e+07	165964     	2.07499e+06	690449     	1.49193e+06	4.62667e+29
5.96598e+06	67591.5    	90228.7    	6.80243e+06	6.50288e+06	2.78053e+29	5.43315e+06	1.36814e+06	2.0744e+08 	534543     	14412.9    	1.66283e+08	293027     	2.38997e+09	2.32876e+09	288242     	3.74203e+06	2.95614e+06	2.5802e+06 	4.05725e+29
1.69349e+08	31559.1    	848265     	8.35019e+06	6.69492e+11	4.36485e+28	14980.2    	12541.4    	2.38717e+07	703501     	4505.46    	9.12689e+08	413095     	4012.38    	4.90747e+08	1.57279e+06	2.08722e+07	937248     	1.10127e+07	1.56719e+30
4.04224e+11	165990     	92310.9    	733572     	22067.5    	3.33821e+28	437589     	95027.3    	1.24006e+07	640602     	5175.87    	344635     	490105     	66181.5    	9.55225e+06	3756.39    	123016     	269244     	4.56093e+07	1.83054e+31
4.9155e+07 	35790.7    	1.01546e+07	1.47972e+07	99948.7    	4.49287e+33	3.99493e+06	15791.5    	356967     	554349     	390265     	6.9578e+08 	4.74997e+07	53249      	7.00212e+10	3568.37    	1.05469e+06	90594.8    	622388     	4.63355e+30
5.53893e+08	194491     	111732     	31337.3    	5.94534e+06	3.04744e+29	2.0821e+09 	272724     	1.06499e+06	24360.4    	5971.66    	1.90029e+06	1.9946e+06 	211796     	3.23936e+12	85622.7    	1.77148e+07	667550     	1.48714e+07	5.37969e+30
1.62419e+08	2.4821e+08 	287479     	38125.7    	270231     	7.27021e+28	87118.2    	8.80089e+07	6.51632e+06	14877.8    	7.83164e+06	4.47633e+06	854674     	4.17681e+07	9.40479e+07	173280     	2.8502e+06 	613957     	1.90721e+06	7.23965e+30
2.33632e+06	1.50289e+06	1.99486e+07	410121     	241772     	4.55505e+29	53274.4    	95871.8    	487708     	122324     	94993.8    	1.44732e+06	777650     	130511     	3.66507e+06	270230     	2.76196e+06	733505     	3.00015e+06	4.38146e+30
3.81069e+07	3.32036e+08	1.75201e+06	4.7931e+07 	1.05229e+08	4.42191e+29	337420     	914352     	3.89774e+16	130419     	10132.6    	3.52835e+06	228904     	141158     	4.71562e+07	141812     	3.18942e+06	148553     	1.09914e+07	3.30505e+29
1.31395e+08	36995.1    	15579.8    	765859     	135773     	4.63624e+29	1.36046e+06	19317.8    	41948.2    	6.79708e+06	1.6768e+09 	4.64023e+06	1.64824e+07	169637     	7.10259e+06	17880.4    	1.46231e+06	1.27148e+06	3.60665e+06	1.51045e+29
2.92064e+08	48523.6    	100701     	147409     	16146.8    	5.60417e+29	263647     	95055.9    	372481     	566874     	13684      	5.36534e+06	1.08462e+06	1.07631e+06	2.54342e+06	88451.5    	186524     	267598     	3.97108e+08	5.34671e+30
6.48495e+07	509926     	174187     	1.70868e+06	175437     	2.33577e+29	1.37466e+08	116522     	76908.1    	413927     	90385.8    	3.46768e+23	211346     	214426     	407929     	38542.2    	1.80224e+07	15323.4    	4.2757e+07 	1.33334e+30
7.43643e+09	37952.5    	127195     	2.93999e+07	1.16257e+06	4.11487e+29	322944     	99384.2    	9.87625e+06	176309     	5785.4     	1.07962e+07	4.5859e+06 	44861.9    	1.30285e+09	4269.29    	126825     	11360.5    	1.76778e+07	1.54725e+29
1.34575e+08	142572     	218711     	4.93491e+07	7.19876e+06	4.29628e+29	2.48164e+08	1.96639e+06	990016     	336826     	5832.6     	2.32094e+08	2.05681e+07	205068     	3.61871e+06	294151     	904187     	2.49233e+08	507989     	1.45395e+31
7.33515e+06	137152     	319419     	6.50722e+08	85666.1    	2.84299e+29	1.00688e+06	451391     	421467     	629571     	7409.14    	3.52728e+07	307913     	69189      	671407     	172343     	1.96802e+06	253244     	3.65249e+07	2.32592e+32
4.63719e+07	508312     	716420     	1.19117e+07	91072.7    	9.80875e+27	1.17399e+08	16844.3    	3.39393e+07	162492     	173000     	5.79563e+07	2.92181e+06	32519.5    	4.84993e+07	39899.5    	38400.2    	1.29513e+06	7.93639e+07	1.3693e+29 
2.40667e+08	1.55897e+08	631854     	1.46647e+07	84027      	3.29071e+29	3.40563e+07	170984     	4.44608e+06	8095.44    	13820.5    	3.55475e+10	191130     	3.5185e+06 	4.11569e+08	233505     	1.73658e+06	598740     	3.12195e+07	2.5807e+30 
1.52886e+06	46392      	1.22474e+06	1.16896e+06	4373.64    	1.91447e+29	4.15903e+08	2.64673e+07	2.16174e+06	37480.8    	4.75203e+07	1.69761e+08	6.25658e+06	2.00687e+08	2.06702e+06	5.19463e+08	35224      	688373     	2.44712e+06	2.69518e+29
4.70341e+07	166582     	1.70145e+07	1.58756e+06	185082     	1.48673e+29	344585     	891831     	39631      	597900     	5410.99    	1.76286e+07	1.20079e+08	247164     	1.48511e+06	181345     	722947     	2.49272e+08	5.37837e+08	2.66876e+30
4.60611e+07	522951     	98902      	2.32824e+07	5.37189e+06	4.04195e+29	3.7935e+08 	36244.5    	2.16527e+12	31684.7    	16900.5    	3.93646e+07	268147     	473681     	1.16137e+06	453175     	1.14118e+06	125245     	1.78278e+06	7.01132e+28
4.28122e+07	333031     	423241     	1.34866e+10	108264     	1.06205e+30	2.35047e+09	896318     	2.23542e+11	665927     	8880.96    	1.10275e+07	5.92793e+06	1.52856e+07	1.2192e+06 	89579.9    	423737     	83642.9    	1.36119e+07	1.98786e+29
1.69916e+06	959220     	2.07929e+06	7.29306e+06	8.4409e+06 	1.53618e+28	6.23729e+06	4.04316e+06	390352     	36036.8    	318535     	6.79278e+07	261198     	44988.3    	6.85871e+08	176887     	146193     	2.47822e+11	1.20178e+07	5.44601e+30
1.3611e+07 	125595     	151268     	4.48881e+07	3.36025e+06	1.33245e+29	1.43324e+09	7.02938e+07	2.16648e+07	563079     	9549.21    	7.70738e+06	140075     	3.52307e+06	8.39281e+08	1.1123e+06 	481660     	4740.81    	6.23741e+08	3.34158e+29
1.34152e+06	418628     	1.56559e+06	31699.2    	5.58276e+06	4.1163e+29 	5.59611e+07	74824.3    	1.90814e+08	24312.2    	8971.67    	1.39549e+06	3.46705e+06	1.06335e+06	1.78887e+08	1.31344e+09	1.56142e+06	725946     	1.62116e+06	6.01213e+29
1.5264e+06 	4.122e+06  	472104     	6.19806e+06	2.7415e+06 	4.80186e+28	2.97069e+08	900923     	825087     	116773     	12348.9    	6.75047e+07	1.33816e+06	5.67391e+06	1.15751e+10	85205.5    	490431     	198460     	5.76591e+06	4.14405e+29
1.23154e+08	127572     	307136     	6.87425e+08	1.20857e+06	1.54561e+28	5.55822e+07	527092     	250501     	96600.7    	85555.4    	2.00314e+06	1.62711e+06	2663.64    	5.75189e+07	11860.1    	527441     	1.10972e+06	7.38496e+06	1.94889e+29
1.77227e+06	20459.5    	428865     	6.9095e+08 	7.43648e+06	3.38729e+29	1.11131e+08	13243.5    	34065.7    	549206     	8.6862e+06 	5.04643e+07	147467     	2.84042e+07	2.27957e+09	163094     	445021     	3.49388e+06	1.49567e+06	1.05865e+30
1.64238e+09	53300.4    	139804     	1.57954e+07	399235     	6.36911e+28	134936     	223028     	8.66389e+07	14312.4    	9825.53    	7.2024e+07 	236612     	1.25154e+06	4.71361e+07	91598.1    	145983     	1.03993e+06	1.61523e+06	1.41275e+30
1.35328e+06	1.47858e+07	202117     	7.5924e+06 	74089.8    	3.27939e+29	69820.6    	821164     	4.29239e+08	16599.6    	47161.4    	1.74978e+08	186710     	38547      	381772     	6984.51    	6.94012e+06	1.38614e+06	1.2455e+07 	2.84769e+28
6.45684e+06	6.82481e+06	133698     	1.91222e+08	3.93866e+06	7.69305e+29	112905     	4.23711e+07	1.04907e+06	576291     	622250     	2.20029e+08	125492     	80452.2    	1.16632e+06	15178.6    	395870     	58587      	2.02795e+08	1.66653e+29
1.69323e+09	17131.7    	8.85282e+06	1.30355e+07	6186.6     	4.49327e+33	2.68645e+09	196415     	573538     	583211     	13502.3    	5.37579e+06	2.33043e+06	23191.5    	564879     	9165.44    	43918.5    	38627      	1.57178e+06	6.65426e+28
1.90004e+06	367536     	232689     	2.41324e+06	2.82677e+06	1.32836e+30	3.09586e+07	32236.6    	32243.1    	54245      	6530.41    	5.723e+07  	1.4037e+07 	3.54547e+07	1.09247e+12	179291     	388375     	55379.8    	1.0802e+09 	1.55763e+30
3.86393e+08	404518     	231832     	472449     	2.70711e+07	1.09932e+30	4.40359e+06	108793     	889189     	540942     	4.23084e+06	2.62321e+10	105775     	27099.9    	2.41564e+08	3169.35    	110088     	161051     	1.70944e+07	2.36192e+30
2.04201e+06	1.47418e+07	209288     	508130     	170244     	5.731e+29  	12245.1    	216324     	2.67788e+08	1.01715e+06	3758.26    	3.05532e+06	121629     	3.10447e+06	6.22417e+07	157025     	8.96415e+07	58097.1    	1.79369e+07	3.83307e+31
4.91154e+07	1.53394e+07	256846     	1.48601e+07	1.07938e+09	6.37653e+29	2.65598e+06	8.31492e+06	4.49447e+06	27635.4    	5454.13    	3.93929e+08	473000     	88426.4    	6.19617e+06	134473     	30734.1    	5.04245e+08	4.0074e+06 	1.76378e+31
6.26659e+07	1.04986e+06	248876     	189617     	8.04799e+07	6.16952e+29	7987.47    	117306     	1.13242e+06	15410.2    	12568.8    	747414     	37875.3    	1.97489e+06	205931     	92079      	915264     	1.24626e+08	3.09822e+06	2.95653e+09
