paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
5009.16	3610.49	4297.18	3181.56	2348.67	5148.34	3843.25	3280.11	3089.62	3249.72	4066.6 	3454.41	1631.64	3375.82	2582.49	3906.73	3067.97	2164.06	4364.76	3495.51
5207.79	3610.49	4170.88	1381.66	2166.42	3289.89	3166.53	3285.05	2012.66	3249.72	3711.94	2838.95	1588.94	2284.77	1673.05	3211.74	1943.21	1520.87	3712.2 	2464.18
4541.44	2273.22	2948.17	1380.75	1710.4 	2114.01	2622.39	1927.06	1723.35	2586.03	1760.29	2134.5 	1588.94	2284.54	1620.75	2186.16	1658.73	1432.5 	3216.22	1577.94
2073.85	2058.98	2695   	1370.79	1606.84	2064.5 	2622.39	1968.09	1362.88	1645.33	1746.18	1680.33	1588.94	1860.09	1450.68	1667.66	1727.74	1440.86	2326.9 	1577.94
2018.21	1564.1 	2062.98	1311.78	1646   	2114.01	1803.6 	1751.07	1355.26	1611.97	1626.55	1316.11	1535.91	1576.36	1450.68	1794.84	1449.9 	1392.21	2249.62	1577.94
2018.21	1521.45	1998.4 	1304.6 	1610.26	1900.88	1376.53	2002.67	1355.26	1553.62	1486.49	1360.69	1535.91	1576.36	1450.68	1651.91	1449.9 	1383.51	1942.9 	1539.22
1551.09	1479.13	1914.45	1304.66	1606.84	1542.6 	1376.53	1663.22	1264.18	1491.9 	1486.49	1280.61	1535.91	1565.64	1470   	1583.89	1449.9 	1367.17	1924.95	1488.33
1551.09	1461.19	1812.88	1304.66	1577.92	1483.68	1314.82	1612.36	1264.18	1477.59	1486.49	1280.61	1515.65	1565.64	1455.23	1413.18	1449.9 	1366.85	1924.95	1488.33
1551.09	1461.19	1541.34	1304.66	1577.43	1477.81	1318.56	1612.36	1264.18	1450.69	1476.05	1262.17	1436.43	1563.38	1368.07	1411.88	1437.91	1263.37	1713.7 	1488.33
1521.75	1445.24	1503.43	1290.42	1548.96	1383.95	1270.81	1612.36	1234.13	1418.22	1486.49	1242.22	1341.26	1565.64	1362.29	1394.8 	1437.91	1263.37	1698.24	1488.33
1521.75	1434.9 	1476.57	1276.94	1548.96	1332.43	1270.81	1612.36	1216.83	1418.22	1476.05	1227.64	1341.26	1565.64	1354.39	1364.46	1437.91	1243.35	1521.05	1488.33
1513.35	1438.01	1472.38	1276.94	1548.96	1332.43	1270.81	1612.36	1216.83	1400.57	1476.05	1227.64	1341.26	1556.4 	1337.4 	1344.72	1437.91	1243.35	1483.04	1488.33
1513.35	1435.96	1470.09	1276.94	1486.52	1332.43	1270.81	1612.36	1223.62	1395.34	1476.05	1227.64	1341.26	1555.71	1325.09	1329.98	1437.91	1243.35	1491.58	1488.33
1513.35	1438.01	1466.6 	1262.78	1358.02	1314.2 	1265.21	1599.22	1220.94	1393.14	1415.29	1227.42	1366.38	1546.2 	1319.36	1299.51	1436.6 	1222.58	1491.58	1488.33
1511.6 	1422.83	1464.78	1267.82	1352.25	1314.2 	1259.56	1595.6 	1214.44	1373.84	1442.27	1156.78	1317.98	1546.2 	1304.49	1297.19	1436.6 	1206.69	1448.51	1465.49
1488.52	1422.83	1420.36	1261.81	1324.5 	1262.86	1250.51	1592.54	1212.7 	1325.16	1294.38	1156.78	1317.22	1546.2 	1275.68	1287.83	1436.6 	1222.58	1379.24	1439.85
1488.52	1422.67	1420.36	1261.81	1324.5 	1262.86	1250.51	1592.54	1212.08	1324.43	1293.34	1156.78	1317.22	1541.99	1268.01	1252.79	1434.71	1214.62	1242.21	1439.85
1483.07	1422.67	1456.01	1261.81	1336.81	1247.54	1229.82	1582.81	1209.93	1293.09	1293.34	1149.56	1317.22	1533.66	1261.01	1252.79	1434.33	1211.36	1242.21	1434.51
1453.64	1422.67	1451   	1247.54	1317.15	1254.29	1229.82	1574.51	1209.93	1293.08	1293.34	1149.6 	1312.68	1529.67	1257.89	1259.9 	1434.33	1207.58	1235.51	1434.51
1453.64	1417.3 	1438.95	1239.67	1316.3 	1247.54	1229.82	1574.51	1209.93	1292.16	1293.34	1148.83	1300.92	1529.42	1249.79	1258.02	1426.32	1177.58	1202.89	1415.58
1439.42	1410.43	1438.95	1236.83	1272.06	1258.8 	1229.82	1558.72	1208.26	1291.1 	1293.34	1147.21	1300.92	1528.65	1246.78	1239.37	1423.08	1171.78	1202.89	1410.65
1410.07	1410.43	1425.73	1236.35	1246.99	1246.02	1229.82	1558.55	1208.26	1291.1 	1293.41	1146.71	1294.84	1528.23	1234.75	1239.37	1413.96	1171.78	1198.19	1394.55
1410.07	1407.22	1424.45	1235.62	1237.69	1245.58	1229.82	1544.33	1204.42	1284.59	1287.89	1146.31	1294.84	1523.39	1230.24	1241.64	1412.55	1168.09	1198.19	1389.14
1410.07	1410.43	1422.22	1232.3 	1234.67	1242.44	1229.04	1544.33	1204.42	1284.26	1244.53	1143.96	1292.21	1523.39	1229.46	1231.57	1411.84	1159.82	1196.34	1366.77
1410.07	1410.43	1422.22	1232.3 	1232.54	1240.76	1225.95	1532.28	1189.79	1284.26	1243.62	1138.82	1286.39	1523.39	1226.96	1230.69	1411.29	1159.25	1195.59	1366.77
1373.59	1409.65	1422   	1230.63	1232.54	1240.76	1225.74	1515.37	1189.79	1282.12	1243.62	1138.8 	1286.07	1522.32	1222.75	1214.37	1410.01	1158.51	1195.59	1366.54
1373.59	1409.65	1409.09	1229.44	1225.43	1239.08	1211.95	1512.88	1189.75	1277.08	1242.17	1137.38	1286.07	1522.3 	1222.75	1203.69	1333.5 	1141.82	1185.78	1366.54
1371.28	1409.65	1409.09	1218.06	1225.43	1236.44	1211.17	1505.85	1189.75	1274.74	1242.01	1136.98	1286.07	1522.32	1211.38	1200.71	1333.5 	1140   	1185.78	1336   
1371.04	1409.65	1409.09	1218.06	1225.43	1231.06	1206.12	1500.51	1184.81	1273.6 	1242.01	1133.11	1285.28	1520.89	1206.6 	1195.4 	1333.5 	1139.67	1185.42	1336   
1370.92	1409.65	1409.09	1214.37	1223.73	1229.87	1206.12	1475.15	1181.3 	1273.6 	1236.84	1132.14	1277.57	1520.89	1206.6 	1185.87	1327.45	1134.58	1173.08	1336   
