   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg   	max	min	std    
0  	500   	3.13403e+26	1.56701e+29	3181.56	7.00089e+27	40.69 	418	3  	75.5732
1  	465   	6.81696e+09	3.40784e+12	1381.66	1.52251e+11	18.816	322	1  	43.3903
2  	457   	2.80107e+09	1.39839e+12	1380.75	6.24749e+10	13.626	210	1  	19.8218
3  	467   	9.44991e+07	2.36295e+10	1370.79	1.47354e+09	10.708	69 	1  	8.84029
4  	448   	6.60302e+07	3.26366e+10	1311.78	1.45808e+09	11.598	64 	1  	9.78041
5  	454   	1.01212e+07	4.31506e+09	1304.6 	1.93638e+08	13.396	66 	1  	11.2016
6  	447   	9.68371e+06	4.47149e+09	1304.66	1.99804e+08	13.406	66 	1  	8.49524
7  	446   	2.24451e+10	1.12222e+13	1304.66	5.0137e+11 	12.944	61 	2  	5.71497
8  	468   	1.90889e+06	5.67973e+08	1304.66	2.59012e+07	13.512	39 	3  	5.74054
9  	438   	738920     	1.53716e+08	1290.42	8.25744e+06	14.608	37 	1  	6.36572
10 	468   	2.95385e+07	1.40523e+10	1276.94	6.27927e+08	15.794	40 	1  	6.74593
11 	455   	1.06582e+08	5.14445e+10	1276.94	2.29893e+09	16.998	40 	1  	7.60224
12 	465   	4.90771e+07	2.36891e+10	1276.94	1.05862e+09	19.154	41 	3  	8.17106
13 	440   	820580     	1.62935e+08	1262.78	1.01559e+07	21.23 	49 	1  	8.94031
14 	441   	9.06494e+07	2.68807e+10	1267.82	1.45196e+09	23.582	61 	1  	10.1394
15 	462   	2.65508e+09	1.32196e+12	1261.81	5.90607e+10	23.972	57 	3  	9.80751
16 	464   	1.12674e+06	2.82669e+08	1261.81	1.45623e+07	25.344	62 	1  	10.5105
17 	464   	276238     	2.71105e+07	1261.81	2.36028e+06	25.798	60 	4  	10.4041
18 	463   	377821     	1.53707e+08	1247.54	6.89712e+06	24.496	70 	2  	9.44108
19 	437   	733157     	1.53849e+08	1239.67	9.79572e+06	24.748	63 	2  	9.17935
