   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg    	max	min	std    
0  	500   	6.78586e+29	3.39182e+32	3067.97	1.51535e+31	42.932 	496	3  	80.5407
1  	459   	2.40942e+07	1.0015e+10 	1943.21	4.48365e+08	12.964 	238	1  	23.5492
2  	455   	4.54061e+07	1.56492e+10	1658.73	7.29948e+08	10.202 	90 	1  	10.1484
3  	446   	2.74597e+07	1.25675e+10	1727.74	5.62022e+08	9.144  	80 	1  	6.38649
4  	452   	4.82789e+07	2.38521e+10	1449.9 	1.06562e+09	8.576  	26 	1  	3.76248
5  	464   	2.20154e+10	1.10071e+13	1449.9 	4.91762e+11	8.82   	29 	1  	3.7067 
6  	460   	2.197e+08  	9.37033e+10	1449.9 	4.24279e+09	9.204  	24 	1  	3.72107
7  	455   	421607     	6.87705e+07	1449.9 	4.17337e+06	10.326 	26 	1  	3.80838
8  	450   	189431     	7.17609e+07	1437.91	3.22038e+06	10.288 	26 	1  	3.63167
9  	429   	2.16676e+12	1.08338e+15	1437.91	4.84016e+13	10.358 	28 	1  	3.52162
10 	457   	187863     	4.0855e+07 	1437.91	2.49805e+06	9.988  	28 	1  	3.29968
11 	467   	2.24761e+08	9.66179e+10	1437.91	4.37071e+09	9.74   	23 	1  	2.79507
12 	454   	41697.5    	9.33988e+06	1437.91	432719     	10.048 	22 	1  	3.09026
13 	454   	95183.2    	3.95469e+07	1436.6 	1.76685e+06	10.332 	21 	1  	3.06297
14 	451   	176801     	4.14709e+07	1436.6 	2.58507e+06	11.012 	22 	1  	3.58104
15 	454   	3.19337e+07	1.56318e+10	1436.6 	6.98441e+08	11.546 	24 	1  	3.58941
16 	437   	2.39134e+09	1.19554e+12	1434.71	5.34127e+10	11.906 	22 	1  	3.58625
17 	457   	810512     	3.48232e+08	1434.33	1.56798e+07	12.188 	24 	1  	3.67976
18 	462   	942182     	4.13991e+08	1434.33	1.85764e+07	12.146 	31 	1  	3.83884
19 	465   	7.8449e+06 	1.83235e+09	1426.32	9.84807e+07	12.672 	38 	2  	4.86872
20 	460   	3.14466e+07	1.5664e+10 	1423.08	6.99814e+08	14.288 	42 	2  	6.72615
21 	461   	2.06694e+06	4.20328e+08	1413.96	2.67717e+07	18.68  	59 	1  	9.45926
22 	453   	1.22265e+06	4.0849e+08 	1412.55	1.8652e+07 	25.514 	65 	3  	11.6132
23 	454   	3.42998e+08	1.70986e+11	1411.84	7.63906e+09	30.222 	60 	1  	11.6043
24 	442   	7.04078e+06	3.45189e+09	1411.29	1.54231e+08	30.988 	71 	1  	12.1836
25 	458   	13867      	2.99981e+06	1410.01	140245     	31.608 	80 	5  	13.4916
26 	465   	7641.6     	598970     	1333.5 	39553.9    	33.216 	87 	1  	13.6722
27 	455   	96258.3    	3.94678e+07	1333.5 	1.7731e+06 	34.488 	86 	1  	14.9967
28 	472   	2.44609e+08	1.22196e+11	1333.5 	5.45931e+09	35.58  	89 	1  	16.2762
29 	453   	53613.8    	1.22182e+07	1327.45	667050     	35.662 	98 	3  	16.2866
30 	448   	475063     	1.21809e+08	1327.45	7.19033e+06	33.244 	81 	1  	17.5463
31 	449   	1.6439e+06 	4.20328e+08	1320.94	2.21018e+07	32.59  	81 	3  	18.2822
32 	452   	5.16472e+06	1.84304e+09	1232.97	8.40674e+07	33.018 	96 	1  	19.776 
33 	450   	5.62523e+07	2.62562e+10	1232.97	1.17364e+09	30.16  	104	1  	21.5149
34 	466   	1.20894e+07	4.04032e+09	1232.97	1.8673e+08 	30.598 	107	3  	21.9351
35 	467   	5.4266e+06 	1.10502e+09	1232.97	5.64823e+07	25.806 	106	1  	20.8734
36 	451   	1.46738e+08	6.94151e+10	1224.07	3.10174e+09	21.798 	90 	1  	17.2541
37 	475   	1.7008e+07 	3.51514e+09	1183.49	1.84202e+08	19.262 	77 	3  	11.8309
38 	463   	1.59565e+09	7.96787e+11	1155.41	3.55977e+10	20.564 	71 	1  	10.9163
39 	442   	3.08196e+09	1.1952e+12 	1155.41	5.55539e+10	21.316 	68 	1  	11.8764
40 	461   	5.01726e+06	1.09161e+09	1155.41	6.31282e+07	23.876 	72 	1  	12.0044
41 	445   	1.97997e+08	7.07069e+10	1155.41	3.36541e+09	26.162 	75 	3  	12.4283
42 	457   	2.3627e+09 	1.17316e+12	1154.37	5.24133e+10	26.112 	68 	1  	13.0673
43 	466   	4.98918e+08	2.48372e+11	1151.03	1.10964e+10	25.644 	79 	3  	12.6123
