tex_3_seed_01.txt	tex_3_seed_02.txt	tex_3_seed_03.txt	tex_3_seed_04.txt	tex_3_seed_05.txt	tex_3_seed_06.txt	tex_3_seed_07.txt	tex_3_seed_08.txt	tex_3_seed_09.txt	tex_3_seed_10.txt	AVG
36088.1	36953.7	36430.9	37299.4	37550.7	36584	35784.3	37316	37252.9	37596	36885.6
31123.3	32451.2	31885.5	33583.3	35251	31463.7	28287.8	32312	33347.8	34308.9	32401.45
23834.8	24647.3	24372.9	27754.4	28690.2	25478.6	22428.4	26800.4	26291.7	27041.7	25734.04
20329.4	22116.3	21523.8	22338.8	23646.3	21604.7	16524	21549.7	21616.6	20416.8	21166.64
18731.3	16049	20714.8	18876.1	20074.9	19768.8	17394.1	17821	17721.9	19449.6	18660.15
21592	19322.8	19141	17756.7	19172.3	19591.5	16371.2	18808.2	18066.6	16428.1	18625.04
20780.8	17789.2	19230.9	19316.2	18469.5	18981	16821.6	20150.4	17384	14437.6	18336.12
20730.7	15923.4	17210.6	19630.3	19398	18191.5	17719.7	19861.8	17829.7	19279.2	18577.49
19586.8	17528.9	16701.8	24106.3	19316.3	19374.6	18673.5	20145.7	21632.1	17670.9	19473.69
20579.5	15567.2	18444.3	22794.8	16250.5	18103.4	18328.1	20024.2	19307.7	18818.9	18821.86
17329.9	12517.9	17623	23208.1	15566	17478.1	19596.7	17248.2	22166.4	17660.5	18039.48
17065	13420	16425.6	22524.9	14149.2	16250.9	18846.8	19716.6	17849.9	16238.7	17248.76
15165.3	12551.6	16192.8	21782.5	15515.4	15538.2	19592.2	18547.7	18071	18018	17097.47
14822.2	12102.4	15263.6	21696	14497.8	15640	19278.2	18902.6	18212.1	15765.8	16618.07
14101	10352.4	19909.2	18018.3	13683.1	16409.1	16861.9	17971.3	17003.6	15938.4	16024.83
13389.8	11344.7	16014	17890.4	13570.8	13920	18256.1	20409.3	18585.9	14412.6	15779.36
14720.5	11202.1	17938.8	13561.9	12594.6	14598.2	17472.1	17348.1	17848.8	13860.4	15114.55
14286.4	11308.9	16246.2	13550.7	13368.3	13944.1	15061.1	17491.8	16090.1	12502.1	14384.97
13659.3	10184.3	15304.9	15860.6	10832.2	13791	15207	14338.1	15538.2	13630	13834.56
13475.9	10334.8	11828.6	12704.4	12535.9	14275.5	15176.7	15132.6	16956.8	12193.8	13461.5
14330.9	9167.28	12520.6	12554.7	12576.1	12914.4	15903.7	13026.7	16697.3	13615.9	13330.758
15396.6	9552.63	12312.8	11264.4	10988.1	12357.5	14326.6	12659.3	16361.3	12525.2	12774.443
12978	8838.22	10794	11510	12710.3	13025.5	13706	12420.5	13425.8	12111.1	12151.942
11045.9	9345.53	9779.94	10176.3	9853.63	15195.5	14889.3	11030.7	12540.1	13014.3	11687.12
