tex_4_seed_01.txt	tex_4_seed_02.txt	tex_4_seed_03.txt	tex_4_seed_04.txt	tex_4_seed_05.txt	tex_4_seed_06.txt	tex_4_seed_07.txt	tex_4_seed_08.txt	tex_4_seed_09.txt	tex_4_seed_10.txt	AVG
36462.3	37584.9	36159.2	37051.9	37515.9	36369.6	36428.8	37345	37366.5	37539.5	36982.36
30583.4	33798.6	31550	32316.6	34263.2	30553.2	29337.4	32865.9	33728.3	34355.2	32335.18
23430.6	23920.6	24138.8	25881.1	25377.4	24032.5	21248.4	27145.9	28138.5	25123.1	24843.69
20145.8	18395.3	22789.5	23178.9	24822.2	18909.9	16833.1	19635.1	23705.1	21838.7	21025.36
16804.7	16910.3	20405.5	17563.6	21903.3	18006.6	17511.5	17848.2	22562.5	19745.5	18926.17
17647.3	19020.5	19184.6	16916.6	19270	18388	15729.3	16173.7	19227.8	18765.4	18032.32
17345.5	18980.2	16834.1	15462.7	20055.7	16401	15633.2	17272.4	20516.4	16149.5	17465.07
17011.1	17392.3	16002.5	15282.8	15687	16636.8	18512.2	17847.3	19004.4	15750.7	16912.71
17872.4	18678.3	18869.5	16375.5	15383.9	16666.9	17916.9	14853.7	17734.8	16185.5	17053.74
17727.5	19607.1	16937.7	16242	15268.6	16553	17753.8	17833.7	19551.5	14873.6	17234.85
17321	16092.2	16409.9	16707.9	15627.2	16937.6	17687.1	15021.9	19604.2	14558.6	16596.76
19581.6	16774.1	15629.6	16813.5	15136.7	16287.8	19127.9	14509.3	17030.2	17372.8	16826.35
18122.2	15895.4	18263.4	17999.5	14880.4	18102.4	18553.2	16076.6	19289.5	15760.4	17294.3
16086.4	16535.6	17173.3	17116.3	14855.7	16555.2	17990.4	14619.6	17211.8	15435.5	16357.98
16497.1	16501.2	16480.3	17737.3	14068.5	18288.9	15737.4	13188	17809	16469.2	16277.69
16717.7	14616.2	15541.2	15610.5	14319.7	16349.4	18331.7	14624.5	15204.1	17428.4	15874.34
17630	14163	14111	16007.7	12773.8	17036.9	18131	13313.9	16665.2	13382.3	15321.48
17177	13331.1	15011.3	17004.7	13108.5	18134.1	18655.9	11744.4	15985.2	11059.4	15121.16
14132.3	13650.4	15777.1	16168.9	12938	17079.3	17614.1	9224.24	14221.7	12842.7	14364.874
14147.1	13840.4	12997.5	18293.5	12387.8	14543.2	17604.9	11241.2	12878.2	11683.4	13961.72
