tex_1_seed_01.txt	tex_1_seed_02.txt	tex_1_seed_03.txt	tex_1_seed_04.txt	tex_1_seed_05.txt	tex_1_seed_06.txt	tex_1_seed_07.txt	tex_1_seed_08.txt	tex_1_seed_09.txt	tex_1_seed_10.txt	AVG
13099	13099	13098	13104	13099	13102	13098	13107	13099	13107	13101.2
13083	13102	13098	13066	13083	13099	13098	13066	13096	13104	13089.5
13083	13099	12896	13098	13097	13066	12896	12617	13099	13066	13001.7
13083	13099	12896	13099	13096	13066	12896	12617	13099	13066	13001.7
13083	13099	13076	12778	13096	13066	13076	12617	13096	13066	13005.3
13083	13099	13076	12916	13096	13066	13076	12617	13096	13072	13019.7
13099	13099	13071	12783	13096	13063	13071	12617	12959	13072	12993
13099	13099	12778	12783	13096	13063	12778	12595	12896	13098	12928.5
13099	13099	12782	12783	13092	13063	12782	12213	12896	13075	12888.4
13099	13099	12782	12783	13092	13063	12782	12038	12889	13064	12869.1
13099	13099	12782	12778	13066	13063	12782	12171	12884	13064	12878.8
13099	13099	12783	12778	13066	13055	12783	11991	12884	13064	12860.2
13072	13099	12728	12778	13066	13055	12728	11862	12856	13064	12830.8
13064	13099	12673	12737	13068	13050	12673	12163	12873	13064	12846.4
13064	13099	12673	12737	13066	13050	12673	12078	12713	13059	12821.2
13064	13099	12708	12737	13066	13050	12708	12045	12681	13059	12821.7
13064	13099	12619	12760	13066	13049	12619	11697	12681	13059	12771.3
13064	13075	12619	12745	12859	12955	12619	11697	12681	13064	12737.8
13064	13075	12592	12745	12859	12953	12592	11912	12681	13064	12753.7
13064	13075	12553	12757	12858	12849	12553	12005	12681	13064	12745.9
13064	13075	12558	12737	12858	12849	12558	11912	12681	13005	12729.7
13064	13075	12494	12712	12798	12849	12494	11994	12617	13005	12710.2
13063	13075	12478	12735	12805	12671	12478	11994	12678	13005	12698.2
13063	13075	12462	12658	12786	12671	12462	11981	12681	13005	12684.4
13063	13075	12331	12702	12786	12670	12331	11981	12681	13003	12662.3
13061	13075	12309	12591	12712	12671	12309	11981	12678	12997	12638.4
13061	13071	12306	12480	12711	12671	12306	11981	12680	11566	12483.3
13059	13075	12293	12480	12711	12655	12293	11885	12680	11828	12495.9
13059	12962	12245	12422	12711	12655	12245	11825	12680	11829	12463.3
13061	12747	12195	12275	12711	12654	12195	10748	12680	11829	12309.5
13055	13074	12146	12523	12711	12654	12146	10748	12679	11829	12356.5
13061	13075	12110	12348	12515	12609	12110	10467	12679	11829	12280.3
13051	13075	12084	12348	12207	12606	12084	10467	12679	11784	12238.5
13051	13073	11962	12511	12207	12606	11962	9507	12674	11189	12074.2
13059	13065	11954	12422	12515	12606	11954	9507	12674	11189	12094.5
12810	12681	10984	12387	12515	12605	10984	9507	12674	11106	11825.3
12768	12546	11070	12323	12513	12594	11070	9507	12674	11106	11817.1
12794	12544	11070	12277	12096	12601	11070	9507	12674	11106	11773.9
12770	12544	10977	12198	12096	12594	10977	9500	12669	10960	11728.5
12778	12514	10977	10607	12097	12587	10977	9500	12667	10476	11518
12771	12544	10977	10532	12096	12587	10977	9196	12667	10437	11478.4
12651	12389	10977	10488	12096	12587	10977	9196	12651	10437	11444.9
12514	12389	10404	10454	12096	12566	10404	9191	12615	10314	11294.7
12491	12147	9562	10212	11824	12566	9562	8954	12615	10001	10993.4
12138	12137	9344	10212	11824	12566	9344	8262	12615	9799	10824.1
12110	12135	9332	10221	11677	12566	9332	8262	12615	9799	10804.9
12110	12131	8412	10066	11677	12566	8412	8262	12614	9799	10604.9
11760	11732	8218	10066	11674	12566	8218	7845	12613	9573	10426.5
11761	11773	8213	10053	11542	12566	8213	7845	12605	9559	10413
11755	11725	8145	10213	11542	12566	8145	7845	11898	9492	10332.6
11758	11725	8031	10194	11497	12560	8031	7844	11898	9411	10294.9
