tex_4_seed_01.txt	tex_4_seed_02.txt	tex_4_seed_03.txt	tex_4_seed_04.txt	tex_4_seed_05.txt	tex_4_seed_06.txt	tex_4_seed_07.txt	tex_4_seed_08.txt	tex_4_seed_09.txt	tex_4_seed_10.txt	AVG
34445.7	32928.4	33736.9	31159.5	33042.1	33542.3	33260.7	34419.5	33231.1	33182.2	33294.84
24273.5	24411.3	26714.2	22131.8	22361.4	25561.7	23762.2	26671.1	22723.6	24844.1	24345.49
18681.4	16095	20986.5	20725.1	15036.7	17906.3	23289.7	20340.4	20097.6	17734.5	19089.32
18206.6	16121.4	18737.1	17388.8	14059	16504.5	17623.7	20168.6	16843.6	18179.3	17383.26
17223.9	13350.9	21216.1	17723.8	13898.4	15449	17541.9	20350.9	17138.7	15995	16988.86
18475.3	13514.7	17126.9	19355	14040.8	16236.9	19179.9	18272.3	16484.3	16396.5	16908.26
16204.4	15090	16485.5	18335.8	15623.7	14235	15960.2	21085.9	16838.3	18070.1	16792.89
16149	13513.2	16689.2	17742.6	13562.4	14518.3	17704.1	16945.2	15899.8	17441	16016.48
14293.9	14797.9	16389.9	15888.2	14439.9	14038.6	17246.5	17819.8	15652.8	20957.4	16152.49
16603.1	14665.4	17724.2	15622.2	14471.5	14180.8	18309.7	17224.9	17739.4	16956.5	16349.77
16937.5	14213.5	15459.9	15202.4	15522.8	15217.1	19053.5	16680.5	18209.5	17454.5	16395.12
16965.6	14114	17545.6	14071.7	13243.6	14514.1	17074	17206.1	18708.9	16704	16014.76
14517.7	13806.7	15946.9	14564.1	14572.9	12984.8	19964.5	15326.3	17028.5	18014.7	15672.71
14044.1	13128.9	16765.9	15598.8	13681	14445.9	17496.3	17694.7	15900.9	18017.9	15677.44
15351.9	12610.5	15990.4	13510.8	14307.4	14873.5	19449.1	14815.6	16016	17371.8	15429.7
14299.9	12932.1	14541.1	14010.2	13989.3	14826.2	20903	13514.4	15719	18738.8	15347.4
14305.5	11803.2	15279.7	13816	14065.1	14055	17819.3	14478.5	13555.1	17098.4	14627.58
14569.7	12889.2	16244.2	13780.3	14592	14826.2	19075.7	15421.3	15861.2	17220.1	15447.99
14038	12347.3	15320.3	14781.3	15364.2	14392.8	16945.5	14038.5	13904.3	16203.5	14733.57
14561.8	11081.1	14610.5	13578.2	15480.4	13643.8	18315.3	15626.6	14137	18914.8	14994.95
13880.7	10665.4	14743.1	13625.3	13245.9	14303.7	19557.4	14367.7	11994.1	17883.1	14426.64
14548.1	10040.9	14416.5	13511.2	14037.2	14440.7	19648.4	13509.4	12661.9	17434.4	14424.87
14626.7	9763.46	14202.8	14776.7	14807.3	14038.8	19823.1	14577.3	13236.1	17616.8	14746.906
14829.3	9288.41	13933.2	13896.6	13771.5	13784.4	17960.8	14307.7	11362	17537.6	14067.151
14046.2	9433.02	13186.3	13943	14576.7	15093.9	21155.5	14046.2	10087	15930.7	14149.852
13775	9544.84	13767.1	14301.9	13247	14124.4	19023.3	15562.4	10915.4	19365.8	14362.714
13771.3	10433.6	14202.6	13503.3	14516.4	14889.1	21292	15039.6	10490.7	18264	14640.26
13764.3	10457.3	13697.1	13941	12988.2	14130.8	20836.2	13251.4	10299.7	17375.4	14074.14
14133.6	10781.7	14128.4	14891	14043.7	13152.8	16584	14036.3	10233	16701.7	13868.62
13777.7	10141.3	13907.9	14658.5	13682.8	13607	19660.3	14986.7	11465	16197.8	14208.5
14598.1	8804.79	13420.2	15593.4	13752.6	13508.5	17890.1	14585.7	9586.61	18704.7	14044.47
13544.5	9178.23	13673.5	15879.8	15421.1	13780.2	18083.5	14229	10948.8	16475.9	14121.453
13726.2	10525.8	14501.6	14123.4	14318.1	14602.1	17469.5	14192.7	10090.7	17482.4	14103.25
13510.1	9566.78	13450.8	15179	14300.9	13690.3	16888.7	13508	9975.04	18401.6	13847.122
14226.1	9904.99	13601.5	15055.5	13751.5	14249.9	15942.9	14883.7	9495.42	19828.1	14093.961
13247.8	10088.2	13351.7	14142.7	13671.1	13662.6	14264.6	15361.8	9925.99	18055.3	13577.179
13881.1	8649.61	12890.6	14839.6	14192	13780.9	16082.8	14486.1	9429.32	18914	13714.603
13266.8	8804.74	13384.4	13575.8	13510.4	13794.7	15506.6	14364.9	8508.92	17166.4	13188.366
13867.9	9900.35	13744.3	13814.8	14584.8	13771.6	15470.3	14040	9504.01	16210.7	13490.876
14025.6	9440.36	14685.2	13728.4	14582	13381	18161.1	14296.1	9266.41	18178.7	13974.487
13604.1	9316.56	13087.9	13337.6	14532.4	13506.6	16768	14839.4	9744.8	22002.5	14073.986
14134.2	9189.43	13303.1	12832.7	15401.6	13680.4	15484.9	13784.7	8144.51	22015.6	13797.114
13773.1	9362.53	14910.4	12896.7	13244.2	13218.8	18897.1	15500.5	8709.77	18204.3	13871.74
14041.6	9403.1	13296.5	12231.5	13510	13509	18895.6	14266.4	8438.51	16004.6	13359.681
13131.7	10159.2	13298.7	12164	14628.4	13347.9	18413	14068.5	9944.41	18150.9	13730.671
13940.5	7914.36	13670.5	12211.8	14303.6	13040.4	20123.3	14199.2	8223.93	19246.6	13687.419
13688.1	10008.3	13036.1	12453	14086.2	13505.1	17924.2	14492	9508.36	18347.3	13704.866
13730.3	10136.7	13190.3	11692.9	14691.3	13446.4	17473	13468.9	9253.8	17081.3	13416.49
14628.9	9836.8	13283.1	11259.1	14336.9	13744.7	18561.1	14234.7	8678.37	18226.5	13679.017
14539.1	8842.75	13027.9	11623.3	14613.2	12980.2	18779.9	13513.2	9232.54	19616.8	13676.889
13549.8	8316.17	12971.5	10992.3	14877.2	13442.5	17494.1	13472.5	7794.79	18350.3	13126.116
