   	      	            fitness            	              size              
   	      	-------------------------------	--------------------------------
gen	nevals	avg    	max  	min  	std    	avg  	max	min	std     
0  	100   	33107.8	39321	13099	10805  	3.87 	7  	2  	1.61651 
1  	100   	23874.9	39321	13102	12382.9	3.84 	9  	1  	1.78729 
2  	94    	17331.3	40202	13099	8979.89	3.64 	10 	2  	1.8413  
3  	93    	17086.4	39334	13099	9171.69	3.44 	8  	1  	1.72812 
4  	95    	14702  	39321	13099	6220.54	3.46 	12 	1  	2.09485 
5  	86    	15319.2	39321	13099	6915.63	3.12 	10 	2  	1.81813 
6  	89    	15543.1	39321	13099	7517.68	2.99 	10 	1  	1.84659 
7  	90    	14727.6	39321	13099	6236.7 	2.38 	6  	1  	0.924986
8  	88    	15684.5	39321	13099	7611.81	2.47 	10 	1  	1.29965 
9  	100   	16266.6	39321	13099	8514.56	2.41 	8  	1  	1.23365 
10 	88    	15005.3	39321	13099	6704.59	2.36 	8  	1  	1.16207 
11 	92    	14607  	39321	13099	5995.92	2.23 	7  	1  	0.846818
12 	95    	14791.3	39321	13099	6267.71	2.24 	7  	1  	0.895768
13 	87    	15461.1	39321	13099	7503.59	2.13 	8  	1  	0.867813
14 	91    	13980  	39329	13099	4549.71	2.24 	8  	2  	1.02098 
15 	84    	15721.4	39321	13099	7866.52	2.1  	8  	1  	0.8544  
16 	94    	14226.2	39321	13099	5180.38	2.19 	8  	1  	0.945463
17 	93    	15218.3	39321	13075	7110.4 	2.45 	8  	1  	1.51245 
18 	96    	14411.7	39321	13075	5475.14	2.56 	8  	1  	1.4988  
19 	88    	14785.5	39321	13075	6244.78	2.93 	10 	1  	1.96089 
20 	91    	16104.5	39321	13075	8060.11	3.16 	10 	2  	1.91687 
21 	90    	17529.8	39321	13075	9586.76	3.4  	9  	1  	2.05913 
22 	89    	17123.5	39321	13075	9102.97	4.13 	12 	1  	2.41518 
23 	83    	18588.3	39321	13075	10147.5	4.5  	12 	1  	2.46779 
24 	90    	17533.8	39321	13075	9299.74	5.41 	13 	2  	2.41286 
25 	94    	22972.6	39321	13075	12326.8	6.34 	13 	1  	2.5582  
26 	98    	23743.6	39321	13071	12295.1	6.92 	15 	2  	2.73379 
27 	88    	21648.9	39321	13075	11867.5	6.97 	15 	1  	2.52371 
28 	92    	22356.5	39321	12962	12267.9	7.77 	18 	1  	3.37003 
29 	79    	18871.2	39321	12747	10600.9	8.92 	18 	3  	3.70589 
30 	91    	18345.5	39321	13074	9991.43	10.22	24 	1  	4.43977 
31 	81    	18959.6	39329	13075	10663.2	10.76	24 	1  	4.67572 
32 	89    	19963.1	39321	13075	11252.5	11.26	27 	1  	5.03313 
33 	88    	19815.7	39321	13073	10883.5	11.7 	30 	1  	5.18941 
34 	94    	17562.3	39321	13065	9447.05	12.91	33 	1  	5.94827 
35 	92    	21722.7	39321	12681	12101.7	13.9 	32 	1  	6.04566 
36 	95    	19935.9	39358	12546	10997.9	15.28	32 	3  	6.93265 
37 	89    	18419.9	39804	12544	10004.8	17.13	36 	2  	7.71577 
38 	86    	18317.6	39728	12544	10399.1	18.33	44 	1  	8.23171 
39 	92    	18693.2	39823	12514	10417  	20.23	44 	3  	8.45678 
40 	93    	19136.1	39825	12544	10901.4	21.18	53 	5  	8.16012 
41 	90    	17705.9	39838	12389	9865.25	23.22	47 	1  	10.2368 
42 	88    	15826  	39771	12389	8061.61	28   	59 	5  	10.6236 
43 	88    	16397.8	39997	12147	8700.78	31.8 	67 	7  	11.2454 
44 	90    	14660.8	40308	12137	6377.8 	33.24	55 	3  	10.2168 
45 	98    	17164.1	40240	12135	9744.98	29.83	63 	1  	12.4307 
46 	88    	15364.9	40304	12131	7454.28	31   	55 	9  	11.4787 
47 	94    	16252.4	40277	11732	8964.61	29.83	71 	5  	14.094  
48 	80    	15188.6	40304	11773	7753.86	31.41	57 	7  	11.8609 
49 	94    	14863.4	40304	11725	7245.44	33.58	71 	7  	11.6561 
50 	93    	14557.1	40302	11725	7156.34	34.5 	75 	3  	12.7417 
