   	      	            fitness            	              size             
   	      	-------------------------------	-------------------------------
gen	nevals	avg    	max  	min  	std    	avg   	max	min	std    
0  	100   	33927.7	39321	13102	9958.05	3.68  	7  	2  	1.49586
1  	93    	26459.4	39329	13099	11613.5	3.81  	9  	1  	1.71869
2  	84    	18273.5	39321	13066	9357.26	3.22  	8  	1  	1.52696
3  	84    	15201  	39321	13066	6242.63	3.27  	12 	1  	1.94861
4  	89    	17070.5	39321	13066	8957.46	3.95  	12 	1  	2.58215
5  	96    	17536.1	39321	13066	9523.83	3.5   	14 	1  	2.39374
6  	93    	15246.7	40572	13063	6801.77	3.6   	16 	2  	2.68701
7  	91    	17935.9	39329	13063	9674.14	3.82  	14 	2  	2.66225
8  	89    	15644  	39350	13063	7520.12	3.41  	8  	2  	1.92922
9  	94    	15350.2	39329	13063	7137.89	3.63  	10 	1  	2.04771
10 	89    	15884.8	39350	13063	7886.28	3.96  	12 	1  	2.26239
11 	93    	14872.2	39321	13055	6119.97	4.68  	16 	2  	2.74182
12 	94    	14516.2	39342	13055	5641.98	7.16  	18 	2  	4.50937
13 	91    	15066.3	39326	13050	6400.68	9.09  	23 	2  	5.20595
14 	81    	15310.9	39350	13050	6329.43	11.57 	28 	1  	5.73281
15 	92    	17549.4	39336	13050	9030.11	13.15 	36 	2  	7.38156
16 	91    	15495.8	39483	13049	7238.18	14.83 	33 	2  	7.98881
17 	85    	16337.6	39376	12955	7945.58	17.2  	46 	1  	9.05759
18 	88    	17370.7	39416	12953	9366.01	19.38 	57 	2  	10.7152
19 	91    	15625.5	39465	12849	7238.99	23.46 	61 	3  	12.0759
20 	99    	15835.7	39416	12849	7075.5 	27.68 	66 	2  	14.4207
21 	91    	15482.9	39321	12849	6753.07	32.4  	61 	2  	13.7062
22 	91    	15672.9	39314	12671	6983.01	33.48 	76 	4  	15.1364
23 	91    	15621.5	39321	12671	7179.65	38.06 	85 	2  	16.4468
24 	85    	16283.8	39453	12670	8095.45	39.09 	68 	1  	15.1057
25 	90    	16373.5	39453	12671	8558.68	47.84 	77 	3  	14.7049
26 	96    	17555.1	40009	12671	9517.66	53.18 	100	10 	14.1488
27 	88    	14449.3	38607	12655	6114.97	57.67 	105	12 	18.886 
28 	97    	15411.1	40011	12655	7271.84	57.71 	104	2  	21.4678
29 	90    	14364.3	39304	12654	5436.29	61.83 	105	4  	20.0215
30 	84    	14583.5	39321	12654	6313.6 	65.6  	137	15 	23.496 
31 	97    	15817.9	39645	12609	7693.99	69.48 	139	3  	19.122 
32 	94    	15113.9	39756	12606	6876.71	69.64 	141	3  	20.1318
33 	91    	13546.2	39292	12606	4124.36	76.5  	143	2  	21.1776
34 	92    	14667.2	39754	12606	6077.46	73.07 	137	15 	19.0726
35 	94    	14510.1	39323	12605	5874.41	70.98 	125	2  	19.2588
36 	92    	14120  	39322	12594	4754.22	71.11 	108	6  	17.2475
37 	95    	14109.1	39324	12601	4974.15	74    	114	4  	19.963 
38 	92    	14060.1	39798	12594	4739.59	77.64 	133	4  	21.8291
39 	81    	13771.4	39322	12587	4397.18	79.09 	122	26 	18.0356
40 	91    	14555.4	39322	12587	6182.91	77.53 	130	2  	19.8366
41 	92    	14252  	39322	12587	5414.98	80.63 	164	1  	19.697 
42 	96    	14762  	39324	12566	6623.38	81.8  	151	2  	18.239 
43 	88    	14765.5	39815	12566	6293.77	86.34 	151	5  	18.5533
44 	90    	13942.4	39324	12566	4594.65	91.66 	150	43 	18.4506
45 	94    	15586.5	39321	12566	7280.18	93.23 	155	3  	26.4113
46 	92    	15350.7	39730	12566	7191.18	99.94 	157	46 	23.58  
47 	91    	15320  	39764	12566	7470.69	110.25	157	10 	20.1372
48 	91    	15113.2	39775	12566	7181.61	107.53	159	2  	25.8354
49 	93    	16261  	39761	12566	8277.6 	105.89	151	2  	26.769 
50 	92    	14025.2	39321	12560	5150.35	113.7 	168	49 	20.0147
