   	      	            fitness            	              size             
   	      	-------------------------------	-------------------------------
gen	nevals	avg    	max  	min 	std    	avg  	max	min	std    
0  	100   	30956.3	40688	9165	12014.2	4.07 	7  	2  	1.7678 
1  	89    	23486.6	42452	9165	12459.9	3.61 	7  	2  	1.53555
2  	89    	19633  	39321	9147	11640.4	3.79 	12 	1  	1.89892
3  	91    	19086.3	41307	8951	11218.3	4.21 	11 	1  	2.07988
4  	93    	20212.4	43281	8951	11654.1	4.33 	11 	1  	2.14035
5  	94    	19650.2	39786	8951	11377.4	4.42 	12 	2  	2.07933
6  	86    	18302.7	39725	8951	10017.7	4.71 	11 	1  	2.08468
7  	95    	22529.7	43281	8951	12547  	5.24 	16 	1  	2.44998
8  	91    	20389.2	39953	8951	12388.6	5.62 	13 	1  	2.46081
9  	92    	21469.4	41742	8949	13209.4	6.73 	13 	2  	2.59174
10 	85    	17779.2	39843	8951	12077.6	6.99 	14 	1  	2.83371
11 	89    	20017.7	42951	8951	13379.1	7.25 	16 	2  	2.82268
12 	93    	20424.8	43281	8951	13403.7	7.77 	16 	1  	3.28894
13 	92    	19681.1	43281	7684	13198.1	7.47 	15 	1  	2.96127
14 	94    	18024.2	39644	7684	12816.2	8.17 	18 	3  	3.2033 
15 	91    	17885.9	39644	7684	12478.5	8.72 	19 	3  	3.3259 
16 	89    	18872.8	43305	7765	13220.2	10.22	23 	4  	4.35105
17 	97    	18166.5	43281	7765	13000.2	11.69	27 	1  	5.81153
18 	91    	17992.6	39701	8845	13136.4	13.35	38 	3  	5.93191
19 	87    	14966.5	43155	8845	11281.6	14.57	28 	4  	5.6943 
20 	88    	15470.1	39930	8839	11911.2	15.61	34 	4  	6.32597
21 	92    	14930.2	43156	8839	11630.5	16.43	41 	5  	7.02318
22 	94    	12341.8	39321	8728	9052.36	18.57	41 	5  	7.55944
23 	96    	13794.8	39322	8728	10239.9	19.65	48 	5  	9.78609
24 	90    	12306.6	43292	7758	9186.78	22.87	52 	4  	11.0677
25 	100   	13905.2	39342	8838	10567.4	23.81	54 	3  	10.0794
26 	94    	13000.7	39342	8838	9841.59	24.37	49 	5  	9.48752
27 	100   	12341.5	39518	8838	8821.47	24.64	47 	3  	10.4657
28 	95    	13414.5	39629	8838	10432  	26.91	55 	5  	10.9363
29 	92    	12059.9	39623	8837	8440.44	29.72	75 	5  	11.709 
30 	94    	11855.9	39321	8837	8671.4 	30.08	64 	5  	11.3655
31 	94    	10890.7	39470	8838	6819.97	29.16	70 	5  	12.6236
32 	92    	11553.6	39321	8631	8054.1 	30.68	63 	5  	12.1267
33 	89    	12448.9	39321	8750	9373.51	31.12	71 	1  	15.6533
34 	91    	10968  	39321	8327	6809.14	32.13	93 	5  	17.0233
35 	95    	13112.8	39629	8327	10081.8	35.61	77 	5  	16.0971
36 	94    	12814  	40235	8327	9887.58	35.63	86 	5  	17.7542
37 	94    	10863.2	39321	8327	7140.94	38.78	81 	5  	17.757 
38 	88    	12823.5	39321	7988	9913.76	33.81	70 	5  	19.4904
39 	94    	14632.4	40259	7988	11791.5	27.57	78 	5  	18.2534
40 	90    	15295  	40288	7875	12462.9	24.25	76 	5  	15.2593
41 	96    	16816  	39951	7793	13107.2	20.31	62 	1  	11.864 
42 	90    	15156.4	39998	7793	11908.6	22   	75 	5  	12.4201
43 	85    	13376.7	39595	7385	10993.8	22.57	61 	5  	10.724 
44 	90    	14236.3	39434	7385	11640.2	22.73	61 	1  	11.3065
45 	83    	14623.7	40288	7385	12496.7	22.53	55 	1  	11.5373
46 	92    	11537.4	39321	7268	9142.36	26.43	65 	5  	12.9238
47 	86    	13384.2	41004	7268	11466.2	34.04	69 	5  	16.9917
48 	93    	11379.5	40714	7256	9851.44	43.19	94 	7  	18.7476
49 	91    	11342.6	40626	7256	9651.97	45.9 	83 	5  	17.6349
50 	91    	11115.7	40924	7256	9537.9 	48.79	119	5  	19.93  
