   	      	            fitness            	              size             
   	      	-------------------------------	-------------------------------
gen	nevals	avg    	max  	min 	std    	avg   	max	min	std    
0  	100   	33189.8	40312	9824	10493  	3.84  	7  	2  	1.54091
1  	89    	23969.6	39321	9824	12540  	3.49  	12 	1  	1.6643 
2  	94    	21932.5	42269	9824	12177.7	3.85  	9  	1  	1.81865
3  	98    	19451.1	42269	9824	11103.2	4.54  	14 	2  	2.43893
4  	96    	19180.7	42269	9657	11302.8	5.58  	18 	2  	3.01722
5  	88    	19891.7	42039	9657	12373.8	6.52  	18 	2  	3.26337
6  	91    	17621  	42269	9657	10785.2	7.1   	20 	1  	3.55668
7  	92    	21406.8	42269	9657	13259.5	7.14  	20 	2  	3.86787
8  	94    	21370.4	40336	9657	13639.6	7.1   	21 	1  	3.751  
9  	95    	20953.6	39542	9657	13075.5	7.81  	22 	1  	4.32364
10 	91    	21537.3	42269	9657	13429.1	7.82  	19 	3  	3.95318
11 	92    	20928  	41518	9657	13650.1	9.47  	19 	1  	4.63348
12 	94    	20324.6	41597	9657	13255.9	9.79  	23 	3  	5.47959
13 	87    	17251.4	39321	9657	11900.5	10.67 	35 	3  	6.1904 
14 	95    	18889.6	39321	9657	12961.5	11.36 	31 	3  	6.54449
15 	94    	19091.6	39321	9654	13151.4	11.78 	29 	1  	6.26032
16 	84    	14495.5	39321	9654	10061.6	12.35 	31 	1  	6.49365
17 	94    	18562  	42269	9657	13120.9	12.55 	41 	1  	6.98337
18 	90    	15947.3	43467	9654	10824.5	13.46 	49 	1  	7.05325
19 	89    	14168.5	39321	8302	9951.44	15.96 	51 	3  	8.85316
20 	89    	15072.6	42408	8302	10994.9	18.36 	55 	3  	11.8824
21 	94    	15607.4	39809	8302	11253.1	23.39 	63 	5  	15.468 
22 	97    	13692.2	39321	8302	9239.93	31.66 	91 	2  	21.0947
23 	97    	13818.6	39321	8302	9785.78	38.08 	97 	5  	20.9092
24 	84    	12664.7	39321	8302	8377.41	41.1  	97 	5  	22.6599
25 	92    	13420.1	39321	8298	9050.05	37.19 	119	3  	24.6733
26 	91    	15170.2	39544	8295	11154.7	29.27 	119	1  	18.3896
27 	93    	14387.4	40028	8295	11128.7	27.78 	71 	3  	13.3683
28 	91    	12297.5	43560	8298	9276.07	29.21 	65 	9  	12.5446
29 	95    	13383.7	39333	8298	10515.4	33.46 	72 	1  	16.4319
30 	83    	10086  	43684	8295	6207.27	39.58 	80 	9  	15.9312
31 	90    	11796.9	43688	8295	9420.04	45.04 	95 	9  	18.3215
32 	95    	12068.5	43600	8292	9289.35	44.6  	97 	7  	22.3593
33 	95    	10000.5	42785	8292	6285.71	55.11 	103	3  	21.5067
34 	91    	11534.7	43693	8216	8993.5 	52.69 	97 	3  	21.7971
35 	90    	10015.4	39321	7503	6622.06	54.04 	119	3  	21.5411
36 	100   	10973.6	39770	7503	7843.51	58.23 	129	7  	26.307 
37 	88    	9820.49	39321	7503	5968.42	60.58 	119	6  	29.528 
38 	89    	10093.9	39461	7491	6875.72	68.24 	114	15 	24.6536
39 	85    	12268.1	43353	7487	9892.55	67.35 	135	15 	24.3965
40 	89    	9937.54	43691	5942	6846.93	66.7  	115	3  	22.2713
41 	92    	11574.3	39544	5942	9460.67	68.87 	117	13 	19.9833
42 	96    	10106.9	39544	5942	7477.36	70.82 	124	19 	19.7025
43 	85    	10559.2	39378	5942	8098.26	75    	145	25 	19.5974
44 	95    	9202.23	43542	5348	7151.21	79.87 	126	3  	22.7106
45 	94    	8872.92	39684	5178	6879.61	84.33 	153	21 	24.3491
46 	96    	8666.6 	46765	4415	7884.65	94.93 	161	20 	25.3043
47 	92    	9547.58	39547	4415	9258.83	96.37 	185	31 	29.7034
48 	87    	8026.1 	39321	4414	7858.87	100.51	181	21 	29.4481
49 	81    	8464.57	39421	4245	8451.36	94.26 	180	27 	25.8873
50 	93    	7149.4 	39321	4225	6889.82	95.17 	152	1  	26.7455
