   	      	            fitness            	              size              
   	      	-------------------------------	--------------------------------
gen	nevals	avg    	max  	min  	std    	avg 	max	min	std     
0  	100   	33042.1	39322	12979	10231.2	3.52	7  	2  	1.31514 
1  	86    	22361.4	39322	12979	10756.3	3.78	11 	1  	1.97271 
2  	86    	15036.7	39321	12979	5736.54	2.92	11 	2  	1.6594  
3  	96    	14059  	39321	12979	5105.61	2.58	8  	2  	1.28981 
4  	92    	13898.4	39321	12979	3934.14	2.92	10 	2  	1.82033 
5  	80    	14040.8	39321	12958	5160.45	2.88	12 	1  	2.05563 
6  	95    	15623.7	39321	12979	7899.18	2.78	8  	2  	1.44624 
7  	94    	13562.4	39321	12979	3709.69	2.36	8  	1  	1.00519 
8  	92    	14439.9	39321	12979	5853.81	2.52	8  	1  	1.1703  
9  	93    	14471.5	39321	12979	5944.37	2.46	8  	1  	1.04326 
10 	88    	15522.8	39321	12979	7645.99	2.56	8  	1  	1.29861 
11 	88    	13243.6	39294	12979	2618.18	2.26	10 	2  	1.00618 
12 	94    	14572.9	39321	12979	6253.26	2.36	7  	1  	0.985089
13 	86    	13681  	39321	12979	3859.98	2.35	10 	1  	1.2278  
14 	93    	14307.4	39321	12979	5739.28	2.38	8  	1  	1.09343 
15 	93    	13989.3	39321	12979	4661.13	2.51	8  	1  	1.28448 
16 	93    	14065.1	39321	12979	5056.16	2.47	10 	1  	1.42446 
17 	94    	14592  	39321	12979	6251.64	2.37	8  	1  	1.1803  
18 	95    	15364.2	39321	12979	7534.58	2.48	8  	1  	1.36    
19 	96    	15480.4	39747	12979	7532.1 	2.36	8  	1  	1.15343 
20 	100   	13245.9	39321	12979	2620.77	2.23	8  	2  	0.978315
21 	90    	14037.2	39321	12979	5161.09	2.34	8  	1  	1.35809 
22 	94    	14807.3	39321	12979	6620.72	2.54	8  	1  	1.61505 
23 	84    	13771.5	39321	12979	4493.27	2.2 	6  	2  	0.648074
24 	85    	14576.7	39321	12979	6253.21	2.36	8  	1  	1.20433 
25 	95    	13247  	39321	12979	2620.63	2.27	6  	1  	0.858545
26 	98    	14516.4	39321	12979	6074.84	2.63	10 	1  	1.48765 
27 	85    	12988.2	13513	12979	56.2228	2.36	10 	2  	1.24515 
28 	90    	14043.7	39321	12979	5159.83	2.65	10 	1  	1.63936 
29 	83    	13682.8	39321	12979	4047.89	2.46	10 	1  	1.43122 
30 	84    	13752.6	39321	12979	4347.19	2.58	8  	1  	1.48445 
31 	98    	15421.1	39321	12979	7532.47	3.02	10 	1  	2.00988 
32 	87    	14318.1	39321	12979	5737.12	2.73	8  	1  	1.66646 
33 	93    	14300.9	39321	12979	5740.06	2.7 	10 	1  	1.64012 
34 	90    	13751.5	39321	12979	4202.81	2.54	8  	2  	1.403   
35 	82    	13671.1	39321	12979	4007.17	2.35	7  	2  	1.12583 
36 	95    	14192  	39321	12979	5352.64	2.35	9  	1  	1.13468 
37 	87    	13510.4	39321	12979	3687.29	2.34	8  	2  	1.01213 
38 	92    	14584.8	39321	12979	6252.83	2.32	6  	1  	0.998799
39 	94    	14582  	39321	12979	6251.41	2.52	8  	1  	1.29213 
40 	83    	14532.4	39321	12979	6105.32	2.5 	8  	1  	1.1     
41 	92    	15401.6	39321	12979	7536.8 	2.53	6  	1  	0.974218
42 	88    	13244.2	39321	12979	2620.88	2.47	6  	1  	0.953467
43 	88    	13510  	39321	12979	3635.44	2.93	8  	2  	1.49837 
44 	92    	14628.4	39500	12979	6270.73	2.98	10 	1  	1.76624 
45 	97    	14303.6	39321	12969	5739.48	3.2 	10 	1  	1.99499 
46 	93    	14086.2	39321	12979	5167.06	3.19	12 	1  	2.21673 
47 	95    	14691.3	39321	12935	6317.89	3.24	12 	1  	2.27209 
48 	94    	14336.9	39322	12935	5735.75	3.59	12 	1  	2.46209 
49 	87    	14613.2	39321	12935	6017.83	4.34	14 	1  	3.16297 
50 	87    	14877.2	39321	12935	6547.12	5.87	16 	1  	4.03399 
