   	      	            fitness            	              size             
   	      	-------------------------------	-------------------------------
gen	nevals	avg    	max  	min  	std    	avg  	max	min	std    
0  	100   	33231.1	39747	12979	10251.2	3.84 	7  	2  	1.54091
1  	89    	22723.6	39325	12978	11842.5	3.65 	9  	1  	1.69337
2  	94    	20097.6	39359	11773	11359  	3.44 	11 	1  	1.96632
3  	98    	16843.6	39747	11773	8899.95	3.25 	9  	1  	1.72264
4  	96    	17138.7	39747	11773	9575.05	3.36 	9  	1  	1.96733
5  	88    	16484.3	39747	11773	8711.34	3.59 	11 	1  	2.42114
6  	92    	16838.3	39747	11773	8631.59	3.88 	10 	1  	2.43426
7  	94    	15899.8	39747	11793	7987.89	3.33 	11 	1  	2.2674 
8  	95    	15652.8	39747	11793	7965.66	3.49 	14 	2  	2.48795
9  	95    	17739.4	40859	11793	10021.9	4.63 	19 	1  	3.62396
10 	91    	18209.5	39747	11793	10463.7	6.18 	20 	1  	4.83814
11 	92    	18708.9	39747	11793	10816.6	7.76 	26 	1  	5.04603
12 	94    	17028.5	39747	7773 	9637.87	8.74 	19 	2  	4.80546
13 	87    	15900.9	39747	7773 	8890.54	9.56 	22 	2  	4.55702
14 	95    	16016  	39321	7773 	8540.71	9.4  	24 	2  	4.56727
15 	94    	15719  	39321	7089 	9469.84	9.9  	33 	1  	4.49778
16 	84    	13555.1	39322	7089 	8029.04	10.15	33 	1  	5.39328
17 	94    	15861.2	39322	7089 	11134.7	9.2  	18 	1  	3.64966
18 	90    	13904.3	39321	7089 	9897.94	9.92 	17 	1  	3.35762
19 	89    	14137  	40634	7089 	9849.73	10.5 	21 	3  	3.73229
20 	89    	11994.1	40521	7068 	8497.38	11.27	21 	3  	4.43138
21 	94    	12661.9	45335	7068 	10030.2	12.57	24 	3  	5.15801
22 	97    	13236.1	39352	7076 	10746.2	13.51	33 	2  	6.56581
23 	97    	11362  	39322	7083 	7950.32	16.33	31 	3  	6.6273 
24 	81    	10087  	39321	7068 	7598.06	18.42	37 	1  	7.21828
25 	95    	10915.4	39322	7022 	7759.71	20.39	49 	3  	8.05468
26 	90    	10490.7	39322	7022 	7703.99	22.21	49 	1  	9.5376 
27 	89    	10299.7	43692	7007 	7833.82	22.82	51 	5  	8.91109
28 	90    	10233  	39369	7007 	8006.26	24.03	61 	7  	11.4171
29 	94    	11465  	39449	7004 	9294.19	21.56	47 	1  	9.00591
30 	86    	9586.61	39352	6995 	6582.91	22.73	57 	3  	11.1757
31 	92    	10948.8	39418	6995 	8607.68	25.81	57 	3  	11.6522
32 	97    	10090.7	39321	6989 	6761.98	30.4 	58 	7  	13.1962
33 	94    	9975.04	40954	6989 	6871.71	36.5 	65 	7  	12.6882
34 	89    	9495.42	39322	6989 	6580.77	36.12	72 	7  	13.1539
35 	93    	9925.99	40521	6989 	6967.83	37.98	89 	7  	15.8348
36 	98    	9429.32	39352	6989 	6201.88	38.37	75 	7  	15.0437
37 	85    	8508.92	39714	6989 	4873.87	40.45	74 	6  	12.3559
38 	98    	9504.01	40016	6978 	6507.54	41.72	73 	9  	12.0699
39 	84    	9266.41	38164	6978 	5982.46	44.56	88 	9  	17.6359
40 	94    	9744.8 	39322	6978 	7040.38	47.58	85 	3  	16.5869
41 	94    	8144.51	15772	6978 	2274.26	51.44	104	13 	19.2579
42 	93    	8709.77	39098	6978 	4744.68	53.77	106	3  	20.0618
43 	90    	8438.51	36943	6976 	4543.92	58.03	137	11 	22.1696
44 	93    	9944.41	39321	6975 	6830.7 	55.22	108	3  	18.1177
45 	93    	8223.93	39322	6972 	4662.64	55.42	129	11 	20.3358
46 	93    	9508.36	39321	6972 	6788.29	50.94	103	7  	14.0134
47 	94    	9253.8 	39792	6965 	6161.8 	53.16	103	11 	16.2559
48 	92    	8678.37	30200	6955 	3459.82	56.9 	134	5  	22.9959
49 	87    	9232.54	36840	6955 	6029.51	69.4 	134	11 	31.6117
50 	100   	7794.79	15545	6955 	1972.54	86.14	163	15 	36.7067
