   	      	            fitness            	              size             
   	      	-------------------------------	-------------------------------
gen	nevals	avg    	max  	min  	std    	avg 	max	min	std    
0  	100   	33182.2	39321	13017	10078.1	4.02	7  	2  	1.70282
1  	89    	24844.1	39449	12710	11765.2	3.9 	9  	1  	1.86279
2  	88    	17734.5	39411	12710	9180.81	3.79	9  	1  	1.88836
3  	98    	18179.3	39321	12960	10258.5	3.93	9  	1  	1.90397
4  	98    	15995  	39321	12960	8160.98	3.81	8  	1  	1.9375 
5  	88    	16396.5	39352	12917	8555.3 	4.33	11 	1  	2.45379
6  	93    	18070.1	39321	12887	10316.9	4.7 	14 	1  	2.59808
7  	96    	17441  	39321	12887	9549.67	4.59	17 	2  	2.7022 
8  	89    	20957.4	39480	12887	11925.2	5.19	15 	2  	2.83794
9  	89    	16956.5	39321	12875	9187.42	4.79	14 	1  	2.64687
10 	86    	17454.5	39321	12875	9742.77	5.06	14 	2  	2.42   
11 	81    	16704  	39321	12817	8928.65	5.24	18 	2  	2.50248
12 	89    	18014.7	39321	12817	10107.6	5.85	18 	1  	2.4955 
13 	89    	18017.9	39321	12817	9821.9 	6.42	15 	2  	2.49872
14 	90    	17371.8	39321	12817	9394.31	6.97	16 	2  	2.70723
15 	91    	18738.8	39321	12817	10489.7	6.58	15 	1  	2.60069
16 	96    	17098.4	39321	12817	9118.9 	6.84	13 	1  	2.51285
17 	95    	17220.1	39321	12757	9232.68	6.82	14 	3  	2.37226
18 	91    	16203.5	39321	12757	8097.95	6.78	11 	3  	1.98283
19 	96    	18914.8	39321	12710	10524.2	6.43	13 	3  	2.49902
20 	92    	17883.1	39321	12757	9854.85	6.57	13 	3  	2.47893
21 	88    	17434.4	39321	12757	9817.65	6.32	11 	1  	2.15815
22 	92    	17616.8	39321	12757	9728.56	6.19	13 	3  	2.12459
23 	92    	17537.6	39321	12757	9894.34	6.29	15 	1  	2.29475
24 	83    	15930.7	39321	12757	8275.79	6.27	15 	1  	2.08737
25 	96    	19365.8	39342	12757	10940.4	6.35	13 	1  	2.46729
26 	97    	18264  	39339	12757	10310.7	6.38	13 	2  	2.39073
27 	87    	17375.4	39321	12757	9802.56	6.77	13 	3  	2.35735
28 	92    	16701.7	39321	12757	9112.42	6.3 	13 	3  	2.10476
29 	91    	16197.8	39321	12757	8485.77	6.28	15 	1  	2.12641
30 	97    	18704.7	39387	12757	10415.8	6.25	19 	1  	2.71431
31 	85    	16475.9	39321	12757	8508.09	5.84	11 	3  	1.88   
32 	94    	17482.4	39321	12710	9806.94	5.87	13 	1  	2.28322
33 	88    	18401.6	39321	12710	10449.3	5.64	12 	1  	2.02247
34 	92    	19828.1	39321	12103	11448.3	5.56	13 	3  	1.76816
35 	94    	18055.3	39321	12103	10106  	5.64	13 	2  	1.9976 
36 	91    	18914  	39321	12103	10788.1	5.62	13 	1  	1.93794
37 	88    	17166.4	39321	12103	9514.88	5.67	11 	3  	1.60658
38 	86    	16210.7	39321	12103	8398.35	5.45	9  	1  	1.50582
39 	91    	18178.7	39321	12757	10410.3	5.57	11 	1  	1.68674
40 	96    	22002.5	39409	12757	12289.1	5.45	11 	1  	2.08986
41 	95    	22015.6	39331	12710	12070.9	5.83	15 	1  	2.44971
42 	89    	18204.3	39321	12710	10272.3	5.8 	15 	1  	2.17256
43 	88    	16004.6	39321	12710	8338.94	6.12	15 	3  	2.23285
44 	96    	18150.9	39323	12710	10387.9	5.62	13 	1  	1.88563
45 	88    	19246.6	39321	12710	10909.1	5.83	11 	3  	1.92902
46 	90    	18347.3	39321	12710	10456.3	6.34	13 	3  	2.31612
47 	89    	17081.3	39321	12710	9507.15	6.72	15 	1  	2.49832
48 	91    	18226.5	39321	12710	10397.7	6.97	14 	3  	2.66629
49 	92    	19616.8	39321	12710	11381.9	6.56	15 	3  	2.64318
50 	96    	18350.3	39378	12710	10577.9	6.74	15 	3  	2.26989
