tex_2_seed_01.txt	tex_2_seed_02.txt	tex_2_seed_03.txt	tex_2_seed_04.txt	tex_2_seed_05.txt	tex_2_seed_06.txt	tex_2_seed_07.txt	tex_2_seed_08.txt	tex_2_seed_09.txt	tex_2_seed_10.txt	AVG
36159.6	36909.1	36321.4	37367	37492.5	36306.9	35757.2	37326.4	37267.3	37618.5	36852.59
30813.9	32167.4	30949.1	33830.8	34350	29946.1	27561.6	31966.3	33245.6	34807	31963.78
22626.7	22275.9	23113.5	27534.1	26397.8	24826.9	19352.9	26742	26507.2	26596.7	24597.37
20211.6	17078.5	21254	23879.4	24134.7	19665.5	16858.3	20502.6	22827.6	21274.5	20768.67
19590.1	16874.4	17326.7	19890.1	22640.5	18063.2	16114.5	18274.3	19213.5	18409.1	18639.64
20360.5	18196.2	16951.3	17769.9	17992.9	18782.9	19092.8	17459.1	19810.5	19366.5	18578.26
18496.4	19272.3	19430.6	18566.8	18729.8	18119.3	13776.4	18059.8	19266.5	18986.3	18270.42
19242.9	16123.6	17234.5	16102.1	16742.2	17907.5	12419.4	15400.8	19530.3	19908.3	17061.16
15958.3	17885.9	15792.8	17924.5	16866	14910.8	11846	13509.7	16136.6	18136.3	15896.69
20095.6	17450.8	15358.6	15087.9	16306.4	14560.6	11222.4	14659.2	14014.5	16179.5	15493.55
15446.9	14859.6	14478.9	17087.3	12901.7	15250.4	11698.1	12283.9	14825.8	13470.4	14230.3
16531.6	15441.6	12789.1	13735.9	12616.2	15053.6	12623.4	9593.82	9115.71	12447.9	12994.883
15709.5	11344.9	10961.6	11114.6	10821	14245.4	10989.5	11485	12342.7	12890	12190.42
16072.7	10928	11251.6	10856.8	13011.4	11746.3	9031.25	10884.9	9185.02	14380.6	11734.857
13997.9	9030.63	10991.2	9764.54	12568.8	9593.16	7027.4	10469.6	8335.14	10644.3	10242.267
14283.6	7319.34	9138.42	9339.18	12075.2	9306.03	5548.79	8102.5	9482.73	12750	9734.579
15561.5	6184.43	7411.51	11081.3	13330.6	10310.4	7644.47	9425	8136.75	13374.9	10246.086
13155.8	6687.04	9843.03	9967.2	12364	8494.73	6981.66	7335.67	8186.08	8944.32	9195.953
10416	6102.43	6161.64	8807.49	11656.4	8729.16	5706.3	5012.21	7656.35	12226.3	8247.428
9927.15	4154.5	6391.72	11037.5	10409.6	5202.61	7115.02	6841.98	8105.78	13147.9	8233.376
10792.8	4999.92	5323.97	9172.03	9100.74	6084.36	5585.72	5284.4	7346.44	13404.9	7709.528
9521.83	4463.49	6590.69	9150.23	8406.07	6302.45	4472.1	4694.81	6660.11	11436.2	7169.798
9016.63	3961.11	6694.74	10885.6	7135.98	4509.84	4747.73	5571.65	6842.07	13705.3	7307.065
5989.37	4084.07	5237.4	9822.4	5934.04	3979.51	4747.2	4694.48	6909.04	11481.8	6287.931
6717.92	4536.91	4590.32	8749.31	6155.18	4291.94	5151.55	5291.48	6191.79	8135.99	5981.239
6437.62	5144.34	4278.63	9340.35	6084.48	4557.1	3819.18	3296.43	6295.16	11656	6090.929
7819.98	3471.09	5315.2	6846.18	6360.02	5030.05	4397.82	2855.68	7551.71	11031.6	6067.933
7776.49	3006.43	4339.86	7662.03	5519.08	4112.58	3702.98	3233.03	6640.55	10014.6	5600.763
8767.13	3375.92	4038.1	5792.35	5315.38	4379.47	4012.3	3323.31	7476	10630.8	5711.076
