tex_3_seed_01.txt	tex_3_seed_02.txt	tex_3_seed_03.txt	tex_3_seed_04.txt	tex_3_seed_05.txt	tex_3_seed_06.txt	tex_3_seed_07.txt	tex_3_seed_08.txt	tex_3_seed_09.txt	tex_3_seed_10.txt	AVG
36275.3	37129.4	36501.4	37203.8	37607.9	36919.8	35856.4	37018.7	37075.1	37695.4	36928.32
31820.7	32715	31462.7	32318.7	34947.4	31447.8	28445.7	32352.1	32702.9	35141.1	32335.41
23591.7	24887.8	23869.5	23514.5	28236.4	24052	20480.6	27382.8	27565.7	27958.2	25153.92
18677.4	19263.9	19125	20849.2	23735.6	20370.3	17243.3	22229.3	22341.5	21572.9	20540.84
15261.2	16488.9	17626.4	17438.1	20784.2	16792.9	17366.8	18297.3	19159.4	18480.7	17769.59
17666.3	17547.3	17283.9	16882.2	18363.3	16587.7	17762.6	15339.4	18670	18786.8	17488.95
17187.2	17775.4	17266.2	18047.7	19356.1	16868.7	15661.6	18801.2	18519.5	16117.8	17560.14
17590.2	18000.5	18243.8	17613.5	17870.5	17462	16300.4	17517.5	20440.9	18692.8	17973.21
17330.1	19927.1	15469.1	18537.8	19340.5	16265.5	16923.9	16095.5	17229.7	17995.2	17511.44
15023	18741.9	15627.2	14652.2	19871.6	15266.9	15718	16106.1	17482.9	15667.5	16415.73
15353.5	17893.6	15966.5	14771.5	16165.3	17245.2	16248.8	13188.9	19412.1	15726.3	16197.17
17733.5	16913.2	16218.2	15733.8	16786.4	15783.3	17330.3	13010.3	17314	16465.4	16328.84
15688.8	15763.7	16452.1	14570.5	17364	14824.7	15749.8	12675.4	14864.9	16600.3	15455.42
14618.4	18821.9	14665.5	14167.9	17078.8	14842	15888.2	13094.5	16731.5	15448.5	15535.72
14631.9	16149	15426.9	14578	18766.3	15161.9	15776.5	12712.8	16019	15396.7	15461.9
14781.6	16170.6	14041.3	13345.1	20345.4	15109.6	16055.9	11928.4	14518.8	17459.6	15375.63
14705.5	16152.9	12609.4	14487.1	15163.3	15357.9	14892.9	11092.6	15148.7	16433.2	14604.35
18204.1	15733.5	12723.7	13822.9	17077.5	15401.1	14066.2	11829.6	15153.7	14104.3	14811.66
15840	15214.3	12992.2	14692.7	16422.2	14017.2	13588.6	10862.3	13986.2	14253.8	14186.95
15354.3	15335.5	13310.9	13288.5	16027.9	13926.5	13981.1	10752.5	11612.1	14926.1	13851.54
15730.1	14590.6	12502.6	13596.2	15381.6	14682	12825.4	12530.9	11866	15365.4	13907.08
15709.8	14229.6	13277.7	14097.9	14778.8	12138	13279.2	9580.21	11793.2	14418.5	13330.291
15169	13852.2	14619.1	13901.3	14503.4	12932.8	13603.4	9848.29	11364.4	14975.7	13476.959
16057.9	14774.5	12551.8	12849.2	14938.3	12721.5	14070.1	9264.62	10453.9	13959.5	13164.132
15316.8	16078.1	10851.1	12571.9	14857.5	11681.9	13289.7	9494.53	9831.24	13220.5	12719.327
14144	14947.7	11984.4	12964.7	15295.9	11977.9	13606.9	9263.56	11418.9	14110.2	12971.416
15300.3	13802.5	10776.8	11809	14758.2	12159.5	14051	10051	10490.2	13031	12622.95
14500.4	14941.6	10681.5	12425	17570.2	12623.8	13285.4	10330.3	9013.39	13231.1	12860.269
13287.1	14700.8	10675.6	11759.2	14486.4	11948.7	13388.1	10168.9	9139.8	13166.4	12272.1
14316.5	15151.1	10645.6	12343.1	14111.9	10644.9	12223.7	9581.6	9888.65	13776.8	12268.385
