tex_1_seed_01.txt	tex_1_seed_02.txt	tex_1_seed_03.txt	tex_1_seed_04.txt	tex_1_seed_05.txt	tex_1_seed_06.txt	tex_1_seed_07.txt	tex_1_seed_08.txt	tex_1_seed_09.txt	tex_1_seed_10.txt	AVG
12889	13107	12646	13080	12383	13080	12766	12681	13107	13107	12884.6
12778	13107	13107	12900	12383	13006	12766	12681	13006	13107	12884.1
12711	13076	13080	12972	12383	13006	11972	12681	12983	12681	12754.5
12711	13076	13107	12900	12383	13006	11972	12681	12597	13097	12753
10196	13076	13088	12703	12383	12646	11972	12681	12193	13107	12404.5
10196	13076	12900	12447	12383	13076	12539	12587	12193	13107	12450.4
8839	13076	12967	11763	12311	13006	11972	12681	12567	13107	12228.9
10196	13076	12967	11763	12383	13006	11972	8208	8145	13107	11482.3
10196	13076	13080	11895	12383	13006	10001	12182	6580	13107	11550.6
10196	11580	13080	11895	12383	13006	10001	12498	6580	13078	11429.7
8839	13076	13080	11465	12383	13006	10001	12498	8854	12681	11588.3
8839	13076	12947	11062	12383	13006	9591	12498	8854	12681	11493.7
8839	13076	13077	11062	12383	13057	9835	11626	6580	12651	11218.6
8839	13076	13077	11062	12311	13057	8596	12607	6580	12681	11188.6
8839	12766	12766	11062	12311	13057	8596	12580	6354	12651	11098.2
7441	12766	12766	11056	11958	13057	8595	12601	5833	12651	10872.4
7441	12766	12766	11056	11897	13057	8595	12574	5199	12651	10800.2
7441	12766	12711	11056	11555	13057	8595	12576	5015	12651	10742.3
7441	13002	12654	11053	11553	13057	8595	12576	3974	12651	10655.6
7441	12704	12654	11053	10937	13057	7036	12538	3974	12648	10404.2
7441	12666	12504	11053	10937	13057	7036	12538	3913	12648	10379.3
6947	12666	12504	11053	10937	13057	7033	12507	3964	12648	10331.6
6947	12666	12504	11052	10937	13057	7033	10183	3908	12648	10093.5
6947	12487	12500	11050	10870	13057	7033	10183	3908	12648	10068.3
6841	12449	12269	11050	10880	13057	7033	10183	3908	12648	10031.8
6805	12334	12242	10718	10870	13057	7033	10167	3708	12648	9958.2
6837	12303	12242	10718	10870	12838	7016	9853	3650	12648	9897.5
6762	12049	12242	10365	10870	12838	7016	9467	3494	12647	9775
6805	12047	12242	10365	10870	12838	7016	9265	3489	12619	9755.6
6805	12049	12242	10256	10870	12838	7016	8739	3489	12499	9680.3
6785	12007	12242	10364	10860	12838	6946	8739	3489	12486	9675.6
6785	12007	12200	9571	10860	12838	6949	8739	3453	12485	9588.7
6778	12007	12200	9571	10858	11838	6949	8645	3453	12440	9473.9
6602	12007	12200	9316	10857	11838	6992	8119	3453	12365	9374.9
6598	11981	12147	9316	10857	11838	6992	8119	3412	12290	9355
6602	11981	12147	9306	10857	11789	6992	8119	3345	10196	9133.4
6591	11980	12147	9306	10508	11566	6989	8119	3406	12176	9278.8
6549	11980	12143	9306	10508	11380	6946	8119	3368	12138	9243.7
6549	11979	12143	9306	10460	11380	6946	8119	3368	11948	9219.8
6549	11939	9371	9256	10460	11380	6945	8119	3312	10518	8784.9
6549	11939	9371	9256	10365	11295	6945	7830	3312	9988	8685
6549	11939	8639	5818	10365	11295	6942	7807	3310	9988	8265.2
6549	11925	8248	8625	10346	11291	6942	7807	3278	9988	8499.9
6549	11925	8438	8625	10321	11290	6941	7807	2973	9765	8463.4
6541	11920	8248	8619	10321	11290	6941	7807	2973	8839	8349.9
6541	11924	8227	8619	10227	11288	6942	7807	2943	9714	8423.2
6541	11924	8227	8596	10226	11245	6928	7807	2942	9765	8420.1
5997	11924	8227	8596	10212	11241	6928	7806	2936	9714	8358.1
5729	11914	8056	8530	10174	11241	6927	7505	2785	8416	8127.7
5607	11906	8056	8332	10174	11241	6927	7505	2436	8416	8060
5527	11906	8056	6348	10177	11241	6927	7505	2428	8416	7853.1
