tex_2_seed_01.txt	tex_2_seed_02.txt	tex_2_seed_03.txt	tex_2_seed_04.txt	tex_2_seed_05.txt	tex_2_seed_06.txt	tex_2_seed_07.txt	tex_2_seed_08.txt	tex_2_seed_09.txt	tex_2_seed_10.txt	AVG
34591.5	33087.3	33705.7	30997.8	32995	33819.6	33064.8	34389.4	33325.3	33142.3	33311.87
24240.3	23572.7	27171.1	23476	22295.5	25341	22978.5	26655.4	23446.7	24718.7	24389.59
20520.2	18848.1	21243.5	20956.2	15700.6	17437.5	22388.2	19730.4	21054	18724.4	19660.31
19963.3	18297.3	22562.9	17860.3	14488.5	15859	17634	18253	21131.4	17642.9	18369.26
20041.8	14195.6	19437.8	17834.5	13939.3	16531.4	17039	18705.2	21392.7	17014.8	17613.21
17580	14492.3	18657.5	15630.9	14177.5	15624.1	19069.6	18947.7	18269.3	17864.4	17031.33
18849.1	15712.3	17900.1	16542	14703.1	14893.2	17120.3	17519	16517.8	16423.9	16618.08
17090.6	14997.3	16271.4	17501.6	14155.8	14379.4	16233.9	16640.6	19365.2	15113.8	16174.96
17577.9	16159.3	18907.4	18198	14962.2	16805	16246.8	17706.8	17431.5	18230.6	17222.55
17471.1	15865.7	16099.5	17564.9	14147.3	18392.1	15495.6	17443.5	19344.3	17162.2	16898.62
16003.9	13830.6	18887.1	16532.4	14725.7	18387.7	15281.6	17055.4	17613.4	18125.2	16644.3
16731.4	14940.6	14351.2	19228.6	13382.3	15544.8	14936.7	20284.3	16928.3	16927.5	16325.57
16516.6	14946.4	16101.5	15748.2	14163.2	15936.5	17088.9	15166.9	14434.3	16471.1	15657.36
16621.1	14952.5	12488.8	15856.7	13586.5	15992	16004.1	19538	11982.9	17561.7	15458.43
15344.9	14717.5	15914.4	14171.4	14408.6	13121.1	18265.3	17726.1	12871.9	16391.2	15293.24
16497.4	16042	16851.1	14434.5	14661	12515	18406.1	17821.9	13563.7	16660.5	15745.32
16738.9	15080.4	14676.4	15482.2	14512	10150.2	18992.6	16216.8	9984.79	17722.8	14955.709
16386.6	16499.9	11791.7	14965.4	16145.9	10041.8	15625.4	13373.7	15400.5	15600.4	14583.13
15952.4	15000.4	13474.8	14947.6	15797.7	10711.9	14934.3	10323.3	11563.4	10167.8	13287.36
17116.8	14979.6	12316.7	14168.3	17102.6	11385.4	17031.7	13611	11226.7	12408.4	14134.72
14243.6	14785.3	10339.5	13965.7	14364	10092.6	12928	13828.8	11799.8	11728.5	12807.58
13259.7	14669.7	10506.6	13646.9	15742.1	9726.07	13840.5	12301.5	11592.9	8670.05	12395.602
13941.5	14513.4	10146.9	15954.4	16053.1	9589.3	11321.1	11175.1	9991.7	8398.33	12108.483
12333	16359.3	9137.37	14034.1	13159	9775.52	10901.9	13412.3	9034.21	7443.62	11559.032
11979.4	15449.1	8581.29	13672.7	13063.6	8363.02	10899.7	12998.3	7790.47	7045.92	10984.35
11765.8	14995.1	7127.79	15110.2	12787.7	9675.87	11204.4	12234.9	10827.1	5577.41	11130.627
11890	11176.1	7157.04	13637.7	13376.3	9471.8	11750.5	9854.95	8932.38	5868.31	10311.508
10624.1	11833.1	7594.58	14417	10978.7	7670.75	11461.8	7979.12	8902.3	6137.28	9759.873
9865.43	11026.9	7064.9	14601.5	11194.4	9247.62	9284.43	10793.4	9891.33	3590.24	9656.015
10694.9	9578.88	7339	14035.6	9778.74	7988.76	9525.22	10490	11563.6	5383.35	9637.805
9162.15	10967	7005.83	15240.4	8236.8	9188.89	10570.6	10135.8	10680.3	5822.94	9701.071
8805.94	9056.93	5369.47	14198.2	9652.61	7203.19	8331.84	10230.8	11447.7	4675.4	8897.208
9680.37	8360.34	4957.44	13596	7574.49	5731.97	9782.48	11190.7	8245.95	4161.76	8328.15
9377.61	9873.23	6117.59	15191	7373.42	7050.1	7582.83	6928.01	7260.49	4484.74	8123.902
9510.23	9330.48	7098.74	15541.3	6006.08	6174.13	9049.94	8354.38	6558.14	4211.47	8183.489
9717.6	9743.18	6034.14	14420.1	5316.73	5909.91	8565.68	6572.74	7904.58	3644	7782.866
9196.04	7425.41	5429.23	14041.5	5135.27	4909.85	7669.02	8295.97	7365.96	4303.51	7377.176
8729.71	7605.9	5282.08	15415	6339.62	5291.54	7686.75	6976.3	7481.3	4350.7	7515.89
7674.68	7566.49	5248.24	13876.7	7736.89	5440.4	8552.02	5577.98	7036.1	3792.52	7250.202
6767.44	5925.82	4997.94	13884.7	8043.78	3735.74	8315.32	5075.4	9294.35	3699.68	6974.017
7131.66	7438.82	4766.3	13763.2	7851.44	4919.81	7187.44	5424.98	5918.82	3900.62	6830.309
7058.16	5932.35	6156.87	14292.4	6712.7	4403.37	5429.44	3408.36	5629.69	3655.57	6267.891
6574.08	5825.66	5217.93	17305.1	5358.32	4586.88	4701.67	5176.45	5614.24	2812.81	6317.314
7232.34	5942.71	5612.49	16875.4	6580.17	5652.33	4648.04	4471.11	5877.01	3114.25	6600.585
5871	6415.91	4643.47	21846	5093.2	4746.06	4141.65	4232.11	5662.58	3657.19	6630.917
6505.7	7903.22	6445.4	17414.5	6205.86	5151.75	3665.19	4625.11	5337.7	2794.62	6604.905
6594.63	5915.53	5590.99	19431.2	5396.64	4673.62	3906.72	4366.31	4497.34	3277.88	6365.086
6751.58	6864.04	4215.44	17231.6	5197.14	4617.56	3625.34	3948.56	6216.34	3379.49	6204.709
6598.2	5401.4	5405.6	17657.8	6439.4	3947.56	3455.71	4491.53	6472.96	3221.42	6309.158
6783.1	5688.08	5767.42	16469.2	6170.9	5506.33	3318.81	3827.77	6270.44	3169.74	6297.179
6754.03	4877.48	5787.4	15265.9	4849.72	4432.46	3142.73	3334.71	5614.41	3812.63	5787.147
