   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg    	max	min	std    
0  	1000  	1.37081e+69	1.37081e+72	54674.6	4.33271e+70	12.439 	95 	3  	13.1728
1  	921   	2.57819e+34	2.57819e+37	73496.8	8.14889e+35	10.699 	74 	2  	10.5626
2  	903   	3.09687e+28	3.09687e+31	56908.7	9.78826e+29	11.934 	77 	2  	11.4569
3  	939   	7.9662e+29 	7.95151e+32	72736.6	2.51323e+31	13.154 	78 	2  	11.5366
4  	901   	1.25936e+58	1.25936e+61	70063.1	3.98044e+59	13.616 	73 	2  	9.85893
5  	925   	1.17684e+24	1.17604e+27	70063.1	3.7171e+25 	14.508 	65 	2  	9.38371
6  	899   	8.95661e+29	8.95641e+32	69671.3	2.83085e+31	16.614 	73 	2  	9.56164
7  	913   	8.65816e+19	7.55652e+22	59804.1	2.4054e+21 	19.617 	84 	2  	10.6091
8  	893   	3.55341e+39	3.55341e+42	59803.7	1.12313e+41	23.396 	75 	2  	12.1228
9  	898   	3.76979e+20	3.6634e+23 	59803.7	1.15821e+22	26.685 	75 	2  	13.3116
10 	907   	4.741e+49  	4.741e+52  	38408.1	1.49849e+51	28.928 	78 	2  	13.5901
11 	894   	1.69039e+26	1.67488e+29	38408.1	5.29397e+27	29.657 	89 	2  	13.8406
12 	881   	9.38542e+27	9.38094e+30	36936.6	2.96503e+29	30.032 	89 	2  	14.524 
13 	920   	4.46498e+31	4.46498e+34	38407.9	1.41124e+33	32.207 	104	2  	15.7519
14 	903   	1.43688e+26	1.43579e+29	36307.4	4.5381e+27 	34.766 	96 	3  	15.9237
15 	910   	3.06778e+29	3.06778e+32	36307.4	9.69631e+30	36.288 	106	3  	16.6734
16 	896   	1.0244e+23 	4.58764e+25	31599  	1.83254e+24	33.824 	108	3  	16.3812
17 	905   	1.30078e+33	1.30078e+36	34604.9	4.11137e+34	31.234 	98 	3  	15.2012
18 	902   	7.01747e+21	6.99e+24   	28675  	2.20933e+23	29.171 	104	3  	13.7099
19 	896   	8.10793e+22	7.93824e+25	29751.2	2.50953e+24	30.899 	111	5  	13.7472
20 	921   	2.87584e+19	1.20239e+22	27170.4	5.43491e+20	33.005 	89 	5  	14.1413
21 	914   	1.16798e+29	1.16798e+32	27170.4	3.69165e+30	34.723 	104	3  	14.7466
22 	913   	1.61161e+21	7.96188e+23	22508.1	3.55724e+22	36.833 	104	3  	16.9195
23 	900   	2.06746e+18	2.06295e+21	26825.8	6.52035e+19	39.778 	110	3  	19.7568
24 	933   	2.11671e+12	8.19179e+14	26825.8	3.88353e+13	41.9   	119	4  	20.3123
25 	926   	2.72689e+19	1.20239e+22	26825.8	5.44112e+20	42.66  	114	3  	20.4862
26 	905   	1.48849e+19	1.20239e+22	20751.6	3.87842e+20	43.366 	131	4  	19.426 
27 	928   	2.37821e+20	2.37178e+23	20751.6	7.49649e+21	43.643 	116	6  	19.17  
28 	905   	2.59312e+33	2.59312e+36	21553  	8.19607e+34	44.879 	119	4  	19.0306
29 	899   	1.0082e+24 	9.66016e+26	21553.9	3.05455e+25	46.758 	113	3  	18.7248
30 	917   	4.70621e+38	4.70621e+41	21553.6	1.48749e+40	48.676 	135	5  	19.3646
31 	885   	8.28148e+22	2.07187e+25	20746.8	1.30679e+24	51.948 	126	3  	19.4808
32 	931   	3.02617e+25	1.50987e+28	20746.8	6.74558e+26	55.642 	131	12 	19.2333
33 	881   	1.51424e+25	1.50987e+28	20746.8	4.77225e+26	58.184 	141	3  	21.3839
34 	909   	1.55488e+37	1.55488e+40	20746.8	4.9145e+38 	63.024 	141	8  	21.1317
35 	920   	1.26734e+23	1.08323e+26	20746.8	3.47102e+24	69.509 	152	7  	21.9619
36 	919   	2.98474e+21	2.7633e+24 	20746.8	8.74684e+22	76.615 	136	11 	20.3841
37 	908   	3.30041e+33	3.30041e+36	20744.1	1.04316e+35	81.763 	138	11 	18.5449
38 	905   	1.41919e+31	1.41919e+34	20743.7	4.48561e+32	82.404 	159	22 	20.2701
39 	903   	5.16361e+45	5.16361e+48	20230.1	1.63206e+47	83.487 	159	14 	20.2182
40 	916   	2.17196e+29	2.17196e+32	20666.1	6.86491e+30	81.099 	159	14 	21.9742
41 	909   	1.53586e+39	1.53586e+42	20381.9	4.8544e+40 	75.955 	136	10 	21.4481
42 	893   	9.56427e+22	2.07187e+25	19188.8	1.35887e+24	71.326 	142	12 	21.2739
43 	912   	9.03528e+24	8.90309e+27	19188.8	2.814e+26  	68.328 	140	10 	22.0929
44 	920   	4.14374e+22	2.07187e+25	19188.8	9.25642e+23	66.928 	145	6  	20.4437
45 	907   	3.31391e+23	1.84102e+26	18992.9	6.0579e+24 	68.068 	131	3  	20.5197
46 	927   	1.33144e+23	1.09348e+26	18991.1	3.51773e+24	68.622 	130	3  	21.2349
47 	911   	7.35583e+24	7.29654e+27	18808.9	2.30622e+26	75.405 	159	12 	21.0991
48 	914   	4.35524e+39	4.35489e+42	18805.3	1.37645e+41	79.268 	159	6  	20.2924
49 	894   	6.22544e+24	6.19574e+27	18805.3	1.95829e+26	80.215 	160	13 	20.9128
50 	895   	1.20269e+22	9.07173e+24	18425.2	2.94523e+23	82.58  	143	12 	18.7204
51 	908   	2.82075e+41	2.82075e+44	18425.2	8.91554e+42	86.418 	150	31 	18.363 
52 	900   	1.22247e+22	9.07173e+24	18313.4	3.02862e+23	89.846 	160	31 	18.6516
53 	911   	5.59988e+38	5.59988e+41	18400.3	1.76995e+40	92.26  	167	11 	19.7516
54 	911   	4.52004e+18	2.46354e+21	18400.3	1.01129e+20	94.41  	171	24 	19.7666
55 	889   	7.41965e+38	7.41965e+41	18359  	2.34513e+40	95.868 	166	22 	18.6417
56 	898   	3.26445e+26	2.58894e+29	17880.3	8.45467e+27	96.505 	170	37 	17.8215
57 	907   	1.5355e+20 	9.30655e+22	17632.1	3.37798e+21	95.879 	170	32 	18.7189
58 	908   	5.67165e+23	5.65633e+26	17632  	1.78779e+25	96.815 	176	33 	19.2364
59 	922   	9.01823e+20	7.92661e+23	17625.5	2.52754e+22	98.857 	177	35 	20.8293
60 	916   	1.01376e+22	8.9715e+24 	17367.2	2.84691e+23	101.336	177	31 	21.0554
61 	904   	1.68687e+22	1.60643e+25	17356.3	5.07975e+23	101.929	181	35 	21.6754
