   	      	                      fitness                       	              size             
   	      	----------------------------------------------------	-------------------------------
gen	nevals	avg         	max         	min    	std         	avg    	max	min	std    
0  	1000  	8.05767e+93 	8.05767e+96 	54834.4	2.54679e+95 	12.088 	81 	3  	12.6986
1  	905   	1.37979e+25 	1.37978e+28 	54822.5	4.36107e+26 	10.303 	73 	2  	10.0134
2  	912   	2.5368e+36  	2.5368e+39  	52041.5	8.01805e+37 	11.696 	67 	2  	10.1375
3  	928   	6.43821e+29 	5.53402e+32 	52040.4	1.77205e+31 	13.802 	71 	2  	10.9902
4  	907   	1.30122e+21 	1.30032e+24 	33310.4	4.1099e+22  	16.462 	71 	2  	11.3557
5  	915   	5.91519e+26 	3.26754e+29 	33298.8	1.3286e+28  	20.906 	71 	2  	13.5769
6  	895   	4.8198e+27  	4.8198e+30  	33310.4	1.52339e+29 	27.246 	84 	2  	15.2667
7  	894   	8.20577e+25 	8.20576e+28 	25891.3	2.59359e+27 	31.246 	96 	2  	16.5404
8  	892   	2.99688e+25 	2.8547e+28  	25811  	9.03356e+26 	32.679 	108	3  	17.5227
9  	897   	4.7621e+19  	1.64843e+22 	21602.5	8.16803e+20 	31.097 	87 	2  	17.0951
10 	910   	3.73459e+28 	3.73459e+31 	18059.2	1.18039e+30 	29.423 	80 	3  	16.3447
11 	881   	9.2649e+25  	9.2649e+28  	17024.5	2.92835e+27 	31.37  	90 	2  	17.1648
12 	935   	3.73487e+23 	3.73329e+26 	17016.3	1.17998e+25 	33.494 	110	3  	17.1729
13 	894   	1.68816e+31 	1.68816e+34 	16972.6	5.33576e+32 	36.39  	104	3  	15.7747
14 	911   	2.6103e+28  	2.61016e+31 	16972.6	8.24992e+29 	37.967 	99 	3  	16.5584
15 	892   	2.58678e+24 	1.43118e+27 	16526.4	5.81118e+25 	37.928 	95 	3  	16.9502
16 	899   	3.68823e+25 	1.84436e+28 	16494.1	8.16416e+26 	36.41  	101	3  	17.5498
17 	911   	2.31076e+25 	1.7222e+28  	16397.7	5.75068e+26 	36.615 	95 	3  	17.8561
18 	929   	3.77133e+31 	3.76419e+34 	16397.7	1.18975e+33 	40.115 	104	3  	19.1001
19 	902   	1.81804e+25 	1.8177e+28  	16397.7	5.7452e+26  	43.174 	102	3  	18.4481
20 	906   	1.986e+43   	1.986e+46   	16355.7	6.27715e+44 	44.464 	116	3  	17.8936
21 	909   	2.35225e+31 	2.35224e+34 	16142.9	7.43472e+32 	46.904 	104	3  	17.6039
22 	907   	4.4353e+25  	1.8177e+28  	16062.6	7.71823e+26 	50.364 	112	3  	18.4602
23 	901   	1.23499e+33 	1.23499e+36 	16053  	3.90344e+34 	54.451 	126	3  	19.2443
24 	902   	1.82298e+25 	1.8177e+28  	14709.1	5.74521e+26 	56.229 	122	3  	18.2084
25 	909   	2.62007e+39 	2.62007e+42 	14709.1	8.28126e+40 	56.147 	130	3  	19.8023
26 	900   	7.16396e+37 	7.16396e+40 	14709.1	2.26431e+39 	57.42  	126	3  	20.4566
27 	920   	1.44797e+25 	1.37806e+28 	14675  	4.35815e+26 	56.954 	128	3  	21.553 
28 	916   	1.44169e+28 	1.43929e+31 	14675  	4.54915e+29 	54.522 	134	3  	21.701 
29 	928   	9.6733e+28  	9.67328e+31 	14672  	3.05743e+30 	52.839 	133	3  	20.0433
30 	918   	3.47383e+23 	3.10494e+26 	14649.8	9.84858e+24 	53.275 	146	3  	20.0595
31 	918   	2.40042e+32 	2.40042e+35 	14649.8	7.587e+33   	55.806 	133	3  	20.1176
32 	938   	3.81661e+34 	3.50063e+37 	14504.1	1.11084e+36 	56.622 	133	3  	19.6875
33 	928   	1.86003e+34 	1.86003e+37 	14484.4	5.879e+35   	56.472 	138	3  	20.8109
34 	875   	1.97068e+35 	1.80763e+38 	14484.4	5.73604e+36 	58.355 	121	3  	20.0963
35 	894   	2.82461e+37 	2.72784e+40 	14483.5	8.6268e+38  	58.822 	130	3  	20.0405
36 	930   	7.34696e+40 	7.29635e+43 	14383.1	2.30619e+42 	59.473 	137	3  	20.9112
37 	918   	7.97906e+40 	7.9736e+43  	14383.1	2.52021e+42 	60.169 	144	3  	22.089 
38 	914   	9.98277e+30 	5.11269e+33 	14276.4	2.03069e+32 	61.48  	151	3  	22.2265
39 	901   	1.30363e+30 	1.3036e+33  	14276.4	4.1203e+31  	60.743 	140	3  	20.6135
40 	895   	1.15899e+35 	1.15898e+38 	14276.4	3.66319e+36 	59.095 	152	3  	20.8892
41 	902   	3.79968e+38 	3.79968e+41 	14276.4	1.20096e+40 	56.91  	121	3  	19.4533
42 	930   	1.30164e+44 	1.30164e+47 	13958.1	4.11409e+45 	57.064 	124	3  	20.208 
43 	914   	3.64558e+49 	3.64558e+52 	13958.1	1.15226e+51 	59.807 	121	3  	20.2489
44 	882   	3.68707e+47 	3.68707e+50 	13887.4	1.16537e+49 	61.436 	123	3  	20.4471
45 	894   	8.00249e+42 	8.00249e+45 	13332.3	2.52934e+44 	62.479 	132	3  	20.9739
46 	930   	7.1646e+29  	7.1084e+32  	13332.3	2.2468e+31  	60.837 	124	3  	20.0364
47 	906   	4.85422e+41 	4.82979e+44 	13332.3	1.52656e+43 	58.829 	130	3  	19.9588
48 	917   	2.84461e+49 	2.84461e+52 	13332.3	8.99094e+50 	57.249 	120	3  	19.6669
49 	906   	1.59432e+46 	1.59432e+49 	13332.3	5.03917e+47 	59.22  	155	3  	20.7225
50 	897   	1.94047e+40 	1.94047e+43 	13332.3	6.13324e+41 	61.452 	162	3  	22.4371
51 	910   	1.81439e+31 	1.81361e+34 	13332.3	5.73226e+32 	66.033 	177	3  	23.5773
52 	910   	1.09232e+41 	1.08704e+44 	13138.5	3.43584e+42 	68.824 	166	3  	25.1623
53 	922   	2.06218e+42 	2.06217e+45 	13138.5	6.51791e+43 	69.079 	162	3  	23.9088
54 	939   	2.34912e+40 	2.34912e+43 	13138.5	7.42485e+41 	67.625 	160	3  	23.0883
55 	899   	2.41221e+25 	1.52345e+28 	13250.9	5.52834e+26 	69.123 	165	6  	22.9476
56 	887   	1.65509e+26 	1.46631e+29 	12844.5	4.65348e+27 	69.735 	171	3  	22.855 
57 	911   	5.61295e+33 	5.61295e+36 	12844.5	1.77408e+35 	69.846 	176	6  	24.3402
58 	911   	3.50564e+37 	3.50564e+40 	12370.9	1.10803e+39 	71.497 	184	6  	25.7245
59 	912   	3.25308e+27 	2.72396e+30 	12370.9	8.7036e+28  	77.398 	186	4  	27.8704
60 	890   	2.72771e+27 	2.72393e+30 	12327.9	8.60951e+28 	83.504 	180	4  	30.0859
61 	887   	4.93811e+37 	4.93811e+40 	12262  	1.56079e+39 	92.253 	183	4  	29.4596
62 	913   	4.05902e+37 	4.05902e+40 	12262  	1.28293e+39 	102.68 	169	4  	26.0577
63 	914   	5.87609e+26 	5.48974e+29 	12103.4	1.73649e+28 	107.571	213	4  	24.5278
64 	897   	1.89118e+36 	9.87941e+38 	12103.4	4.22882e+37 	111.296	183	4  	21.5233
65 	911   	1.48319e+33 	1.2728e+36  	12064  	4.07686e+34 	112.41 	173	4  	22.673 
66 	921   	1.21587e+44 	1.21587e+47 	12064  	3.84299e+45 	114.256	193	4  	23.8974
67 	918   	5.95069e+26 	5.51e+29    	11874.8	1.74316e+28 	116.086	201	4  	25.3611
68 	905   	1.58463e+61 	1.58463e+64 	11874.8	5.00854e+62 	118.437	203	4  	25.7084
69 	880   	3.60635e+27 	3.54941e+30 	11874.8	1.12195e+29 	120.187	204	4  	27.4556
70 	908   	2.31982e+48 	2.31982e+51 	11874.8	7.33223e+49 	123.282	217	4  	27.6597
71 	886   	9.45477e+61 	9.45477e+64 	11874.8	2.98837e+63 	123.958	223	6  	29.5836
72 	891   	7.46718e+60 	7.46718e+63 	11874.8	2.36015e+62 	123.722	221	4  	32.0597
73 	916   	9.80065e+54 	9.80065e+57 	11873.9	3.09769e+56 	125.665	229	4  	29.0737
