   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg    	max	min	std    
0  	1000  	3.63613e+66	3.63613e+69	16046  	1.14927e+68	12.872 	77 	3  	13.0025
1  	922   	7.40962e+31	7.40466e+34	16046  	2.34039e+33	11.698 	77 	2  	11.7446
2  	893   	4.82948e+24	4.82947e+27	16046  	1.52645e+26	12.98  	62 	2  	11.8587
3  	897   	3.37879e+37	2.60173e+40	11390.7	8.57987e+38	14.124 	57 	2  	11.183 
4  	922   	3.03825e+39	3.03825e+42	9884.14	9.603e+40  	14.682 	57 	2  	10.4957
5  	907   	5.01079e+46	5.01079e+49	16046  	1.58376e+48	17.26  	63 	2  	10.5154
6  	901   	2.21162e+39	2.21162e+42	16046  	6.99025e+40	21.191 	62 	2  	11.4776
7  	911   	4.83248e+24	4.82947e+27	15580  	1.52645e+26	25.444 	73 	2  	12.0794
8  	910   	1.55637e+33	1.55525e+36	9117.41	4.91567e+34	28.682 	75 	2  	12.2434
9  	908   	1.5553e+33 	1.55525e+36	9059.8 	4.91567e+34	28.84  	86 	3  	12.3176
10 	883   	1.5553e+33 	1.55525e+36	9056.9 	4.91567e+34	28.763 	90 	3  	12.8989
11 	900   	3.58437e+33	2.02877e+36	8580.11	8.07581e+34	30.743 	74 	3  	13.7534
12 	921   	1.31424e+45	1.31424e+48	8657.23	4.15391e+46	33.118 	98 	3  	15.5168
13 	900   	7.36743e+33	2.02877e+36	8435.71	1.14252e+35	36.461 	98 	6  	16.6595
14 	889   	1.17464e+45	1.17464e+48	5888.67	3.71267e+46	38.625 	105	3  	17.3269
15 	907   	9.41552e+47	9.41552e+50	5891.42	2.97596e+49	40.449 	119	8  	17.8547
16 	910   	4.4154e+35 	4.37137e+38	5972.18	1.38168e+37	40.272 	108	5  	18.4819
17 	912   	4.42474e+30	4.42474e+33	5888.75	1.39853e+32	39.895 	131	7  	17.6089
18 	920   	2.60959e+34	2.60958e+37	5884.56	8.24808e+35	41.315 	110	6  	16.7989
19 	926   	2.38659e+34	2.38658e+37	5884.56	7.54327e+35	43.643 	109	7  	16.3656
20 	907   	1.6622e+21 	1.61188e+24	5532.43	5.09543e+22	45.031 	118	8  	16.947 
21 	907   	3.84186e+35	3.84182e+38	5532.43	1.21428e+37	49.477 	112	6  	16.7573
22 	889   	3.32085e+30	3.32085e+33	5532.43	1.04962e+32	54.621 	107	3  	16.9638
23 	902   	3.30155e+21	2.85537e+24	5532.32	9.112e+22  	57.481 	117	8  	16.7187
24 	910   	6.57247e+32	6.57247e+35	5193.75	2.07736e+34	61.746 	120	8  	17.3758
25 	926   	3.06665e+32	3.06665e+35	4752.11	9.69275e+33	63.945 	118	7  	16.6717
26 	917   	2.3987e+32 	2.3659e+35 	5192.44	7.4785e+33 	63.795 	118	8  	16.6629
27 	903   	2.46106e+20	8.69967e+22	4449.56	4.30166e+21	63.395 	121	17 	15.611 
28 	908   	9.05869e+32	3.32975e+35	4449.16	1.6624e+34 	63.396 	145	15 	17.4341
29 	905   	4.83495e+32	2.46901e+35	4144.14	1.08029e+34	64.259 	122	15 	17.5621
30 	891   	6.03041e+32	3.32975e+35	4144.14	1.31151e+34	63.391 	137	17 	18.0629
31 	933   	4.06666e+30	2.82784e+33	4144.14	9.68457e+31	63.051 	131	21 	17.4811
32 	921   	2.47208e+31	2.1467e+34 	4144.14	6.86141e+32	64.218 	134	12 	18.707 
33 	929   	4.43513e+30	3.25084e+33	4144.14	1.09289e+32	65.122 	134	18 	18.8974
34 	909   	5.85982e+32	3.19612e+35	4144.14	1.27692e+34	63.967 	129	10 	18.6396
35 	897   	7.0713e+33 	7.07127e+36	4143.75	2.23501e+35	65.645 	131	10 	18.1511
36 	928   	1.66476e+30	1.58338e+33	4143.75	5.0106e+31 	67.683 	131	11 	16.7914
37 	906   	5.41042e+32	2.46568e+35	4134.21	1.10863e+34	68.402 	131	9  	17.3001
38 	902   	2.32139e+32	2.2606e+35 	4112.86	7.14618e+33	72.285 	147	17 	16.9378
39 	917   	3.2888e+38 	3.2888e+41 	4090.99	1.03949e+40	73.655 	147	8  	17.5588
