URBAN_PER	URBAN_POP	LABOR_PARTICIPATION	BIRTH_RATE	ELEC_PER_CAP	ENERGY  	CO2   	PHONES	NET_IMPORTS	POPULATION	POPDENS	ARABLE_PER_AG	AGLAND_PER	ARABLE_PER	AREA	COMSTHREE	COMSTWO	GDP_PPP	SHADOW_PER
65.76	5070676	55.2	11.6	6078.29	24782	60910.34	3223161	60770906450	7710882	91.94	0.41	43.03	17.68	83870	3296859	3296859	149389000000	5.1
65.8	5217114.87	56.8	11.9	6151.16	25604	58166	3579900	61754288418	7928746	94.54	0.42	42.35	17.7	83870	3800759	3800759	171031000000	5.8
72	3104640	62.9	13.8	23967.07	23466	31286.9	2334836	37247853850	4312000	13.32	0.88	3.3	2.89	323800	2706239	2706239	90161116305	5.9
65.8	5217114.87	56.8	11.9	6151.16	25604	58166	3579900	61754288418	7928746	94.54	0.42	42.35	17.7	83870	3800759	3800759	171031000000	6.1
71.6	4805792	68.5	12.5	7507.3	23791	42934.75	3942701	82578678376	6712000	162.6	0.19	50.53	9.78	41280	4067748	4067748	166156000000	6.7
75.14	187566722.2	66.3	16.7	11713.33	1913168	4861047.12	136114208	630300000000	249623000	25.92	0.44	46.62	20.28	9632030	141397263	141397263	5757200000000	6.7
73.2	5078616	69.4	12.1	7304.84	23675	40989.17	4265818	74782823498	6938000	168.07	0.25	39.53	9.78	41280	4523521	4523521	178142000000	6.9
73.2	5078616	69.4	12.1	7304.84	23675	40989.17	4265818	74782823498	6938000	168.07	0.25	39.53	9.78	41280	4523521	4523521	178142000000	6.9
88.7	51196410.62	61.8	13.1	5491.99	215194	567058.96	27336000	256038000000	57718614	236.93	0.37	74.69	27.7	243610	29604000	29604000	1021660000000	7.2
56.9	2027517.7	51.9	13.9	4200.32	10115	31261.25	1170000	27885916967	3563300	50.7	0.24	64.06	15.27	70280	1231100	1231100	53355290266	7.8
75.3	195719007	65.9	15.5	12261.52	2005838	5148872.64	148106160	720900000000	259919000	26.98	0.44	46.45	20.28	9632030	164115621	164115621	6604300000000	8.2
63.1	78582216	64.1	9.6	6789.08	455523	1164400.88	58830076	299858000000	124536000	329.54	0.85	15.4	13.14	377910	60961443	60961443	2631610000000	8.5
74.02	41995247	55.6	13.4	6126.59	224477	398701.82	28084922	281156000000	56735000	103.31	0.58	56	32.53	549190	28368122	28368122	1005000000000	9
72	3053880	64.8	14.4	23353.77	21000	31305.22	2132290	39734971325	4241500	13.1	0.89	3.26	2.89	323800	2329118	2329118	75860623092	9.3
84.8	4400272	68	13	6305.26	18918	59367.79	3059806	43134070544	5189000	120.42	0.92	64.95	60.04	43090	3417395	3417395	106099000000	9.4
88.68	50767159.26	62.5	13.9	5356.58	207174	569752	25368000	263933000000	57247586	235	0.38	75.67	28.46	243610	26482000	26482000	934250000000	9.6
76.6	22086392.34	65.3	13.6	16235.99	220317	477756.29	16716802	170276000000	28833410.36	2.89	0.67	7.46	5	9984670	18049784	18049784	593350000000	10
85.42	14577008.42	63.2	15.4	8455.5	86226	292878.18	7786889	52921123509	17065100	2.2	0.1	60.8	6.12	7741220	7971832	7971832	295862000000	10.1
73.2	4913184	68.5	12.5	7507.3	23791	42934.75	3942701	82578678376	6712000	162.6	0.19	50.53	9.78	41280	4067748	4067748	166156000000	10.2
74.1	42584899.5	54.9	12.3	6636.74	237273	388787.04	30900000	259650000000	57469500	104.64	0.59	55.38	32.7	549190	31472000	31472000	1104620000000	10.4
