   	      	                      fitness                       	              size             
   	      	----------------------------------------------------	-------------------------------
gen	nevals	avg         	max         	min    	std         	avg    	max	min	std    
0  	1000  	1.40337e+67 	1.37791e+70 	27643.6	4.35581e+68 	13.08  	80 	3  	13.3282
1  	907   	5.39262e+31 	5.39262e+34 	21152.3	1.70444e+33 	11.215 	68 	2  	10.6167
2  	913   	7.46569e+33 	7.46569e+36 	21158.6	2.35968e+35 	12.814 	67 	2  	11.3358
3  	928   	5.20837e+24 	5.20421e+27 	21154.9	1.64489e+26 	14.905 	74 	2  	12.1347
4  	925   	4.94658e+32 	4.94658e+35 	12352  	1.56346e+34 	16.119 	70 	2  	12.4786
5  	917   	9.0834e+29  	9.08339e+32 	18568.1	2.87098e+31 	16.783 	67 	2  	12.0849
6  	908   	6.41685e+23 	6.41518e+26 	18568.1	2.02764e+25 	16.953 	59 	2  	11.1647
7  	920   	2.4034e+24  	6.41518e+26 	18561  	3.77057e+25 	18.461 	73 	2  	10.9979
8  	892   	7.13359e+39 	7.13358e+42 	13884.7	2.25471e+41 	19.237 	62 	2  	10.6468
9  	907   	7.24406e+40 	4.9674e+43  	10969.3	1.72644e+42 	21.312 	60 	2  	11.108 
10 	930   	6.86928e+40 	4.59262e+43 	12533.6	1.61951e+42 	23.25  	68 	2  	12.021 
11 	917   	5.16471e+43 	4.97119e+46 	12139.9	1.57237e+45 	25.604 	78 	2  	12.3789
12 	903   	8.63847e+43 	7.27665e+46 	11042.4	2.33943e+45 	28.319 	76 	3  	12.358 
13 	903   	7.48393e+43 	6.11985e+46 	11041.8	1.98119e+45 	29.402 	76 	2  	13.1927
14 	931   	5.57622e+43 	5.57394e+46 	11041.8	1.76175e+45 	30.732 	79 	2  	13.2362
15 	930   	2.18638e+54 	2.18638e+57 	11041.8	6.9105e+55  	32.737 	88 	4  	13.4145
16 	923   	4.66574e+83 	4.66574e+86 	10195.3	1.4747e+85  	35.939 	86 	2  	14.1507
17 	915   	5.72327e+52 	5.72327e+55 	10195.3	1.80895e+54 	38.752 	95 	2  	14.8657
18 	901   	4.42757e+65 	4.42757e+68 	6352.22	1.39942e+67 	42.525 	110	2  	15.6262
19 	899   	5.74932e+64 	5.74932e+67 	6352.22	1.81719e+66 	46.546 	100	2  	16.8905
20 	894   	1.40887e+49 	1.28692e+52 	6352.22	4.08541e+50 	50.158 	120	2  	18.5099
21 	891   	9.20699e+54 	9.20697e+57 	6352.22	2.91004e+56 	51.754 	116	2  	18.2304
22 	897   	2.86748e+61 	2.85718e+64 	6352.22	9.0307e+62  	52.673 	110	10 	18.7169
23 	913   	4.02755e+64 	4.02755e+67 	6351.9 	1.27299e+66 	55.167 	140	4  	20.7609
24 	920   	2.51633e+59 	2.51633e+62 	6316.78	7.95336e+60 	59.924 	150	2  	21.0957
25 	929   	9.98271e+46 	9.98271e+49 	6316.78	3.15523e+48 	62.731 	121	3  	19.4787
26 	902   	5.13097e+49 	5.13097e+52 	6316.78	1.62174e+51 	63.934 	136	13 	17.6631
27 	905   	5.00909e+28 	4.50273e+31 	6311.33	1.42774e+30 	63.621 	136	13 	18.5391
28 	912   	1.06708e+44 	1.04931e+47 	6209.27	3.31693e+45 	63.294 	139	7  	20.0989
29 	906   	1.40494e+91 	1.40494e+94 	6209.27	4.44059e+92 	63.691 	147	13 	20.2202
30 	909   	1.656e+92   	1.656e+95   	5258.72	5.23411e+93 	62.314 	130	13 	20.1047
31 	915   	2.79848e+65 	2.79848e+68 	5258.72	8.84514e+66 	61.755 	126	14 	19.3895
32 	911   	3.53496e+80 	3.53496e+83 	5258.72	1.11729e+82 	61.633 	113	13 	18.5875
33 	924   	1.63716e+141	1.63716e+144	5164.64	5.17456e+142	62.987 	122	14 	18.0908
34 	910   	1.54637e+76 	1.54637e+79 	5164.64	4.88761e+77 	64.389 	134	14 	17.2766
35 	894   	2.95991e+87 	2.95991e+90 	5164.64	9.35538e+88 	65.004 	125	15 	17.6271
36 	920   	2.04187e+63 	2.04151e+66 	5164.64	6.45258e+64 	64.977 	133	4  	17.9917
37 	907   	1.48637e+83 	1.48635e+86 	5164.64	4.6979e+84  	66.246 	127	10 	18.0319
38 	898   	3.69556e+73 	3.69556e+76 	5086.5 	1.16805e+75 	65.207 	129	4  	18.3411
39 	898   	1.67475e+87 	1.67475e+90 	5085.6 	5.29338e+88 	64.623 	162	4  	19.1531
40 	911   	4.19415e+139	4.19415e+142	5085.6 	1.32564e+141	65.865 	124	17 	20.1335
41 	911   	5.49634e+143	5.49634e+146	5084.25	1.73723e+145	70.232 	127	15 	20.4208
42 	881   	1.88991e+71 	1.88991e+74 	5084.25	5.97344e+72 	73.399 	134	15 	20.6822
43 	916   	1.68291e+85 	1.68291e+88 	5084.25	5.31915e+86 	73.521 	142	15 	22.2317
44 	910   	1.14567e+63 	1.14567e+66 	5053.33	3.62111e+64 	70.617 	140	15 	22.064 
45 	937   	6.42042e+83 	6.42042e+86 	4998.12	2.0293e+85  	70.908 	151	13 	21.274 
46 	898   	2.61569e+84 	1.34281e+87 	4949.51	5.84511e+85 	72.541 	144	13 	20.8411
47 	918   	1.65439e+78 	1.65439e+81 	4972.15	5.22902e+79 	73.426 	145	13 	20.4658
48 	901   	3.68506e+63 	3.68506e+66 	4972.15	1.16473e+65 	73.385 	152	13 	19.8123
49 	889   	6.8069e+80  	6.8069e+83  	4998.12	2.15146e+82 	73.704 	155	13 	18.6688
50 	927   	3.91233e+84 	3.91233e+87 	4998.12	1.23657e+86 	76.086 	161	13 	18.8901
51 	912   	3.69218e+120	3.69218e+123	4998.12	1.16699e+122	77.312 	170	13 	20.3512
52 	894   	1.68851e+73 	1.68851e+76 	4998.12	5.33685e+74 	77.523 	135	10 	18.3582
53 	928   	1.05563e+70 	1.05563e+73 	4998.12	3.33653e+71 	77.276 	171	13 	19.4109
54 	910   	1.62836e+88 	1.24133e+91 	4991   	4.10858e+89 	77.469 	154	13 	20.8382
55 	916   	9.20264e+74 	9.20264e+77 	4998.12	2.90868e+76 	78.65  	163	13 	21.7185
56 	906   	6.11709e+164	6.11709e+167	4997.8 	inf         	80.45  	164	13 	22.3738
57 	910   	6.8305e+71  	6.8305e+74  	4981.55	2.15891e+73 	82.811 	190	13 	23.7947
58 	900   	7.37012e+63 	3.68506e+66 	4975.34	1.64636e+65 	86.11  	171	9  	22.2756
59 	920   	8.6305e+151 	4.31525e+154	4969.26	inf         	88.672 	161	13 	24.7011
60 	924   	3.028e+93   	3.028e+96   	4969.26	9.57059e+94 	91.43  	150	13 	23.9734
61 	915   	7.94133e+85 	7.94133e+88 	4941.27	2.51001e+87 	94.259 	172	14 	24.6974
62 	932   	6.2019e+84  	6.2019e+87  	4941.27	1.96023e+86 	98.43  	171	14 	21.9102
63 	914   	4.31525e+151	4.31525e+154	4941.27	inf         	99.4   	188	14 	22.1687
64 	902   	8.6305e+151 	4.31525e+154	4941.27	inf         	100.794	195	14 	21.5895
65 	907   	7.39605e+63 	3.71003e+66 	4914.83	1.65195e+65 	101.953	182	17 	19.9049
66 	931   	6.20193e+84 	6.2019e+87  	4914.83	1.96023e+86 	102.911	180	20 	20.4741
67 	899   	4.96317e+78 	1.65439e+81 	4894.12	9.04786e+79 	103.394	180	17 	21.4009
68 	927   	4.31525e+151	4.31525e+154	4814.73	inf         	105.684	195	25 	21.4907
69 	906   	3.68586e+63 	3.68506e+66 	4814.73	1.16473e+65 	107.069	195	14 	20.4679
70 	896   	1.60736e+92 	1.60736e+95 	4814.73	5.08039e+93 	108.471	195	16 	22.8838
71 	905   	1.65439e+78 	1.65439e+81 	4829.13	5.22902e+79 	109.992	191	24 	21.6594
72 	913   	6.07826e+85 	6.07826e+88 	4829.13	1.92115e+87 	109.149	169	12 	21.5499
73 	915   	2.63738e+84 	2.63738e+87 	4829.13	8.33595e+85 	109.013	183	25 	21.2935
74 	927   	5.81529e+64 	5.4451e+67  	4829.13	1.72485e+66 	111.217	192	25 	20.9564
75 	918   	7.94133e+85 	7.94133e+88 	4829.13	2.51001e+87 	110.822	203	29 	23.7664
76 	918   	3.39769e+145	3.39769e+148	4829.12	1.07391e+147	111.071	185	23 	24.3532
77 	904   	4.61206e+152	4.61206e+155	4829.12	inf         	112.384	192	30 	23.6664
78 	896   	8.0003e+84  	8.00027e+87 	4829.12	2.52864e+86 	112.693	182	22 	25.3193
79 	931   	2.99248e+64 	1.23821e+67 	4828.97	5.67005e+65 	114.182	189	27 	24.4593
80 	920   	9.17444e+79 	9.17444e+82 	4828.97	2.89976e+81 	115.093	197	30 	27.0064
81 	933   	1.27854e+85 	1.27854e+88 	4812.14	4.04109e+86 	118.911	201	17 	29.1975
82 	934   	1.65439e+78 	1.65439e+81 	4767.63	5.22902e+79 	124.098	227	16 	29.8447
83 	938   	1.27854e+85 	1.27854e+88 	4767.63	4.04109e+86 	127.865	209	16 	31.4948
84 	913   	9.22412e+152	4.61206e+155	4767.63	inf         	132.425	200	25 	31.6275
85 	900   	2.39296e+64 	1.19628e+67 	4767.63	5.34458e+65 	135.833	214	17 	31.2668
86 	914   	4.61206e+152	4.61206e+155	4767.63	inf         	140.428	283	31 	31.5541
87 	898   	4.61206e+152	4.61206e+155	4767.63	inf         	142.442	251	32 	30.3089
88 	902   	5.351e+85   	5.351e+88   	4766.73	1.69129e+87 	142.91 	224	14 	30.8974
89 	919   	1.65439e+78 	1.65439e+81 	4766.73	5.22902e+79 	146.511	303	32 	29.3507
90 	896   	4.6119e+152 	4.6119e+155 	4766.73	inf         	148.619	234	33 	29.9578
91 	908   	2.79392e+65 	2.55466e+68 	4765.12	8.09143e+66 	149.637	272	32 	30.3911
92 	927   	1.32602e+71 	1.32586e+74 	4766.73	4.19064e+72 	152.819	242	38 	30.352 
93 	917   	1.19628e+64 	1.19628e+67 	4766.63	3.78108e+65 	158.647	225	37 	30.4131
94 	926   	2.7065e+70  	2.70649e+73 	4701.68	8.55441e+71 	163.477	238	30 	33.1394
95 	903   	1.10424e+121	1.10424e+124	4701.68	3.49016e+122	168.139	257	37 	31.7198
96 	921   	1.65439e+78 	1.65439e+81 	4701.68	5.22902e+79 	171.072	255	33 	30.4413
97 	911   	1.99892e+69 	1.99892e+72 	4701.68	6.31799e+70 	171.047	244	28 	29.3088
98 	943   	1.92216e+146	1.92216e+149	4659.37	6.07538e+147	173.253	235	47 	29.1684
99 	917   	1.21719e+85 	1.21719e+88 	4614.89	3.84715e+86 	172.724	263	39 	30.4529
100	927   	9.16154e+80 	9.16154e+83 	4614.89	2.89569e+82 	172.18 	234	47 	28.6332
101	920   	1.86269e+85 	1.00069e+88 	4614.89	4.17248e+86 	171.892	246	30 	30.3926
102	912   	3.87716e+80 	3.87716e+83 	4614.89	1.22545e+82 	163.248	267	39 	32.4681
103	929   	5.51931e+81 	5.51931e+84 	4613.51	1.74449e+83 	157.329	240	43 	30.1827
104	909   	1.61289e+67 	1.61289e+70 	4613.51	5.09785e+68 	149.668	236	43 	27.3704
105	898   	1.75112e+86 	1.74841e+89 	4613.51	5.5262e+87  	146.353	255	38 	24.9216
106	920   	5.55954e+58 	5.55954e+61 	4609.89	1.7572e+60  	144.806	228	34 	25.7377
107	902   	2.72076e+84 	2.72076e+87 	4609.89	8.5995e+85  	146.647	232	39 	25.7686
108	901   	4.61206e+152	4.61206e+155	4609.89	inf         	147.684	232	42 	23.6816
109	915   	1.19628e+64 	1.19628e+67 	4609.89	3.78108e+65 	149.26 	201	52 	22.1508
110	904   	4.61206e+152	4.61206e+155	4609.89	inf         	148.325	203	51 	22.4453
111	908   	1.97209e+101	1.97209e+104	4609.89	6.23317e+102	147.263	237	50 	23.6502
112	914   	4.61206e+152	4.61206e+155	4609.89	inf         	145.752	224	34 	24.038 
113	922   	1.97209e+101	1.97209e+104	4568.41	6.23317e+102	146.88 	219	52 	23.2253
114	922   	1.19628e+64 	1.19628e+67 	4568.41	3.78108e+65 	147.008	239	45 	24.0531
115	892   	4.61206e+152	4.61206e+155	4568.41	inf         	145.801	209	48 	25.0122
116	899   	1.97209e+101	1.97209e+104	4568.41	6.23317e+102	143.637	220	28 	24.5356
117	908   	1.74841e+86 	1.74841e+89 	4568.41	5.5262e+87  	140.065	216	22 	25.1483
118	892   	7.35084e+85 	5.3511e+88  	4568.41	1.80497e+87 	140.05 	218	51 	23.6261
119	933   	5.15668e+49 	2.42554e+52 	4565.44	9.75885e+50 	139.568	209	45 	24.5852
120	919   	2.01177e+153	2.01177e+156	4563.89	inf         	141.179	230	19 	26.6066
121	930   	1.19131e+60 	1.13579e+63 	4563.89	3.594e+61   	144.95 	223	52 	25.811 
122	888   	3.41663e+67 	3.41292e+70 	4568.41	1.07872e+69 	149.634	237	49 	25.9532
123	898   	4.17762e+85 	4.17762e+88 	4565.44	1.32042e+87 	152.731	264	34 	26.7971
124	901   	2.51663e+64 	2.51663e+67 	4565.44	7.95431e+65 	155.905	219	19 	25.7552
125	908   	2.01177e+153	2.01177e+156	4565.44	inf         	159.738	235	22 	24.1728
126	900   	2.01177e+153	2.01177e+156	4565.44	inf         	160.967	227	30 	24.1081
127	895   	1.77061e+87 	1.77061e+90 	4565.44	5.59635e+88 	162.623	262	49 	22.2295
128	910   	1.79732e+87 	1.77061e+90 	4565.44	5.5969e+88  	161.204	233	50 	23.8311
129	905   	5.03326e+64 	2.51663e+67 	4565.44	1.12435e+66 	162.491	245	49 	24.6006
130	913   	5.9193e+48  	5.9193e+51  	4562.42	1.87091e+50 	164.662	242	28 	23.2995
131	892   	3.77997e+86 	3.6537e+89  	4562.42	1.15547e+88 	164.363	257	59 	24.3439
132	894   	4.12148e+85 	4.12148e+88 	4559.92	1.30267e+87 	167.096	258	61 	23.442 
133	923   	5.42237e+86 	5.42237e+89 	4559.92	1.71385e+88 	168.806	260	54 	26.2908
134	919   	1.80071e+85 	1.80071e+88 	4559.92	5.69151e+86 	173.398	281	59 	23.4938
135	915   	3.41795e+67 	3.41292e+70 	4559.92	1.07872e+69 	172.993	239	55 	22.597 
136	914   	2.43255e+49 	2.42554e+52 	4559.92	7.6664e+50  	171.638	227	59 	23.3418
137	916   	2.5168e+64  	2.51663e+67 	4559.92	7.95431e+65 	169.977	246	55 	25.154 
138	917   	1.80139e+87 	1.77061e+90 	4556.16	5.59668e+88 	167.801	268	33 	23.8721
139	920   	3.41292e+67 	3.41292e+70 	4556.16	1.07872e+69 	163.333	231	19 	25.2957
140	915   	2.51663e+64 	2.51663e+67 	4556.16	7.95431e+65 	159.925	250	52 	24.9354
141	894   	1.2647e+85  	1.2647e+88  	4556.16	3.99734e+86 	159.478	250	51 	23.7783
142	925   	3.59485e+81 	3.59485e+84 	4556.16	1.13622e+83 	158.494	225	34 	22.8464
143	900   	1.07335e+67 	1.07084e+70 	4556.16	3.38459e+68 	157.956	228	45 	23.9294
144	899   	7.05511e+68 	7.05486e+71 	4556.16	2.22983e+70 	156.693	252	52 	25.6835
