   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg    	max 	min	std    
0  	1000  	6.42671e+75	4.93787e+78	32574  	1.62966e+77	11.303 	87  	3  	11.939 
1  	899   	1.32094e+18	7.18095e+20	32483.7	2.70238e+19	10.297 	87  	2  	10.4352
2  	886   	7.33017e+23	7.28762e+26	30252.6	2.30342e+25	11.083 	84  	2  	11.7101
3  	928   	1.81624e+23	1.78818e+26	30231.1	5.65199e+24	13.927 	85  	2  	15.4694
4  	901   	1.0314e+24 	8.93615e+26	29844.9	2.85738e+25	18.186 	99  	2  	19.0731
5  	921   	1.29254e+24	7.28761e+26	30053  	2.91078e+25	23.224 	108 	2  	22.158 
6  	886   	1.03099e+35	1.03099e+38	29839.7	3.25866e+36	25.51  	104 	2  	22.8863
7  	911   	7.31013e+23	7.28762e+26	29839.7	2.3034e+25 	25.062 	89  	2  	20.3975
8  	921   	6.52015e+35	6.52015e+38	29826.3	2.06082e+37	23.522 	102 	2  	17.371 
9  	897   	1.46062e+24	7.29105e+26	28006  	3.25663e+25	22.764 	102 	2  	15.3088
10 	901   	3.16955e+46	3.16955e+49	28006  	1.0018e+48 	23.854 	102 	2  	14.8062
11 	911   	2.74503e+32	2.74503e+35	28006  	8.6762e+33 	25.633 	111 	2  	15.7582
12 	936   	3.66649e+30	3.64989e+33	26648.1	1.15363e+32	27.21  	89  	2  	16.4077
13 	903   	9.4121e+40 	9.4121e+43 	23727.7	2.97488e+42	30.623 	91  	2  	17.6514
14 	883   	2.86402e+24	2.13513e+27	25915.6	7.12857e+25	34.414 	107 	2  	18.6191
15 	905   	1.65252e+25	1.26127e+28	23934.1	4.16634e+26	38.001 	108 	5  	18.3625
16 	911   	5.71424e+35	5.71424e+38	23409.5	1.8061e+37 	41.205 	104 	2  	20.0546
17 	909   	2.15715e+21	2.15145e+24	23409.5	6.80006e+22	45.74  	120 	2  	20.555 
18 	897   	1.39075e+19	5.38575e+21	23266.3	2.40941e+20	52.061 	131 	5  	20.832 
19 	909   	8.13652e+30	8.13652e+33	23266.3	2.57171e+32	57.237 	135 	5  	21.0772
20 	891   	3.94994e+24	3.94977e+27	19847  	1.2484e+26 	59.556 	133 	3  	21.6832
21 	917   	4.0715e+23 	3.81519e+26	19847  	1.20736e+25	63.666 	146 	5  	24.1155
22 	891   	2.55957e+24	1.35833e+27	19847  	5.0197e+25 	68.172 	149 	7  	24.0101
23 	924   	3.7472e+23 	3.74692e+26	18357.8	1.18429e+25	72.152 	162 	7  	23.6156
24 	893   	5.15473e+34	4.94936e+37	18398.7	1.56562e+36	77.809 	162 	7  	22.7161
